Mar 12 2018 at 9:32:20
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
First plot round two
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.77	29.98	71.01	0.00	0.0637	11.47	504.6	407.00	0.0718	621.2	11.181	22.05	13.62	1.55
	1.76	29.98	71.01	0.00	0.0637	11.47	504.7	407.06	0.0721	624.2	11.235	22.15	13.70	1.55
	2.84	29.98	71.01	0.00	0.0636	11.47	504.7	407.13	0.0725	626.5	11.276	22.23	13.75	1.55
	3.77	29.98	71.01	0.00	0.0637	11.47	504.5	406.92	0.0727	629.6	11.332	22.34	13.83	1.55
	4.78	30.00	70.99	0.00	0.0637	11.46	504.4	407.05	0.0724	627.5	11.295	22.28	13.78	1.55
	5.76	29.98	70.99	0.00	0.0637	11.47	504.8	407.28	0.0728	633.8	11.409	22.50	13.93	1.55
	6.78	29.98	71.01	0.00	0.0637	11.47	504.8	407.18	0.0730	633.8	11.409	22.49	13.93	1.55
	7.76	30.00	71.01	0.00	0.0636	11.47	504.6	407.02	0.0732	636.0	11.447	22.57	13.99	1.55
	8.78	29.98	71.04	0.00	0.0637	11.47	504.6	406.86	0.0734	637.5	11.475	22.62	14.02	1.55
	9.77	30.00	70.99	0.00	0.0637	11.48	505.1	407.59	0.0737	642.5	11.566	22.81	14.14	1.55
	10.78	29.98	71.01	0.00	0.0637	11.49	505.4	407.64	0.0737	646.8	11.643	22.96	14.25	1.55
	11.77	29.98	71.01	0.00	0.0637	11.48	505.1	407.43	0.0740	646.7	11.641	22.95	14.24	1.55
	12.78	30.01	71.01	0.00	0.0637	11.49	505.4	407.72	0.0740	648.7	11.677	23.03	14.29	1.55
	13.77	30.00	71.01	0.00	0.0637	11.49	505.7	407.93	0.0745	652.0	11.737	23.14	14.37	1.55
	14.78	30.00	71.01	0.00	0.0638	11.49	505.6	407.81	0.0745	653.0	11.754	23.18	14.39	1.55
	15.77	30.00	71.01	0.00	0.0637	11.49	505.8	407.99	0.0746	654.2	11.775	23.22	14.42	1.55
	16.78	30.02	71.04	0.00	0.0637	11.50	505.8	407.93	0.0747	656.9	11.824	23.31	14.49	1.55
	17.77	30.00	71.01	0.00	0.0638	11.50	506.0	408.18	0.0750	659.1	11.864	23.39	14.54	1.55
	18.78	30.02	71.04	0.00	0.0638	11.49	505.7	407.81	0.0750	660.4	11.888	23.43	14.57	1.55
	19.77	29.98	71.01	0.00	0.0638	11.50	506.0	408.15	0.0753	662.5	11.925	23.51	14.62	1.55
	20.78	30.00	71.01	0.00	0.0638	11.50	506.0	408.13	0.0755	665.1	11.972	23.61	14.68	1.55
	21.77	29.98	71.01	0.00	0.0638	11.51	506.3	408.34	0.0756	667.4	12.013	23.69	14.73	1.55
	22.78	30.00	70.99	0.00	0.0638	11.50	506.0	408.28	0.0755	667.8	12.020	23.71	14.74	1.55
	23.77	30.02	71.01	0.00	0.0639	11.51	506.6	408.67	0.0759	671.4	12.086	23.83	14.83	1.55
	24.78	30.00	71.01	0.00	0.0638	11.51	506.4	408.52	0.0759	672.0	12.096	23.85	14.84	1.55
	25.77	30.02	71.01	0.00	0.0639	11.52	506.9	408.93	0.0765	677.2	12.189	24.04	14.96	1.55
	26.78	30.02	71.01	0.00	0.0638	11.50	506.2	408.32	0.0760	673.2	12.117	23.89	14.87	1.55
	27.84	30.02	71.01	0.00	0.0639	11.52	506.9	408.89	0.0765	680.3	12.246	24.15	15.03	1.55
	28.77	30.02	71.01	0.00	0.0639	11.52	506.9	408.94	0.0768	681.1	12.260	24.18	15.05	1.55
	29.84	30.02	70.99	0.00	0.0639	11.53	507.1	409.26	0.0766	680.8	12.254	24.17	15.04	1.55
	30.77	30.02	71.01	0.00	0.0639	11.53	507.2	409.15	0.0769	685.2	12.334	24.32	15.14	1.55
	31.78	30.04	71.01	0.00	0.0640	11.53	507.4	409.36	0.0770	684.4	12.320	24.30	15.13	1.55
	32.77	30.02	71.01	0.00	0.0640	11.54	507.9	409.74	0.0771	686.2	12.351	24.36	15.16	1.55
	33.78	30.02	71.01	0.00	0.0640	11.54	508.0	409.77	0.0772	687.8	12.380	24.41	15.20	1.55
	34.77	29.97	71.04	0.00	0.0639	11.55	508.0	409.60	0.0773	689.8	12.416	24.47	15.24	1.55
	35.78	30.01	71.01	0.00	0.0640	11.55	508.3	410.04	0.0774	690.1	12.422	24.50	15.25	1.55
	36.77	29.99	71.01	0.00	0.0640	11.56	508.6	410.23	0.0773	692.5	12.464	24.58	15.30	1.55
	37.78	30.02	71.01	0.00	0.0641	11.56	508.8	410.48	0.0782	707.1	12.729	25.10	15.63	1.55
	38.77	30.02	71.01	0.00	0.0641	11.57	509.2	410.74	0.0777	696.6	12.539	24.73	15.40	1.55
	39.78	30.04	70.99	0.00	0.0641	11.57	509.1	410.85	0.0779	696.5	12.537	24.73	15.40	1.55
	40.77	30.04	71.01	0.00	0.0642	11.58	509.3	410.91	0.0781	703.7	12.667	24.98	15.56	1.55
	41.78	30.04	71.01	0.00	0.0640	11.57	509.0	410.62	0.0780	699.2	12.586	24.82	15.46	1.55
	42.77	30.04	71.01	0.00	0.0641	11.57	509.0	410.64	0.0783	703.0	12.654	24.96	15.54	1.55
	43.78	30.04	71.01	0.00	0.0641	11.59	510.0	411.41	0.0785	704.6	12.682	25.01	15.58	1.55
	44.77	30.01	71.01	0.00	0.0642	11.59	509.8	411.24	0.0785	704.3	12.677	25.00	15.57	1.55
	45.78	29.99	71.01	0.00	0.0642	11.59	509.9	411.33	0.0785	705.0	12.690	25.02	15.58	1.55
	46.77	30.04	71.01	0.00	0.0642	11.59	510.2	411.58	0.0786	707.4	12.732	25.11	15.64	1.55
	47.78	30.04	71.01	0.00	0.0642	11.60	510.3	411.72	0.0789	709.8	12.776	25.19	15.69	1.55
	48.77	30.04	71.01	0.00	0.0642	11.60	510.3	411.71	0.0789	711.7	12.811	25.26	15.74	1.55
	49.78	30.04	71.01	0.00	0.0641	11.59	510.1	411.49	0.0789	711.8	12.812	25.27	15.74	1.55
	50.77	30.02	71.01	0.00	0.0642	11.60	510.5	411.86	0.0790	712.6	12.827	25.29	15.75	1.55
	51.78	30.04	71.01	0.00	0.0643	11.61	510.7	411.97	0.0795	715.8	12.885	25.41	15.83	1.55
	52.84	30.04	71.01	0.00	0.0642	11.60	510.5	411.84	0.0792	714.6	12.863	25.37	15.80	1.55
	53.78	30.04	71.01	0.00	0.0643	11.60	510.6	411.93	0.0795	720.3	12.965	25.57	15.92	1.55
	54.84	30.04	70.99	0.00	0.0642	11.62	511.3	412.68	0.0797	725.3	13.055	25.76	16.03	1.55
	55.78	30.06	71.01	0.00	0.0643	11.60	510.6	411.97	0.0795	718.6	12.935	25.51	15.89	1.55
	56.84	30.06	71.01	0.00	0.0643	11.61	510.8	412.12	0.0797	718.9	12.939	25.52	15.89	1.55
	57.78	30.06	70.96	0.00	0.0643	11.61	510.7	412.34	0.0798	721.3	12.984	25.62	15.95	1.55
	58.78	30.06	71.01	0.00	0.0643	11.61	511.0	412.27	0.0801	723.4	13.021	25.68	15.99	1.55
	59.77	30.08	70.99	0.00	0.0643	11.62	511.2	412.57	0.0800	725.5	13.058	25.76	16.04	1.55
	60.78	30.03	71.01	0.00	0.0643	11.61	511.0	412.26	0.0800	724.1	13.033	25.70	16.00	1.55
	61.77	30.04	71.01	0.00	0.0643	11.62	511.3	412.49	0.0800	725.3	13.056	25.75	16.03	1.55
	62.78	30.06	70.99	0.00	0.0643	11.62	511.5	412.81	0.0801	727.7	13.099	25.84	16.08	1.55
	63.77	30.06	71.01	0.00	0.0643	11.62	511.4	412.59	0.0801	728.1	13.106	25.85	16.09	1.55
	64.78	30.03	71.01	0.00	0.0643	11.63	511.7	412.77	0.0802	728.7	13.117	25.87	16.10	1.55
	65.77	30.06	71.01	0.00	0.0644	11.63	511.8	412.92	0.0805	730.6	13.151	25.94	16.15	1.55
	66.78	30.06	71.01	0.00	0.0644	11.64	512.1	413.14	0.0806	733.9	13.210	26.05	16.22	1.55
	67.77	30.03	71.01	0.00	0.0644	11.64	512.1	413.17	0.0805	731.9	13.174	25.98	16.17	1.56
	68.78	30.08	71.01	0.00	0.0644	11.65	512.4	413.44	0.0806	733.2	13.198	26.03	16.20	1.55
	69.77	30.08	71.01	0.00	0.0645	11.65	512.5	413.49	0.0807	734.7	13.224	26.08	16.23	1.55
	70.78	30.06	71.01	0.00	0.0644	11.65	512.5	413.52	0.0807	734.5	13.221	26.08	16.23	1.55
	71.77	30.08	71.01	0.00	0.0644	11.65	512.7	413.66	0.0808	735.7	13.243	26.12	16.26	1.55
	72.78	30.06	71.01	0.00	0.0644	11.65	512.4	413.43	0.0809	736.3	13.253	26.14	16.27	1.55
	73.77	30.08	71.04	0.00	0.0645	11.66	513.1	413.81	0.0812	738.8	13.298	26.22	16.32	1.56
	74.78	30.08	71.01	0.00	0.0644	11.66	513.0	413.95	0.0814	743.9	13.389	26.41	16.43	1.55
	75.77	30.06	71.01	0.00	0.0645	11.67	513.3	414.12	0.0812	741.8	13.352	26.33	16.38	1.55
	76.78	30.08	71.01	0.00	0.0645	11.67	513.5	414.34	0.0813	743.0	13.374	26.38	16.41	1.55
	77.77	30.08	70.99	0.00	0.0646	11.67	513.6	414.55	0.0815	745.3	13.415	26.47	16.46	1.55
	78.78	30.08	71.01	0.00	0.0645	11.67	513.6	414.39	0.0815	744.7	13.405	26.44	16.45	1.56
	79.77	30.06	71.01	0.00	0.0646	11.67	513.6	414.35	0.0816	746.4	13.435	26.50	16.48	1.56
	80.78	30.08	70.99	0.00	0.0645	11.66	513.2	414.24	0.0816	746.7	13.441	26.52	16.49	1.55
	81.78	30.08	71.01	0.00	0.0646	11.68	513.9	414.66	0.0817	748.0	13.464	26.55	16.52	1.55
	82.78	30.10	71.01	0.00	0.0646	11.68	514.1	414.86	0.0817	747.4	13.453	26.53	16.50	1.55
	83.78	30.10	70.99	0.00	0.0646	11.68	514.0	414.93	0.0818	749.2	13.486	26.61	16.54	1.55
	84.78	30.08	71.01	0.00	0.0646	11.69	514.3	414.99	0.0819	750.3	13.505	26.64	16.56	1.55
	85.78	30.05	71.01	0.00	0.0647	11.70	514.6	415.20	0.0819	750.8	13.515	26.65	16.57	1.56
	86.78	30.10	71.04	0.00	0.0647	11.70	514.7	415.17	0.0820	752.2	13.540	26.70	16.61	1.55
	87.78	30.10	71.01	0.00	0.0647	11.70	514.7	415.32	0.0820	753.3	13.559	26.74	16.63	1.56
