Mar 12 2018 at 9:41:29
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
First plot round two
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.25	30.39	70.99	0.00	0.0649	11.69	514.4	415.67	0.0590	484.4	8.720	17.22	9.88	1.54
	1.25	30.39	71.04	0.00	0.0707	12.59	554.1	447.41	0.0591	479.0	8.622	17.02	9.71	1.53
	2.25	30.39	71.01	0.00	0.0651	11.78	518.2	418.57	0.0607	490.6	8.830	17.43	10.07	1.53
	3.25	30.37	70.99	0.00	0.0652	11.89	523.2	422.68	0.0605	457.5	8.236	16.26	9.03	1.53
	4.25	30.39	70.99	0.00	0.0650	12.58	553.6	447.34	0.0600	476.3	8.573	16.93	9.63	1.54
	5.25	30.39	71.01	0.00	0.0643	11.56	508.5	410.70	0.0627	520.0	9.361	18.48	10.94	1.54
	6.25	30.39	71.04	0.00	0.0645	11.64	512.3	413.65	0.0614	503.9	9.069	17.90	10.47	1.53
	7.33	30.39	71.01	0.00	0.0655	11.80	519.3	419.45	0.0597	479.2	8.625	17.03	9.72	1.53
	8.25	30.37	71.01	0.00	0.0645	11.76	517.4	417.88	0.0618	494.8	8.906	17.58	10.19	1.53
	9.33	30.39	71.04	0.00	0.0645	11.58	509.5	411.41	0.0631	514.4	9.259	18.27	10.78	1.53
	10.25	30.39	71.01	0.00	0.0654	11.82	520.3	420.24	0.0607	491.8	8.853	17.48	10.11	1.54
	11.27	30.37	70.99	0.00	0.0657	11.68	513.8	415.09	0.0609	495.3	8.915	17.61	10.21	1.54
	12.25	30.37	70.99	0.00	0.0654	11.96	526.4	425.29	0.0602	488.3	8.790	17.36	10.00	1.53
	13.27	30.39	70.99	0.00	0.0644	11.68	513.7	415.09	0.0614	489.7	8.814	17.41	10.04	1.53
	14.25	30.39	71.01	0.00	0.0653	11.85	521.5	421.21	0.0617	504.3	9.077	17.92	10.48	1.53
	15.27	30.39	71.01	0.00	0.0650	11.74	516.6	417.29	0.0626	505.1	9.092	17.95	10.50	1.53
	16.25	30.39	70.99	0.00	0.0641	12.12	533.3	430.94	0.0642	520.3	9.365	18.50	10.95	1.53
	17.27	30.39	70.99	0.00	0.0649	11.68	513.7	415.08	0.0583	482.9	8.692	17.17	9.83	1.54
	18.25	30.39	71.01	0.00	0.0645	11.67	513.6	414.79	0.0603	486.0	8.748	17.27	9.93	1.53
	19.27	30.39	71.01	0.00	0.0672	12.12	533.4	430.84	0.0603	486.3	8.754	17.28	9.94	1.53
	20.25	30.41	71.01	0.00	0.0647	11.79	518.8	419.05	0.0611	493.7	8.886	17.55	10.16	1.53
