Mar 12 2018 at 9:43:15
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
First plot round two
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.83	30.41	71.01	0.00	0.0660	12.02	529.0	427.32	0.0671	562.2	10.120	19.98	12.12	1.53
	1.81	30.38	70.96	0.00	0.0660	12.03	529.2	427.69	0.0670	563.2	10.138	20.03	12.15	1.53
	2.83	30.41	71.01	0.00	0.0660	12.02	528.7	427.04	0.0676	567.9	10.222	20.18	12.27	1.53
	3.81	30.39	71.01	0.00	0.0659	12.01	528.5	426.87	0.0677	569.9	10.257	20.25	12.33	1.53
	4.83	30.41	70.99	0.00	0.0659	12.01	528.5	427.08	0.0677	570.7	10.272	20.29	12.35	1.53
	5.89	30.41	70.99	0.00	0.0660	12.01	528.5	427.06	0.0679	571.4	10.285	20.31	12.37	1.53
	6.83	30.41	70.99	0.00	0.0660	12.00	528.0	426.67	0.0680	575.0	10.350	20.44	12.46	1.53
	7.89	30.37	70.99	0.00	0.0659	11.99	527.7	426.34	0.0686	580.9	10.457	20.65	12.62	1.53
	8.83	30.41	71.01	0.00	0.0659	11.99	527.5	426.08	0.0688	582.2	10.479	20.69	12.65	1.53
	9.83	30.41	70.99	0.00	0.0658	11.98	527.2	426.03	0.0690	582.7	10.489	20.72	12.67	1.53
	10.83	30.41	71.01	0.00	0.0658	11.98	527.1	425.75	0.0688	584.5	10.522	20.78	12.71	1.53
	11.83	30.41	70.99	0.00	0.0658	11.97	526.8	425.69	0.0689	584.8	10.527	20.79	12.72	1.53
	12.83	30.41	70.99	0.00	0.0658	11.96	526.4	425.38	0.0696	591.3	10.643	21.02	12.89	1.53
	13.83	30.41	70.99	0.00	0.0657	11.95	525.7	424.82	0.0697	591.9	10.654	21.04	12.91	1.53
	14.81	30.38	70.99	0.00	0.0657	11.94	525.1	424.30	0.0697	595.2	10.714	21.16	12.99	1.53
	15.83	30.41	70.96	0.00	0.0657	11.94	525.5	424.75	0.0697	594.6	10.703	21.15	12.97	1.53
	16.81	30.41	70.99	0.00	0.0657	11.93	525.1	424.32	0.0701	602.3	10.841	21.41	13.17	1.53
	17.83	30.41	71.01	0.00	0.0655	11.91	524.1	423.34	0.0708	605.4	10.897	21.52	13.25	1.53
	18.81	30.41	71.04	0.00	0.0656	11.92	524.6	423.63	0.0709	608.7	10.956	21.62	13.33	1.53
	19.83	30.40	70.99	0.00	0.0656	11.92	524.3	423.64	0.0710	610.3	10.986	21.70	13.37	1.53
	20.81	30.41	70.99	0.00	0.0655	11.92	524.3	423.64	0.0712	611.1	10.999	21.73	13.39	1.53
	21.83	30.41	70.99	0.00	0.0653	11.89	523.1	422.71	0.0722	618.0	11.124	21.97	13.57	1.53
	22.81	30.41	70.99	0.00	0.0654	11.88	522.8	422.43	0.0713	617.1	11.108	21.94	13.54	1.53
	23.83	30.41	70.99	0.00	0.0654	11.89	523.0	422.62	0.0716	614.9	11.069	21.86	13.49	1.53
	24.81	30.41	70.99	0.00	0.0655	11.89	523.2	422.81	0.0717	621.3	11.183	22.09	13.65	1.53
	25.83	30.38	70.99	0.00	0.0655	11.89	523.4	422.86	0.0717	619.5	11.151	22.02	13.60	1.53
	26.81	30.43	70.96	0.00	0.0654	11.89	523.3	423.04	0.0719	622.2	11.199	22.13	13.67	1.53
	27.83	30.43	70.99	0.00	0.0655	11.88	522.9	422.55	0.0722	624.2	11.236	22.19	13.72	1.53
	28.81	30.41	70.99	0.00	0.0654	11.88	522.9	422.52	0.0723	625.0	11.250	22.22	13.74	1.53
	29.83	30.41	70.99	0.00	0.0654	11.88	522.8	422.43	0.0721	624.2	11.235	22.19	13.72	1.53
	30.81	30.38	70.99	0.00	0.0653	11.86	521.8	421.63	0.0725	625.1	11.252	22.22	13.74	1.53
	31.83	30.38	70.96	0.00	0.0653	11.85	521.3	421.33	0.0726	630.3	11.346	22.42	13.87	1.53
	32.81	30.38	71.01	0.00	0.0653	11.87	522.2	421.76	0.0726	632.7	11.389	22.49	13.93	1.53
	33.83	30.38	70.99	0.00	0.0653	11.86	521.7	421.55	0.0729	633.2	11.397	22.51	13.94	1.53
	34.81	30.41	70.99	0.00	0.0653	11.84	521.2	421.12	0.0730	633.8	11.409	22.53	13.96	1.53
	35.83	30.41	71.01	0.00	0.0653	11.84	520.9	420.72	0.0731	634.8	11.426	22.56	13.98	1.53
	36.81	30.41	70.99	0.00	0.0653	11.85	521.5	421.38	0.0732	635.0	11.429	22.58	13.98	1.53
	37.84	30.41	70.99	250.00	0.0652	11.83	520.7	420.76	0.0734	637.1	11.468	22.65	14.04	1.54
	38.89	30.41	70.99	0.00	0.0652	11.82	520.0	420.22	0.0734	640.4	11.527	22.77	14.11	1.53
	39.83	30.41	70.99	0.00	0.0652	11.83	520.6	420.64	0.0738	643.7	11.587	22.89	14.19	1.53
	40.89	30.43	70.99	0.00	0.0652	11.83	520.4	420.52	0.0737	644.1	11.594	22.90	14.21	1.53
	41.83	30.43	70.99	0.00	0.0652	11.83	520.3	420.47	0.0739	645.8	11.624	22.96	14.25	1.53
	42.89	30.43	71.01	0.00	0.0652	11.82	520.2	420.20	0.0741	646.9	11.645	22.99	14.27	1.53
	43.83	30.43	70.99	0.00	0.0651	11.81	519.8	420.04	0.0741	649.1	11.684	23.08	14.32	1.54
	44.89	30.43	70.99	0.00	0.0651	11.81	519.6	419.84	0.0746	651.4	11.726	23.16	14.38	1.53
	45.83	30.43	70.99	0.00	0.0651	11.81	519.6	419.84	0.0746	655.6	11.800	23.31	14.48	1.53
	46.83	30.41	70.99	0.00	0.0650	11.77	517.7	418.34	0.0749	668.8	12.039	23.78	14.79	1.54
	47.83	30.44	70.99	0.00	0.0651	11.80	519.0	419.43	0.0744	655.6	11.801	23.31	14.48	1.53
	48.83	30.37	70.96	0.00	0.0651	11.80	519.0	419.46	0.0748	658.4	11.851	23.41	14.54	1.54
	49.83	30.41	70.99	0.00	0.0650	11.78	518.3	418.84	0.0749	657.1	11.828	23.36	14.51	1.54
	50.83	30.43	71.01	0.00	0.0649	11.78	518.5	418.88	0.0749	658.1	11.845	23.39	14.54	1.53
	51.83	30.43	70.99	0.00	0.0649	11.75	517.2	417.95	0.0751	662.2	11.920	23.55	14.63	1.54
	52.83	30.43	71.01	0.00	0.0650	11.77	517.8	418.30	0.0756	668.7	12.036	23.77	14.78	1.53
	53.83	30.43	70.99	0.00	0.0650	11.78	518.4	418.90	0.0755	665.9	11.985	23.68	14.72	1.54
	54.83	30.43	70.99	0.00	0.0649	11.77	518.1	418.64	0.0758	669.5	12.052	23.81	14.80	1.54
	55.83	30.46	71.01	0.00	0.0649	11.77	517.8	418.30	0.0756	668.1	12.026	23.75	14.77	1.54
	56.83	30.43	70.99	0.00	0.0649	11.77	517.8	418.41	0.0760	669.5	12.050	23.80	14.80	1.53
	57.83	30.43	71.01	0.00	0.0649	11.76	517.3	417.90	0.0758	675.2	12.153	24.00	14.93	1.54
	58.83	30.43	70.99	0.00	0.0649	11.76	517.5	418.20	0.0759	669.7	12.055	23.81	14.81	1.54
	59.83	30.40	70.99	0.00	0.0649	11.75	517.1	417.85	0.0763	676.9	12.184	24.06	14.97	1.54
	60.83	30.43	70.99	0.00	0.0648	11.74	516.7	417.55	0.0761	676.5	12.177	24.05	14.96	1.54
	61.83	30.40	70.99	0.00	0.0648	11.75	516.8	417.59	0.0763	677.6	12.197	24.09	14.99	1.54
	62.83	30.38	70.99	0.00	0.0647	11.72	515.6	416.59	0.0770	684.7	12.324	24.34	15.15	1.54
	63.81	30.43	71.01	0.00	0.0647	11.73	516.0	416.80	0.0771	688.3	12.389	24.46	15.23	1.54
	64.83	30.43	70.99	0.00	0.0647	11.73	515.9	416.93	0.0770	684.5	12.322	24.34	15.15	1.54
	65.81	30.43	70.99	0.00	0.0647	11.72	515.8	416.82	0.0771	686.5	12.356	24.41	15.19	1.54
	66.83	30.43	70.99	0.00	0.0647	11.73	516.0	416.95	0.0769	685.4	12.338	24.37	15.17	1.54
	67.81	30.40	71.01	0.00	0.0647	11.72	515.7	416.57	0.0774	690.3	12.425	24.53	15.28	1.54
	68.83	30.42	71.01	0.00	0.0647	11.72	515.6	416.47	0.0775	693.9	12.490	24.66	15.36	1.54
	69.81	30.45	71.04	0.00	0.0647	11.70	514.9	415.84	0.0777	696.2	12.531	24.74	15.41	1.54
	70.83	30.40	70.94	0.00	0.0647	11.71	515.4	416.75	0.0778	696.3	12.533	24.77	15.41	1.54
	71.81	30.38	70.99	0.00	0.0647	11.70	514.6	415.77	0.0778	698.5	12.573	24.83	15.46	1.54
	72.83	30.43	70.99	0.00	0.0646	11.71	515.1	416.24	0.0779	695.3	12.515	24.72	15.39	1.54
	73.81	30.45	70.99	0.00	0.0646	11.68	513.7	415.17	0.0782	705.4	12.697	25.08	15.62	1.54
	74.83	30.41	70.99	0.00	0.0646	11.70	514.6	415.82	0.0781	698.6	12.574	24.84	15.46	1.54
	75.81	30.42	70.99	0.00	0.0646	11.70	514.9	416.06	0.0784	700.3	12.606	24.90	15.50	1.54
	76.83	30.43	70.96	0.00	0.0645	11.66	513.1	414.80	0.0782	698.8	12.578	24.85	15.47	1.54
	77.81	30.45	70.99	0.00	0.0646	11.68	514.1	415.46	0.0780	699.2	12.586	24.86	15.48	1.54
	78.83	30.45	70.99	0.00	0.0646	11.69	514.3	415.67	0.0782	701.7	12.630	24.95	15.53	1.54
	79.83	30.43	70.96	0.00	0.0646	11.69	514.2	415.66	0.0785	704.0	12.672	25.04	15.58	1.54
	80.83	30.42	70.99	0.00	0.0646	11.68	513.9	415.26	0.0784	703.1	12.655	25.00	15.56	1.54
	81.91	30.47	71.01	0.00	0.0645	11.68	513.8	415.07	0.0787	708.7	12.757	25.19	15.69	1.54
	82.83	30.45	70.99	0.00	0.0645	11.66	512.9	414.51	0.0790	711.4	12.805	25.30	15.75	1.54
	83.89	30.45	70.99	0.00	0.0645	11.67	513.4	414.88	0.0787	709.2	12.765	25.22	15.70	1.54
	84.83	30.45	70.99	0.00	0.0645	11.67	513.5	415.01	0.0789	709.0	12.762	25.21	15.70	1.54
	85.83	30.45	71.01	0.00	0.0644	11.65	512.7	414.18	0.0793	714.1	12.854	25.38	15.81	1.54
	86.83	30.43	70.99	0.00	0.0644	11.65	512.5	414.16	0.0792	713.2	12.838	25.36	15.79	1.54
	87.83	30.43	70.99	0.00	0.0645	11.65	512.8	414.35	0.0792	713.8	12.848	25.38	15.80	1.54
	88.83	30.45	70.96	0.00	0.0643	11.63	511.8	413.74	0.0797	719.9	12.959	25.61	15.94	1.54
	89.83	30.42	70.99	0.00	0.0644	11.63	511.8	413.54	0.0794	714.3	12.857	25.40	15.81	1.54
	90.83	30.45	71.01	0.00	0.0644	11.64	512.2	413.75	0.0794	719.5	12.951	25.57	15.93	1.54
	91.83	30.42	70.99	0.00	0.0644	11.64	512.2	413.93	0.0793	716.4	12.894	25.47	15.86	1.54
