Mar 12 2018 at 9:58:02
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
third plot
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.94	31.42	70.96	0.00	0.0641	11.53	507.1	411.30	0.0692	559.4	10.070	19.96	12.10	1.56
	1.94	31.42	70.96	0.00	0.0636	11.46	504.3	409.00	0.0655	550.9	9.916	19.66	11.86	1.56
	2.94	31.42	70.93	0.00	0.0635	11.47	504.8	409.60	0.0658	550.1	9.901	19.64	11.84	1.56
	3.94	31.44	70.96	0.00	0.0637	11.54	507.5	411.66	0.0674	561.7	10.111	20.05	12.16	1.56
	4.94	31.44	70.94	0.00	0.0639	11.56	508.8	412.82	0.0674	572.3	10.301	20.43	12.44	1.56
	5.95	31.44	70.96	0.00	0.0635	11.50	506.1	410.49	0.0668	565.1	10.171	20.17	12.25	1.56
	6.94	31.44	70.96	0.00	0.0635	11.47	504.5	409.18	0.0673	561.4	10.105	20.03	12.15	1.56
	7.94	31.39	70.91	0.00	0.0635	11.46	504.3	409.24	0.0679	566.8	10.202	20.24	12.29	1.56
	8.94	31.44	70.96	0.00	0.0635	11.44	503.6	408.44	0.0681	573.2	10.317	20.46	12.47	1.56
	9.94	31.41	70.96	0.00	0.0635	11.41	501.9	407.09	0.0684	578.9	10.420	20.66	12.62	1.56
	10.94	31.44	70.96	0.00	0.0635	11.42	502.6	407.62	0.0688	589.5	10.611	21.04	12.89	1.56
	11.94	31.41	70.96	0.00	0.0632	11.36	499.9	405.43	0.0699	594.0	10.692	21.20	13.01	1.56
	12.94	31.44	70.96	0.00	0.0633	11.36	499.7	405.29	0.0699	601.7	10.831	21.47	13.21	1.56
	13.94	31.46	70.96	250.00	0.0631	11.36	499.8	405.39	0.0704	604.7	10.884	21.58	13.28	1.56
	14.94	31.46	70.99	0.00	0.0635	11.44	503.2	408.04	0.0706	608.8	10.959	21.72	13.39	1.56
	15.94	31.46	70.98	0.00	0.0636	11.44	503.5	408.30	0.0714	613.1	11.037	21.88	13.50	1.56
	16.94	31.46	70.96	0.00	0.0634	11.43	502.8	407.87	0.0711	612.3	11.021	21.85	13.48	1.56
	17.94	31.46	70.96	0.00	0.0632	11.39	501.2	406.53	0.0713	611.5	11.007	21.82	13.46	1.56
