Mar 12 2018 at 10:01:58
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
third plot
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.11	31.98	70.96	0.00	0.0632	11.36	500.0	406.28	0.0771	686.2	12.351	24.53	15.26	1.59
	1.11	32.03	70.96	0.00	0.0632	11.35	499.6	405.99	0.0764	680.9	12.257	24.35	15.15	1.60
	2.11	32.03	70.94	0.00	0.0634	11.39	500.9	407.23	0.0778	693.5	12.484	24.81	15.43	1.59
	3.19	32.03	70.96	0.00	0.0633	11.36	500.0	406.29	0.0771	691.3	12.444	24.72	15.38	1.59
	4.11	32.05	70.96	0.00	0.0632	11.36	500.0	406.34	0.0772	687.5	12.375	24.58	15.30	1.59
	5.12	32.02	70.96	0.00	0.0632	11.36	499.9	406.24	0.0772	688.3	12.389	24.61	15.31	1.59
	6.11	32.05	70.94	0.00	0.0631	11.35	499.5	406.06	0.0771	687.7	12.379	24.60	15.30	1.59
	7.12	32.05	70.94	0.00	0.0634	11.38	500.7	407.06	0.0788	697.7	12.559	24.96	15.53	1.59
	8.11	32.05	70.94	0.00	0.0633	11.41	502.2	408.24	0.0792	707.1	12.728	25.29	15.74	1.59
	9.12	32.05	70.96	0.00	0.0633	11.41	502.1	408.02	0.0788	707.9	12.743	25.31	15.75	1.59
	10.11	32.07	70.96	0.00	0.0633	11.37	500.3	406.64	0.0786	698.2	12.567	24.97	15.54	1.59
	11.12	32.05	70.96	0.00	0.0634	11.38	500.9	407.07	0.0786	706.5	12.718	25.26	15.72	1.60
	12.11	32.07	70.96	0.00	0.0633	11.41	501.9	407.90	0.0793	716.4	12.895	25.62	15.94	1.60
	13.11	32.02	70.94	0.00	0.0633	11.40	501.7	407.83	0.0793	716.7	12.901	25.64	15.95	1.60
	14.11	32.02	70.96	0.00	0.0634	11.42	502.3	408.20	0.0800	720.7	12.973	25.77	16.03	1.59
