Mar 12 2018 at 10:07:51
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
third plot
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.30	33.08	70.93	0.00	0.0634	11.48	505.3	412.19	0.0678	555.7	10.003	19.95	12.08	1.59
	1.31	33.11	70.93	0.00	0.0639	11.61	511.0	416.90	0.0683	568.0	10.223	20.39	12.41	1.59
	2.30	33.13	70.93	0.00	0.0649	11.67	513.5	418.92	0.0661	561.9	10.115	20.17	12.25	1.59
	3.30	33.13	70.91	0.00	0.0643	11.44	503.4	410.88	0.0700	601.1	10.819	21.58	13.28	1.59
	4.30	33.11	70.93	0.00	0.0632	11.40	501.5	409.16	0.0700	595.1	10.711	21.36	13.12	1.59
	5.30	33.11	70.96	0.00	0.0641	11.72	515.6	420.49	0.0712	611.4	11.004	21.94	13.54	1.59
	6.31	33.13	70.93	250.00	0.0639	11.59	510.0	416.12	0.0737	600.2	10.803	21.55	13.25	1.59
	7.30	33.13	70.91	0.00	0.0644	11.67	513.3	418.94	0.0677	602.8	10.851	21.65	13.32	1.59
	8.31	33.13	70.93	0.00	0.0639	11.48	505.0	412.04	0.0655	562.5	10.125	20.19	12.26	1.59
	9.30	33.11	70.93	0.00	0.0644	11.68	514.0	419.36	0.0639	528.4	9.510	18.97	11.31	1.59
	10.31	33.13	70.93	0.00	0.0654	11.78	518.2	422.80	0.0652	539.7	9.715	19.38	11.64	1.59
	11.30	33.11	70.93	0.00	0.0642	11.58	509.6	415.77	0.0650	547.1	9.848	19.64	11.84	1.59
	12.31	33.15	70.93	0.00	0.0649	11.54	507.6	414.21	0.0651	549.9	9.898	19.74	11.92	1.59
	13.30	33.13	70.89	0.00	0.0645	11.95	525.6	429.12	0.0659	543.1	9.776	19.51	11.73	1.59
	14.31	33.15	70.93	0.00	0.0643	11.81	519.5	423.86	0.0654	526.7	9.480	18.91	11.27	1.59
	15.30	33.15	70.91	0.00	0.0640	11.56	508.7	415.22	0.0636	523.8	9.428	18.81	11.19	1.59
	16.31	33.15	70.91	0.00	0.0640	11.59	510.1	416.39	0.0649	541.2	9.742	19.44	11.68	1.59
	17.30	33.13	70.99	0.00	0.0631	11.41	502.1	409.33	0.0722	586.3	10.554	21.03	12.90	1.59
	18.30	33.17	70.96	0.00	0.0631	11.39	501.3	408.93	0.0717	608.9	10.959	21.85	13.48	1.59
	19.38	33.15	70.93	0.00	0.0635	11.46	504.4	411.57	0.0687	573.1	10.317	20.58	12.55	1.59
	20.30	33.15	70.91	0.00	0.0633	11.39	501.2	409.07	0.0698	600.0	10.800	21.55	13.25	1.59
	21.31	33.15	70.93	0.00	0.0633	11.35	499.5	407.57	0.0684	594.9	10.707	21.36	13.12	1.59
	22.30	33.15	70.91	0.00	0.0631	11.30	497.2	405.80	0.0700	609.2	10.966	21.88	13.48	1.59
	23.31	33.17	70.93	0.00	0.0639	11.58	509.7	415.88	0.0654	551.8	9.933	19.81	11.98	1.59
	24.30	33.17	70.93	0.00	0.0640	11.33	498.6	406.87	0.0674	645.1	11.612	23.16	14.37	1.59
	25.31	33.15	70.93	0.00	0.0632	11.38	500.8	408.65	0.0700	602.7	10.849	21.64	13.32	1.59
	26.30	33.20	70.93	0.00	0.0629	11.27	496.0	404.78	0.0743	649.1	11.683	23.31	14.46	1.59
	27.31	33.17	70.91	0.00	0.0633	11.26	495.3	404.27	0.0699	641.9	11.555	23.06	14.29	1.59
	28.30	33.20	70.93	0.00	0.0635	11.48	505.2	412.24	0.0677	562.1	10.117	20.18	12.26	1.59
	29.31	33.17	70.93	0.00	0.0632	11.38	500.7	408.58	0.0689	596.8	10.742	21.43	13.17	1.59
	30.38	33.17	70.91	0.00	0.0630	11.29	496.8	405.52	0.0711	635.9	11.447	22.84	14.15	1.59
	31.30	33.20	70.93	0.00	0.0635	11.49	505.8	412.72	0.0670	556.0	10.007	19.96	12.09	1.59
	32.31	33.20	70.93	0.00	0.0633	11.52	506.7	413.48	0.0686	547.1	9.847	19.64	11.85	1.59
	33.30	33.17	70.93	0.00	0.0634	11.53	507.5	414.14	0.0689	550.1	9.901	19.75	11.93	1.59
	34.31	33.22	70.93	0.00	0.0633	11.42	502.7	410.23	0.0677	569.4	10.249	20.45	12.45	1.59
