Mar 12 2018 at 10:10:56
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
fourth plot
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.88	33.66	70.93	0.00	0.0634	11.43	503.1	411.16	0.0738	640.2	11.524	23.02	14.27	1.59
	1.80	33.63	70.91	0.00	0.0632	11.38	500.9	409.50	0.0749	660.7	11.892	23.76	14.76	1.59
	2.80	33.66	70.93	0.00	0.0633	11.39	501.0	409.42	0.0743	649.7	11.695	23.36	14.50	1.59
	3.80	33.63	70.91	0.00	0.0632	11.39	501.0	409.55	0.0745	649.9	11.699	23.38	14.51	1.59
	4.80	33.63	70.93	0.00	0.0631	11.33	498.6	407.49	0.0750	666.9	12.004	23.98	14.90	1.59
	5.80	33.66	70.93	0.00	0.0632	11.38	500.6	409.13	0.0750	657.5	11.835	23.64	14.69	1.59
	6.80	33.68	70.93	0.00	0.0631	11.34	499.0	407.82	0.0755	665.1	11.972	23.92	14.87	1.59
	7.80	33.66	70.93	0.00	0.0630	11.31	497.5	406.62	0.0765	680.7	12.253	24.48	15.22	1.60
	8.80	33.68	70.93	0.00	0.0630	11.33	498.5	407.45	0.0776	746.5	13.437	26.85	16.67	1.59
	9.80	33.68	70.93	0.00	0.0629	11.33	498.7	407.57	0.0766	673.6	12.126	24.23	15.06	1.59
	10.80	33.68	70.93	0.00	0.0630	11.30	497.2	406.39	0.0784	708.2	12.748	25.47	15.84	1.59
	11.80	33.65	70.91	0.00	0.0629	11.31	497.6	406.85	0.0775	693.9	12.490	24.96	15.52	1.59
	12.80	33.70	70.93	0.00	0.0629	11.28	496.1	405.53	0.0788	697.7	12.559	25.09	15.61	1.59
	13.88	33.68	70.93	0.00	0.0628	11.28	496.3	405.60	0.0778	693.4	12.481	24.94	15.51	1.60
	14.80	33.73	70.91	0.00	0.0630	11.33	498.6	407.69	0.0770	684.9	12.328	24.64	15.32	1.60
	15.81	33.70	70.93	0.00	0.0628	11.26	495.5	405.04	0.0778	697.7	12.558	25.09	15.61	1.59
	16.80	33.67	70.91	0.00	0.0628	11.24	494.8	404.52	0.0780	699.6	12.594	25.17	15.65	1.60
	17.80	33.68	70.91	0.00	0.0626	11.25	494.9	404.63	0.0787	704.8	12.687	25.36	15.77	1.59
	18.80	33.67	70.93	0.00	0.0628	11.25	495.0	404.55	0.0788	709.4	12.769	25.51	15.87	1.60
	19.80	33.68	70.91	0.00	0.0628	11.28	496.2	405.68	0.0788	709.7	12.775	25.53	15.88	1.60
	20.80	33.72	70.93	0.00	0.0627	11.28	496.4	405.74	0.0803	746.3	13.434	26.84	16.67	1.60
	21.80	33.72	70.93	0.00	0.0627	11.27	496.0	405.42	0.0799	729.7	13.135	26.25	16.31	1.60
