Mar 12 2018 at 10:15:16
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
fourth plot
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.66	34.40	70.91	0.00	0.0636	11.44	503.5	412.64	0.0731	639.0	11.501	23.04	14.28	1.61
	1.67	34.42	70.88	0.00	0.0636	11.46	504.1	413.31	0.0734	635.3	11.436	22.92	14.19	1.61
	2.66	34.42	70.91	0.00	0.0636	11.46	504.1	413.13	0.0731	636.4	11.456	22.95	14.22	1.61
	3.67	34.39	70.93	0.00	0.0635	11.45	503.8	412.73	0.0735	641.6	11.548	23.13	14.34	1.61
	4.75	34.42	70.91	0.00	0.0636	11.45	503.8	412.96	0.0735	643.1	11.575	23.19	14.38	1.61
	5.67	34.42	70.91	0.00	0.0636	11.45	503.9	413.04	0.0733	640.5	11.528	23.10	14.32	1.61
	6.67	34.45	70.88	0.00	0.0636	11.45	504.0	413.27	0.0741	644.8	11.606	23.26	14.42	1.61
	7.66	34.39	70.88	0.00	0.0636	11.46	504.2	413.39	0.0740	647.7	11.658	23.36	14.49	1.61
	8.67	34.42	70.91	0.00	0.0636	11.46	504.3	413.34	0.0741	650.0	11.701	23.44	14.55	1.61
	9.66	34.42	70.91	0.00	0.0636	11.45	504.0	413.07	0.0742	650.9	11.717	23.47	14.57	1.61
	10.67	34.39	70.91	0.00	0.0636	11.46	504.1	413.09	0.0745	654.5	11.781	23.60	14.65	1.61
	11.66	34.39	70.91	0.00	0.0636	11.46	504.1	413.16	0.0748	655.1	11.793	23.62	14.67	1.61
	12.67	34.41	70.91	0.00	0.0637	11.47	504.8	413.72	0.0747	655.7	11.802	23.64	14.68	1.61
	13.66	34.41	70.91	0.00	0.0637	11.47	504.8	413.72	0.0748	659.3	11.867	23.77	14.77	1.61
	14.67	34.44	70.91	0.00	0.0637	11.49	505.4	414.23	0.0752	664.5	11.961	23.97	14.89	1.61
	15.66	34.44	70.91	0.00	0.0636	11.47	504.7	413.69	0.0749	660.4	11.887	23.82	14.79	1.61
	16.67	34.44	70.91	0.00	0.0637	11.48	505.0	413.96	0.0754	664.6	11.963	23.97	14.89	1.61
	17.73	34.44	70.91	0.00	0.0636	11.48	505.0	413.93	0.0752	662.7	11.928	23.90	14.85	1.61
	18.67	34.44	70.91	0.00	0.0637	11.48	505.0	413.93	0.0753	663.1	11.935	23.91	14.86	1.61
	19.67	34.44	70.91	0.00	0.0637	11.48	505.3	414.20	0.0752	664.1	11.954	23.95	14.88	1.61
	20.67	34.44	70.88	0.00	0.0637	11.49	505.6	414.61	0.0756	668.9	12.040	24.13	14.99	1.61
	21.67	34.44	70.88	0.00	0.0637	11.49	505.5	414.50	0.0755	665.4	11.977	24.01	14.91	1.61
	22.66	34.46	70.91	0.00	0.0638	11.49	505.3	414.26	0.0756	667.0	12.006	24.06	14.95	1.61
	23.67	34.46	70.88	0.00	0.0638	11.51	506.3	415.21	0.0758	671.0	12.077	24.21	15.04	1.61
	24.66	34.46	70.91	0.00	0.0637	11.50	505.9	414.67	0.0760	673.3	12.120	24.28	15.10	1.61
	25.67	34.46	70.91	0.00	0.0638	11.50	506.2	414.94	0.0761	675.0	12.149	24.34	15.13	1.61
	26.66	34.46	70.91	0.00	0.0638	11.51	506.4	415.14	0.0764	678.3	12.210	24.47	15.21	1.61
	27.67	34.43	70.88	0.00	0.0638	11.51	506.6	415.36	0.0757	673.1	12.116	24.28	15.09	1.61
	28.66	34.50	70.91	0.00	0.0639	11.52	506.7	415.40	0.0764	676.3	12.173	24.40	15.17	1.61
	29.67	34.46	70.91	0.00	0.0638	11.51	506.6	415.27	0.0763	676.7	12.181	24.41	15.17	1.61
	30.73	34.48	70.91	0.00	0.0639	11.52	507.1	415.68	0.0765	679.9	12.238	24.52	15.25	1.61
	31.67	34.48	70.91	0.00	0.0638	11.52	507.0	415.58	0.0767	680.8	12.255	24.56	15.27	1.61
	32.67	34.48	70.89	0.00	0.0639	11.53	507.4	416.13	0.0768	684.2	12.316	24.69	15.35	1.61
	33.67	34.48	70.88	0.00	0.0639	11.53	507.3	416.05	0.0767	675.9	12.167	24.39	15.16	1.61
	34.67	34.45	70.88	0.00	0.0639	11.54	507.8	416.41	0.0765	685.2	12.333	24.72	15.37	1.61
	35.67	34.45	70.91	0.00	0.0639	11.53	507.5	415.98	0.0768	684.2	12.316	24.68	15.35	1.61
	36.67	34.45	70.91	0.00	0.0639	11.53	507.5	416.01	0.0769	685.8	12.344	24.73	15.38	1.61
	37.66	34.48	70.91	0.00	0.0639	11.53	507.5	416.04	0.0771	683.5	12.303	24.65	15.33	1.61
	38.67	34.48	70.91	0.00	0.0640	11.53	507.5	416.01	0.0772	687.8	12.381	24.81	15.43	1.61
	39.66	34.42	70.91	0.00	0.0639	11.55	508.0	416.37	0.0775	693.1	12.476	25.00	15.55	1.61
	40.67	34.48	70.88	0.00	0.0639	11.53	507.2	415.98	0.0771	686.7	12.361	24.78	15.40	1.61
