Mar 12 2018 at 10:21:20
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Very bright, low wind
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.98	34.91	70.91	0.00	0.0649	11.55	508.1	417.11	0.0657	545.4	9.818	19.70	11.89	1.58
	1.97	34.91	70.86	0.00	0.0645	11.57	509.1	418.21	0.0660	546.3	9.833	19.75	11.91	1.58
	2.98	34.93	70.88	0.00	0.0633	11.55	508.3	417.46	0.0669	552.7	9.949	19.97	12.09	1.58
	3.97	34.91	70.88	0.00	0.0635	11.45	504.0	413.88	0.0664	557.5	10.035	20.14	12.22	1.58
	4.98	34.93	70.86	0.00	0.0637	11.45	503.7	413.88	0.0663	554.8	9.986	20.06	12.14	1.58
	5.97	34.93	70.88	0.00	0.0641	11.54	507.8	417.04	0.0652	544.3	9.798	19.67	11.86	1.58
	6.98	34.93	70.88	0.00	0.0641	11.53	507.3	416.66	0.0663	552.5	9.945	19.96	12.08	1.58
	7.97	34.93	70.91	0.00	0.0635	11.62	511.5	419.93	0.0673	561.9	10.114	20.30	12.34	1.58
	8.98	34.93	70.91	0.00	0.0635	11.44	503.2	413.11	0.0672	566.7	10.201	20.47	12.47	1.58
	9.97	34.93	70.91	0.00	0.0636	11.74	516.5	424.07	0.0657	546.6	9.840	19.75	11.92	1.58
	10.98	34.91	70.91	0.00	0.0650	11.64	512.3	420.55	0.0667	550.0	9.901	19.87	12.01	1.58
	11.97	34.91	70.91	0.00	0.0634	11.48	505.2	414.75	0.0658	543.6	9.785	19.64	11.83	1.58
	12.98	34.93	70.88	0.00	0.0650	11.70	515.0	422.97	0.0596	497.0	8.946	17.96	10.48	1.58
	13.97	34.85	70.88	0.00	0.0642	11.53	507.4	416.58	0.0637	538.4	9.691	19.45	11.68	1.58
	14.98	34.88	70.88	0.00	0.0661	12.01	528.5	433.95	0.0625	522.7	9.408	18.89	11.24	1.58
	15.97	34.91	70.91	0.00	0.0644	11.67	513.7	421.69	0.0626	499.6	8.992	18.05	10.56	1.58
	16.98	34.93	70.88	0.00	0.0645	11.66	512.8	421.19	0.0612	506.7	9.120	18.31	10.77	1.58
	18.05	34.93	70.91	0.00	0.0644	11.66	513.0	421.21	0.0611	498.2	8.967	18.00	10.52	1.58
	18.98	34.96	70.91	0.00	0.0643	11.66	513.1	421.32	0.0617	495.6	8.921	17.90	10.44	1.58
	19.97	34.93	70.88	0.00	0.0645	11.68	513.7	421.91	0.0609	493.8	8.889	17.85	10.39	1.58
	20.98	34.93	70.88	0.00	0.0645	11.65	512.7	421.04	0.0616	501.4	9.025	18.12	10.62	1.58
	21.97	34.93	70.88	0.00	0.0651	11.67	513.4	421.66	0.0621	498.5	8.972	18.01	10.53	1.58
	22.98	34.93	70.88	0.00	0.0643	11.72	515.6	423.47	0.0625	510.6	9.190	18.45	10.89	1.58
	24.05	34.93	70.91	0.00	0.0645	11.69	514.6	422.46	0.0610	487.1	8.768	17.60	10.18	1.58
	24.98	34.93	70.88	0.00	0.0643	11.64	512.2	420.67	0.0619	501.8	9.032	18.13	10.63	1.58
	26.05	34.88	70.88	0.00	0.0640	11.57	508.9	417.86	0.0629	514.3	9.258	18.58	11.00	1.58
	26.98	34.93	70.88	0.00	0.0637	11.46	504.4	414.24	0.0639	526.7	9.481	19.03	11.36	1.58
	28.05	34.93	70.86	0.00	0.0634	11.48	505.1	414.98	0.0659	535.5	9.639	19.36	11.61	1.58
	28.98	34.93	70.88	0.00	0.0641	11.61	510.9	419.59	0.0622	502.3	9.041	18.15	10.64	1.58
	29.98	34.90	70.86	0.00	0.0643	11.62	511.2	419.98	0.0620	499.4	8.990	18.05	10.56	1.58
	30.98	34.90	70.88	0.00	0.0639	11.52	507.0	416.35	0.0635	518.6	9.334	18.74	11.12	1.58
	31.98	34.96	70.88	0.00	0.0634	12.20	537.0	441.03	0.0644	536.9	9.664	19.40	11.65	1.58
	32.98	34.93	70.88	0.00	0.0650	11.52	506.8	416.24	0.0608	527.7	9.498	19.07	11.39	1.58
	33.98	34.93	70.91	0.00	0.0641	11.64	512.0	420.38	0.0625	503.4	9.061	18.19	10.68	1.58
	34.98	34.96	70.91	0.00	0.0647	11.81	519.6	426.60	0.0609	493.8	8.889	17.84	10.39	1.58
	35.98	34.93	70.86	0.00	0.0645	11.74	516.4	424.23	0.0628	498.3	8.970	18.01	10.52	1.57
	36.98	34.93	70.91	0.00	0.0642	11.59	509.9	418.59	0.0627	510.7	9.193	18.45	10.89	1.58
	37.98	34.90	70.91	0.00	0.0641	11.59	510.2	418.80	0.0629	513.9	9.251	18.56	10.99	1.57
	38.98	34.93	70.88	0.00	0.0639	11.54	507.9	417.14	0.0626	517.8	9.321	18.71	11.10	1.57
