Mar 12 2018 at 10:23:44
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Very bright, low wind, occasional breeze
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.12	34.97	70.88	0.00	0.0635	11.44	503.2	413.30	0.0643	531.7	9.571	19.22	11.50	1.56
	1.12	35.00	70.91	0.00	0.0634	11.41	501.9	412.13	0.0646	535.6	9.640	19.35	11.61	1.56
	2.12	34.95	70.88	0.00	0.0632	11.39	501.1	411.59	0.0653	539.2	9.705	19.49	11.71	1.56
	3.11	35.00	70.91	0.00	0.0633	11.40	501.4	411.77	0.0652	542.5	9.766	19.60	11.81	1.56
	4.12	35.00	70.88	0.00	0.0633	11.40	501.5	411.92	0.0654	543.1	9.776	19.63	11.82	1.56
	5.11	35.00	70.86	0.00	0.0633	11.39	501.1	411.80	0.0655	543.0	9.774	19.63	11.82	1.56
	6.12	35.02	70.88	0.00	0.0632	11.36	499.9	410.71	0.0657	547.1	9.849	19.78	11.94	1.56
	7.11	35.02	70.88	0.00	0.0631	11.35	499.6	410.43	0.0662	552.2	9.939	19.96	12.08	1.56
	8.12	35.02	70.88	0.00	0.0631	11.35	499.2	410.12	0.0668	558.4	10.052	20.19	12.25	1.56
	9.11	35.02	70.88	0.00	0.0630	11.33	498.6	409.57	0.0669	560.7	10.092	20.27	12.31	1.56
	10.12	35.02	70.88	0.00	0.0630	11.35	499.3	410.17	0.0667	558.6	10.055	20.19	12.25	1.56
	11.11	34.99	70.88	0.00	0.0630	11.33	498.5	409.47	0.0671	562.6	10.126	20.33	12.36	1.56
	12.12	35.00	70.88	0.00	0.0629	11.32	498.0	409.07	0.0673	566.4	10.195	20.47	12.46	1.56
	13.11	35.00	70.88	0.00	0.0629	11.31	497.7	408.84	0.0680	569.6	10.253	20.59	12.55	1.56
	14.12	35.01	70.91	0.00	0.0628	11.27	496.1	407.37	0.0683	578.9	10.421	20.92	12.80	1.56
	15.11	35.00	70.88	0.00	0.0628	11.28	496.4	407.75	0.0682	577.2	10.389	20.86	12.75	1.56
	16.12	35.02	70.88	0.00	0.0628	11.28	496.3	407.71	0.0685	578.1	10.405	20.90	12.77	1.56
	17.11	34.97	70.88	0.00	0.0626	11.24	494.7	406.35	0.0688	583.0	10.493	21.07	12.90	1.56
	18.12	35.00	70.88	0.00	0.0628	11.27	495.8	407.29	0.0689	582.7	10.489	21.06	12.90	1.56
	19.12	35.02	70.86	0.00	0.0627	11.25	495.2	406.94	0.0694	591.8	10.652	21.40	13.13	1.56
	20.12	35.02	70.88	0.00	0.0627	11.26	495.3	406.87	0.0697	594.6	10.702	21.49	13.20	1.56
	21.20	35.02	70.88	0.00	0.0625	11.18	491.7	403.96	0.0701	600.5	10.810	21.71	13.36	1.56
	22.12	35.02	70.88	0.00	0.0625	11.21	493.2	405.14	0.0701	601.0	10.818	21.72	13.37	1.56
	23.19	35.02	70.88	0.00	0.0625	11.21	493.4	405.37	0.0704	600.9	10.817	21.72	13.37	1.56
	24.12	35.02	70.86	0.00	0.0622	11.17	491.6	403.96	0.0709	610.1	10.982	22.06	13.60	1.56
	25.19	35.02	70.88	0.00	0.0625	11.20	492.6	404.70	0.0709	609.6	10.972	22.03	13.59	1.56
	26.12	35.02	70.91	0.00	0.0624	11.18	491.8	403.84	0.0712	614.5	11.061	22.20	13.71	1.56
	27.19	34.97	70.86	0.00	0.0622	11.10	488.3	401.22	0.0725	653.7	11.767	23.63	14.66	1.56
	28.12	34.97	70.88	0.00	0.0624	11.18	492.0	404.09	0.0717	619.3	11.147	22.38	13.83	1.56
