Mar 12 2018 at 10:27:24
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Very bright, low wind, occasional breeze
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.28	35.09	70.86	0.00	0.0632	11.38	500.6	411.47	0.0667	562.2	10.120	20.33	12.35	1.58
	1.28	35.06	70.88	0.00	0.0631	11.37	500.2	410.99	0.0674	567.1	10.208	20.50	12.49	1.58
	2.28	35.09	70.88	0.00	0.0631	11.35	499.6	410.50	0.0682	581.1	10.460	21.01	12.86	1.58
	3.27	35.09	70.88	0.00	0.0632	11.37	500.2	410.98	0.0675	570.8	10.274	20.64	12.58	1.58
	4.28	35.06	70.88	0.00	0.0632	11.36	499.8	410.61	0.0679	571.9	10.294	20.67	12.61	1.58
	5.36	35.09	70.86	0.00	0.0631	11.36	499.9	410.86	0.0682	574.8	10.347	20.79	12.69	1.58
	6.28	35.06	70.86	0.00	0.0631	11.35	499.4	410.41	0.0683	578.4	10.411	20.92	12.78	1.58
	7.30	35.06	70.86	0.00	0.0631	11.36	499.6	410.66	0.0685	580.7	10.453	21.00	12.85	1.58
	8.28	35.09	70.88	0.00	0.0631	11.35	499.5	410.45	0.0687	582.8	10.490	21.07	12.90	1.58
	9.36	35.09	70.86	0.00	0.0631	11.35	499.6	410.63	0.0688	583.8	10.509	21.12	12.93	1.58
	10.28	35.09	70.86	0.00	0.0631	11.35	499.4	410.52	0.0691	585.4	10.537	21.17	12.97	1.58
	11.28	35.09	70.83	0.00	0.0631	11.36	499.7	410.85	0.0694	592.8	10.670	21.45	13.16	1.58
	12.28	35.09	70.88	0.00	0.0632	11.37	500.2	411.02	0.0698	596.3	10.734	21.56	13.25	1.58
	13.28	35.09	70.88	0.00	0.0631	11.35	499.3	410.29	0.0696	593.8	10.688	21.47	13.19	1.58
	14.28	35.09	70.88	0.00	0.0631	11.35	499.4	410.32	0.0700	596.9	10.744	21.58	13.27	1.58
	15.28	35.09	70.88	0.00	0.0631	11.35	499.3	410.24	0.0709	608.9	10.960	22.01	13.57	1.58
	16.28	35.03	70.86	0.00	0.0631	11.35	499.6	410.56	0.0704	602.8	10.851	21.80	13.42	1.58
	17.28	35.06	70.88	0.00	0.0631	11.36	499.7	410.59	0.0705	605.1	10.892	21.88	13.48	1.58
	18.28	35.09	70.88	0.00	0.0631	11.37	500.3	411.08	0.0707	609.8	10.977	22.05	13.60	1.58
	19.28	35.09	70.88	0.00	0.0632	11.36	499.8	410.65	0.0709	609.2	10.966	22.03	13.58	1.58
