Mar 12 2018 at 11:49:06
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Overcast, light rain, first control plot
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.53	28.49	70.46	0.00	0.0653	11.87	522.4	422.52	0.0653	543.4	9.782	19.34	11.51	1.44
	1.55	28.50	70.46	0.00	0.0653	11.88	522.7	422.78	0.0651	542.7	9.769	19.32	11.49	1.44
	2.53	28.50	70.44	0.00	0.0653	11.88	522.9	423.14	0.0655	544.0	9.791	19.37	11.53	1.44
	3.55	28.50	70.44	0.00	0.0653	11.87	522.4	422.74	0.0656	547.6	9.856	19.50	11.63	1.44
	4.53	28.49	70.44	0.00	0.0652	11.86	521.9	422.25	0.0654	547.4	9.853	19.49	11.62	1.44
	5.55	28.49	70.44	0.00	0.0651	11.86	521.9	422.30	0.0656	548.2	9.867	19.52	11.64	1.44
	6.53	28.49	70.46	0.00	0.0653	11.88	522.6	422.73	0.0659	548.2	9.867	19.51	11.64	1.44
	7.55	28.50	70.44	0.00	0.0654	11.89	523.3	423.44	0.0659	551.5	9.926	19.63	11.73	1.44
	8.53	28.49	70.46	0.00	0.0652	11.86	521.9	422.13	0.0662	554.3	9.977	19.73	11.81	1.44
	9.55	28.47	70.46	0.00	0.0651	11.86	521.7	421.97	0.0663	554.5	9.981	19.73	11.81	1.44
	10.53	28.49	70.44	0.00	0.0652	11.87	522.2	422.56	0.0665	559.1	10.064	19.91	11.94	1.44
	11.55	28.49	70.44	0.00	0.0653	11.87	522.4	422.66	0.0665	559.4	10.068	19.91	11.95	1.44
	12.53	28.50	70.44	0.00	0.0653	11.86	521.9	422.30	0.0666	562.6	10.126	20.03	12.04	1.44
	13.55	28.49	70.44	0.00	0.0652	11.88	522.9	423.10	0.0666	558.5	10.054	19.89	11.93	1.44
	14.53	28.46	70.44	0.00	0.0653	11.86	521.7	422.12	0.0669	562.6	10.127	20.03	12.03	1.44
	15.55	28.49	70.44	0.00	0.0653	11.87	522.4	422.74	0.0671	562.9	10.132	20.04	12.04	1.44
	16.53	28.46	70.44	0.00	0.0652	11.87	522.3	422.58	0.0673	566.5	10.197	20.17	12.14	1.44
	17.55	28.46	70.44	0.00	0.0652	11.87	522.1	422.44	0.0671	563.4	10.142	20.06	12.06	1.44
	18.53	28.49	70.44	0.00	0.0653	11.86	521.9	422.27	0.0672	566.1	10.190	20.15	12.13	1.44
	19.55	28.49	70.44	0.00	0.0652	11.86	521.8	422.24	0.0672	564.5	10.162	20.10	12.09	1.44
	20.53	28.49	70.44	0.00	0.0651	11.83	520.7	421.33	0.0680	571.5	10.287	20.35	12.27	1.44
	21.55	28.49	70.44	0.00	0.0651	11.85	521.4	421.93	0.0676	571.7	10.290	20.35	12.28	1.44
	22.62	28.47	70.46	0.00	0.0651	11.85	521.3	421.66	0.0673	568.7	10.236	20.24	12.20	1.44
	23.55	28.42	70.44	0.00	0.0651	11.84	521.1	421.53	0.0679	572.1	10.298	20.36	12.29	1.44
	24.53	28.47	70.44	0.00	0.0651	11.84	520.9	421.46	0.0680	573.7	10.327	20.42	12.33	1.44
	25.55	28.47	70.44	0.00	0.0651	11.84	520.9	421.44	0.0681	576.4	10.375	20.52	12.40	1.44
	26.53	28.49	70.44	0.00	0.0651	11.83	520.4	421.08	0.0681	577.8	10.400	20.57	12.44	1.44
	28.11	28.47	70.46	0.00	0.0651	11.84	520.9	421.33	0.0680	575.2	10.353	20.47	12.37	1.44
	28.61	28.42	70.46	0.00	0.0651	11.83	520.5	420.89	0.0685	578.5	10.413	20.58	12.46	1.44
	29.55	28.47	70.44	0.00	0.0650	11.82	519.9	420.68	0.0695	590.2	10.623	21.01	12.76	1.44
	30.61	28.42	70.44	0.00	0.0651	11.83	520.7	421.21	0.0687	583.0	10.493	20.75	12.57	1.44
	31.55	28.42	70.44	0.00	0.0650	11.83	520.6	421.17	0.0687	581.9	10.474	20.71	12.55	1.44
	32.55	28.42	70.46	0.00	0.0650	11.82	520.0	420.51	0.0688	586.9	10.564	20.88	12.68	1.44
	33.55	28.45	70.44	0.00	0.0651	11.82	520.2	420.91	0.0689	584.5	10.522	20.81	12.62	1.44
	34.55	28.45	70.44	0.00	0.0650	11.82	519.9	420.59	0.0691	590.0	10.621	21.00	12.76	1.44
