Mar 12 2018 at 11:52:47
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Overcast, light rain, first control plot
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.52	28.12	70.44	0.00	0.0637	11.50	505.8	408.79	0.0688	585.2	10.534	20.81	12.62	1.46
	1.58	28.17	70.44	0.00	0.0637	11.49	505.6	408.64	0.0693	588.0	10.585	20.91	12.69	1.46
	2.52	28.17	70.44	0.00	0.0636	11.49	505.5	408.60	0.0692	590.0	10.620	20.98	12.74	1.46
	3.52	28.15	70.44	0.00	0.0636	11.48	505.3	408.42	0.0691	590.4	10.626	20.99	12.75	1.46
	4.51	28.14	70.44	0.00	0.0637	11.49	505.6	408.61	0.0694	590.5	10.629	21.00	12.75	1.46
	5.53	28.17	70.44	0.00	0.0636	11.49	505.4	408.53	0.0694	594.6	10.703	21.15	12.86	1.46
	6.51	28.18	70.46	0.00	0.0636	11.49	505.5	408.43	0.0693	592.7	10.668	21.07	12.81	1.46
	7.53	28.17	70.46	0.00	0.0637	11.49	505.8	408.65	0.0695	594.3	10.697	21.13	12.85	1.46
	8.52	28.17	70.44	0.00	0.0636	11.49	505.6	408.67	0.0695	595.0	10.710	21.16	12.87	1.46
	9.53	28.15	70.44	0.00	0.0636	11.50	505.8	408.83	0.0698	598.1	10.767	21.27	12.95	1.46
	10.52	28.17	70.44	0.00	0.0636	11.50	505.8	408.85	0.0699	596.6	10.739	21.22	12.91	1.46
	11.53	28.15	70.44	0.00	0.0637	11.50	505.9	408.92	0.0699	599.5	10.792	21.32	12.99	1.46
	12.52	28.15	70.46	0.00	0.0636	11.50	506.0	408.80	0.0698	600.0	10.800	21.33	13.00	1.46
	13.53	28.12	70.44	0.00	0.0637	11.51	506.3	409.14	0.0702	602.2	10.840	21.41	13.05	1.46
	14.52	28.15	70.44	0.00	0.0637	11.50	506.2	409.11	0.0699	600.6	10.810	21.36	13.01	1.46
	15.53	28.12	70.44	0.00	0.0637	11.51	506.3	409.20	0.0703	605.0	10.891	21.51	13.13	1.46
	16.52	28.15	70.41	0.00	0.0637	11.51	506.3	409.36	0.0703	604.2	10.876	21.49	13.11	1.46
	17.53	28.10	70.44	0.00	0.0637	11.51	506.6	409.43	0.0706	607.9	10.943	21.62	13.20	1.46
	18.52	28.15	70.44	0.00	0.0638	11.52	506.8	409.61	0.0707	607.8	10.941	21.62	13.20	1.46
	19.53	28.12	70.44	0.00	0.0637	11.52	506.7	409.51	0.0705	607.0	10.926	21.58	13.17	1.46
	20.52	28.17	70.44	0.00	0.0638	11.52	506.7	409.58	0.0708	608.8	10.959	21.65	13.22	1.46
	21.53	28.12	70.44	0.00	0.0637	11.53	507.1	409.87	0.0707	609.9	10.978	21.69	13.25	1.46
	22.52	28.15	70.44	0.00	0.0638	11.52	507.0	409.75	0.0708	610.2	10.983	21.70	13.26	1.46
	23.53	28.15	70.46	0.00	0.0638	11.53	507.3	409.83	0.0708	611.5	11.007	21.74	13.29	1.46
	24.52	28.13	70.36	0.00	0.0639	11.53	507.4	410.53	0.0711	612.4	11.023	21.80	13.31	1.46
	25.53	28.15	70.41	0.00	0.0638	11.54	507.6	410.38	0.0711	613.3	11.040	21.82	13.34	1.46
	26.59	28.15	70.44	0.00	0.0639	11.55	508.0	410.57	0.0712	614.5	11.060	21.85	13.36	1.46
	27.53	28.15	70.44	0.00	0.0638	11.54	507.9	410.49	0.0712	614.4	11.060	21.85	13.36	1.46
	28.52	28.15	70.44	0.00	0.0640	11.57	509.2	411.54	0.0717	621.9	11.194	22.12	13.55	1.46
	29.53	28.15	70.44	0.00	0.0639	11.55	508.2	410.77	0.0714	618.7	11.137	22.00	13.47	1.46
	30.52	28.15	70.44	0.00	0.0638	11.55	508.4	410.89	0.0715	618.5	11.133	22.00	13.46	1.46
	31.52	28.15	70.44	0.00	0.0639	11.55	508.2	410.76	0.0714	617.9	11.122	21.97	13.45	1.46
	32.59	28.15	70.46	0.00	0.0639	11.56	508.6	410.91	0.0716	619.2	11.146	22.01	13.48	1.46
	33.52	28.15	70.44	0.00	0.0639	11.56	508.6	411.08	0.0718	620.7	11.172	22.07	13.52	1.46
	34.52	28.15	70.49	0.00	0.0639	11.57	509.2	411.24	0.0719	624.6	11.243	22.20	13.61	1.46
	35.52	28.15	70.46	0.00	0.0640	11.57	509.1	411.28	0.0719	624.4	11.239	22.20	13.61	1.46
	36.52	28.15	70.44	0.00	0.0639	11.57	509.2	411.56	0.0718	622.2	11.200	22.13	13.56	1.46
	37.52	28.15	70.44	0.00	0.0640	11.59	509.8	412.03	0.0721	626.6	11.279	22.28	13.66	1.46
	38.52	28.15	70.46	0.00	0.0640	11.58	509.6	411.72	0.0721	625.7	11.263	22.24	13.64	1.46
	39.52	28.13	70.44	0.00	0.0640	11.59	509.8	412.02	0.0722	627.1	11.287	22.30	13.67	1.46
	40.52	28.15	70.44	0.00	0.0641	11.59	509.9	412.14	0.0722	628.3	11.309	22.34	13.71	1.46
	41.52	28.13	70.44	0.00	0.0640	11.59	510.0	412.20	0.0724	628.1	11.306	22.34	13.70	1.46
	42.52	28.15	70.44	0.00	0.0640	11.59	510.1	412.29	0.0722	627.3	11.291	22.31	13.68	1.46
	43.52	28.15	70.44	0.00	0.0642	11.60	510.4	412.50	0.0724	628.8	11.318	22.36	13.72	1.46
	44.52	28.15	70.44	0.00	0.0641	11.60	510.5	412.61	0.0726	630.1	11.343	22.41	13.75	1.46
	45.52	28.15	70.44	0.00	0.0642	11.61	511.0	413.04	0.0728	633.9	11.411	22.54	13.84	1.46
	46.52	28.13	70.44	0.00	0.0641	11.61	510.9	412.91	0.0726	632.6	11.386	22.49	13.81	1.46
	47.52	28.15	70.44	0.00	0.0641	11.62	511.2	413.18	0.0728	634.2	11.416	22.55	13.85	1.46
	48.52	28.13	70.44	0.00	0.0642	11.62	511.3	413.18	0.0728	634.6	11.422	22.56	13.86	1.46
	49.52	28.10	70.44	0.00	0.0642	11.62	511.5	413.34	0.0728	636.4	11.455	22.63	13.90	1.46
	50.52	28.13	70.46	0.00	0.0643	11.62	511.5	413.21	0.0731	636.3	11.453	22.62	13.90	1.46
	51.52	28.13	70.44	0.00	0.0642	11.63	511.5	413.39	0.0730	635.7	11.443	22.61	13.89	1.46
	52.52	28.10	70.46	0.00	0.0642	11.63	511.8	413.48	0.0730	637.8	11.480	22.67	13.93	1.46
	53.52	28.13	70.44	0.00	0.0643	11.64	512.3	414.02	0.0732	639.8	11.516	22.75	13.98	1.46
	54.52	28.15	70.49	0.00	0.0643	11.64	512.3	413.77	0.0731	639.1	11.503	22.71	13.97	1.46
	55.59	28.13	70.44	0.00	0.0643	11.65	512.5	414.19	0.0733	640.6	11.531	22.78	14.00	1.46
	56.52	28.08	70.44	0.00	0.0643	11.65	512.7	414.28	0.0734	642.0	11.556	22.83	14.03	1.46
	57.52	28.10	70.41	0.00	0.0644	11.66	513.1	414.83	0.0736	643.2	11.578	22.88	14.07	1.46
	58.52	28.13	70.46	0.00	0.0643	11.66	513.1	414.49	0.0734	642.8	11.570	22.85	14.06	1.46
	59.52	28.13	70.44	0.00	0.0644	11.66	512.9	414.53	0.0735	642.1	11.558	22.83	14.04	1.46
	60.52	28.13	70.41	0.00	0.0643	11.67	513.5	415.12	0.0736	644.6	11.603	22.93	14.10	1.46
	61.52	28.15	70.41	0.00	0.0644	11.67	513.4	415.09	0.0734	644.9	11.608	22.94	14.11	1.46
	62.52	28.13	70.46	0.00	0.0644	11.67	513.6	414.95	0.0736	645.9	11.626	22.96	14.13	1.46
	63.59	28.13	70.46	0.00	0.0644	11.67	513.7	414.98	0.0737	645.6	11.620	22.95	14.12	1.46
	64.52	28.10	70.46	0.00	0.0644	11.69	514.3	415.48	0.0737	647.5	11.655	23.02	14.17	1.46
	65.59	28.10	70.46	0.00	0.0645	11.68	514.0	415.25	0.0738	646.6	11.638	22.98	14.14	1.46
	66.52	28.10	70.46	0.00	0.0645	11.69	514.2	415.42	0.0738	647.6	11.657	23.02	14.17	1.46
	67.53	28.10	70.44	0.00	0.0645	11.69	514.4	415.74	0.0740	649.2	11.686	23.08	14.21	1.46
	68.52	28.13	70.44	0.00	0.0645	11.70	514.7	415.94	0.0740	649.1	11.684	23.08	14.21	1.46
	69.53	28.13	70.44	0.00	0.0645	11.70	514.9	416.11	0.0740	650.7	11.713	23.14	14.24	1.46
	70.52	28.13	70.41	0.00	0.0645	11.70	514.9	416.30	0.0741	650.2	11.704	23.13	14.23	1.46
	71.53	28.13	70.44	0.00	0.0646	11.71	515.2	416.40	0.0741	651.4	11.726	23.16	14.26	1.46
	72.52	28.13	70.44	0.00	0.0646	11.71	515.4	416.57	0.0742	653.1	11.756	23.23	14.30	1.46
	73.53	28.13	70.41	0.00	0.0646	11.71	515.4	416.69	0.0742	652.3	11.742	23.20	14.28	1.46
	74.52	28.13	70.46	0.00	0.0646	11.72	515.9	416.75	0.0743	653.5	11.762	23.23	14.31	1.46
	75.53	28.11	70.46	0.00	0.0647	11.74	516.5	417.23	0.0746	656.2	11.811	23.32	14.37	1.46
	76.52	28.11	70.46	0.00	0.0646	11.72	515.8	416.69	0.0744	653.7	11.766	23.23	14.31	1.46
	77.53	28.09	70.41	0.00	0.0647	11.74	516.4	417.43	0.0746	656.5	11.817	23.35	14.38	1.46
	78.52	28.13	70.46	0.00	0.0647	11.74	516.4	417.18	0.0744	656.4	11.815	23.33	14.38	1.46
	79.53	28.13	70.41	0.00	0.0647	11.74	516.5	417.55	0.0746	657.3	11.832	23.38	14.40	1.46
	80.52	28.13	70.46	0.00	0.0647	11.74	516.7	417.41	0.0746	657.4	11.833	23.37	14.40	1.46
	81.53	28.11	70.44	0.00	0.0647	11.74	516.7	417.58	0.0747	657.9	11.843	23.39	14.41	1.46
	82.52	28.13	70.44	0.00	0.0648	11.76	517.3	418.09	0.0748	660.3	11.886	23.48	14.47	1.46
	83.53	28.10	70.44	0.00	0.0648	11.75	517.2	417.95	0.0749	660.1	11.882	23.47	14.47	1.46
	84.52	28.10	70.44	0.00	0.0647	11.76	517.3	418.03	0.0748	659.9	11.879	23.46	14.46	1.46
	85.53	28.08	70.44	0.00	0.0648	11.76	517.6	418.22	0.0748	661.1	11.900	23.51	14.49	1.46
	86.52	28.15	70.44	0.00	0.0649	11.77	517.9	418.55	0.0751	663.5	11.944	23.60	14.55	1.46
	87.53	28.13	70.44	0.00	0.0649	11.77	517.7	418.43	0.0751	661.8	11.913	23.53	14.51	1.46
	88.52	28.13	70.44	0.00	0.0649	11.78	518.2	418.82	0.0751	664.0	11.951	23.61	14.56	1.46
	89.53	28.18	70.41	0.00	0.0648	11.78	518.4	419.20	0.0750	664.1	11.954	23.63	14.56	1.46
	90.52	28.11	70.41	0.00	0.0649	11.79	518.7	419.35	0.0753	664.8	11.967	23.65	14.58	1.46
	91.52	28.09	70.44	0.00	0.0650	11.78	518.5	419.00	0.0752	663.4	11.941	23.59	14.54	1.46
	92.59	28.12	70.44	0.00	0.0649	11.79	518.6	419.12	0.0754	665.2	11.973	23.65	14.58	1.46
	93.52	28.13	70.46	0.00	0.0650	11.80	519.3	419.55	0.0753	667.8	12.020	23.74	14.65	1.46
	94.59	28.09	70.46	0.00	0.0649	11.79	519.0	419.22	0.0752	665.9	11.986	23.67	14.60	1.47
	95.52	28.13	70.44	0.00	0.0650	11.81	519.6	419.96	0.0754	668.7	12.036	23.78	14.67	1.47
	96.53	28.13	70.41	0.00	0.0650	11.80	519.4	419.94	0.0755	667.8	12.020	23.76	14.65	1.46
	97.52	28.08	70.44	0.00	0.0651	11.82	520.0	420.23	0.0756	670.4	12.067	23.84	14.70	1.46
	98.53	28.13	70.44	0.00	0.0651	11.80	519.4	419.74	0.0759	668.0	12.023	23.75	14.65	1.46
	99.52	28.13	70.46	0.00	0.0651	11.85	521.6	421.39	0.0758	673.9	12.129	23.95	14.79	1.46
	100.53	28.13	70.44	0.00	0.0651	11.82	520.3	420.49	0.0755	670.7	12.073	23.85	14.71	1.47
	101.52	28.13	70.44	0.00	0.0651	11.82	520.2	420.42	0.0757	670.3	12.065	23.84	14.70	1.47
	102.53	28.13	70.44	0.00	0.0651	11.83	520.5	420.66	0.0758	671.3	12.084	23.87	14.73	1.47
	103.52	28.13	70.44	0.00	0.0651	11.83	520.5	420.69	0.0758	671.9	12.094	23.89	14.74	1.46
	104.53	28.09	70.44	0.00	0.0652	11.84	520.8	420.88	0.0759	673.8	12.128	23.96	14.78	1.47
	105.52	28.11	70.41	0.00	0.0652	11.84	521.1	421.28	0.0758	673.8	12.128	23.97	14.78	1.47
	106.53	28.11	70.44	0.00	0.0652	11.85	521.5	421.41	0.0759	674.7	12.144	23.99	14.80	1.47
	107.52	28.13	70.44	0.00	0.0652	11.85	521.2	421.24	0.0759	673.9	12.130	23.96	14.79	1.47
	108.52	28.11	70.41	0.00	0.0653	11.85	521.4	421.52	0.0761	675.6	12.162	24.03	14.83	1.47
	109.52	28.11	70.44	0.00	0.0653	11.86	522.0	421.85	0.0763	677.6	12.197	24.10	14.87	1.46
	110.52	28.09	70.44	0.00	0.0653	11.87	522.5	422.21	0.0762	678.3	12.210	24.12	14.89	1.47
	111.52	28.13	70.44	0.00	0.0652	11.87	522.2	422.01	0.0761	678.5	12.212	24.13	14.89	1.47
	112.52	28.11	70.41	0.00	0.0652	11.87	522.2	422.18	0.0761	678.3	12.210	24.13	14.89	1.47
	113.52	28.11	70.44	0.00	0.0653	11.88	522.8	422.51	0.0764	680.4	12.247	24.19	14.93	1.47
	114.52	28.11	70.41	0.00	0.0653	11.89	523.0	422.83	0.0765	681.3	12.263	24.23	14.95	1.47
	115.52	28.11	70.44	0.00	0.0654	11.91	524.1	423.51	0.0766	684.7	12.325	24.35	15.03	1.47
	116.52	28.09	70.44	0.00	0.0654	11.88	522.9	422.55	0.0765	680.3	12.246	24.19	14.93	1.47
	117.52	28.09	70.46	0.00	0.0654	11.89	523.1	422.57	0.0766	681.0	12.257	24.20	14.95	1.47
	118.52	28.11	70.44	0.00	0.0653	11.89	523.3	422.87	0.0765	681.9	12.274	24.25	14.97	1.47
	119.52	28.11	70.39	0.00	0.0653	11.89	523.3	423.15	0.0764	681.9	12.274	24.26	14.97	1.47
	120.52	28.09	70.46	0.00	0.0654	11.90	523.6	422.98	0.0766	682.2	12.280	24.25	14.97	1.47
	121.52	28.13	70.46	0.00	0.0654	11.91	523.9	423.24	0.0766	683.7	12.306	24.30	15.01	1.47
	122.53	28.09	70.44	0.00	0.0655	11.91	524.1	423.53	0.0768	683.8	12.308	24.31	15.01	1.47
