Mar 12 2018 at 11:58:44
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Overcast, light rain, first control plot
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.53	28.03	70.44	0.00	0.0634	11.45	503.6	406.89	0.0688	591.3	10.644	21.02	12.77	1.49
	1.55	28.02	70.44	0.00	0.0633	11.42	502.5	405.95	0.0699	596.2	10.731	21.19	12.89	1.49
	2.62	28.02	70.44	0.00	0.0631	11.39	501.1	404.83	0.0717	618.3	11.129	21.98	13.45	1.49
	3.55	28.02	70.41	0.00	0.0630	11.38	500.9	404.83	0.0712	611.4	11.004	21.74	13.28	1.49
	4.56	27.97	70.44	0.00	0.0632	11.44	503.3	406.53	0.0708	596.8	10.742	21.21	12.91	1.49
	5.55	28.03	70.44	0.00	0.0634	11.41	502.1	405.65	0.0697	603.6	10.864	21.46	13.08	1.49
	6.56	27.99	70.44	0.00	0.0631	11.42	502.3	405.76	0.0714	605.4	10.897	21.52	13.13	1.49
	7.55	28.02	70.41	0.00	0.0636	11.44	503.5	406.95	0.0699	606.3	10.914	21.56	13.15	1.49
	8.56	28.03	70.41	0.00	0.0634	11.42	502.3	405.95	0.0700	604.8	10.886	21.51	13.11	1.49
	9.55	28.02	70.44	0.00	0.0632	11.43	502.7	406.13	0.0710	608.5	10.953	21.63	13.21	1.49
	10.56	28.03	70.44	0.00	0.0639	11.51	506.6	409.32	0.0689	575.9	10.367	20.47	12.37	1.49
	11.55	28.03	70.44	0.00	0.0632	11.41	501.9	405.52	0.0707	604.4	10.878	21.48	13.10	1.49
	12.56	27.99	70.44	0.00	0.0630	11.38	500.6	404.38	0.0720	613.4	11.042	21.80	13.33	1.49
	13.55	28.01	70.41	0.00	0.0632	11.38	500.6	404.57	0.0700	608.4	10.950	21.63	13.20	1.49
	14.56	28.03	70.44	0.00	0.0633	11.39	501.2	404.92	0.0693	597.4	10.753	21.24	12.93	1.49
	15.55	28.03	70.44	0.00	0.0629	11.34	499.0	403.16	0.0718	618.9	11.139	22.00	13.47	1.49
	16.56	28.03	70.44	0.00	0.0630	11.35	499.5	403.55	0.0718	619.1	11.143	22.01	13.47	1.49
