Mar 12 2018 at 11:59:59
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Overcast, light rain, light fluctuations
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.61	28.07	70.39	0.00	0.0639	11.53	507.4	410.31	0.0715	626.8	11.282	22.30	13.66	1.50
	1.67	28.11	70.46	0.00	0.0639	11.53	507.4	409.89	0.0718	620.6	11.171	22.06	13.51	1.50
	2.61	28.09	70.41	0.00	0.0639	11.54	507.7	410.44	0.0711	614.2	11.056	21.85	13.35	1.50
	3.67	28.09	70.44	0.00	0.0637	11.52	506.7	409.43	0.0719	624.1	11.233	22.19	13.60	1.50
	4.61	28.07	70.41	0.00	0.0637	11.50	505.9	408.90	0.0727	635.4	11.437	22.60	13.87	1.50
	5.61	28.11	70.41	0.00	0.0638	11.49	505.6	408.77	0.0732	639.7	11.515	22.75	13.98	1.50
	6.61	28.09	70.41	0.00	0.0637	11.48	505.3	408.50	0.0722	636.1	11.450	22.62	13.89	1.50
	7.61	28.09	70.39	0.00	0.0637	11.51	506.3	409.39	0.0718	620.9	11.177	22.09	13.52	1.50
	8.61	28.11	70.44	0.00	0.0636	11.49	505.7	408.70	0.0721	624.4	11.239	22.20	13.61	1.50
	9.61	28.11	70.41	0.00	0.0636	11.48	505.2	408.37	0.0725	633.0	11.394	22.52	13.82	1.50
	10.61	28.07	70.44	0.00	0.0636	11.48	505.2	408.18	0.0728	633.3	11.399	22.51	13.82	1.50
	11.61	28.09	70.44	0.00	0.0637	11.49	505.6	408.54	0.0725	630.6	11.350	22.42	13.76	1.50
	12.61	28.11	70.44	0.00	0.0636	11.47	504.8	407.95	0.0731	633.9	11.410	22.54	13.84	1.50
	13.61	28.11	70.41	0.00	0.0635	11.48	504.9	408.20	0.0731	636.4	11.456	22.64	13.90	1.50
	14.61	28.09	70.44	0.00	0.0633	11.46	504.4	407.57	0.0733	637.7	11.478	22.67	13.93	1.50
	15.61	28.11	70.41	0.00	0.0634	11.45	503.6	407.15	0.0735	640.6	11.531	22.79	14.00	1.50
	16.61	28.11	70.41	0.00	0.0634	11.44	503.1	406.75	0.0738	647.3	11.651	23.02	14.16	1.50
	17.61	28.13	70.44	0.00	0.0633	11.42	502.3	405.93	0.0743	656.9	11.824	23.36	14.39	1.50
	18.61	28.09	70.44	0.00	0.0633	11.43	502.7	406.25	0.0745	653.0	11.754	23.22	14.30	1.50
	19.59	28.11	70.44	0.00	0.0634	11.42	502.5	406.10	0.0743	652.4	11.743	23.20	14.28	1.50
	20.59	28.11	70.44	0.00	0.0632	11.40	501.8	405.54	0.0746	656.8	11.823	23.36	14.39	1.50
	21.59	28.11	70.44	0.00	0.0632	11.40	501.6	405.34	0.0749	663.9	11.950	23.61	14.55	1.50
	22.59	28.13	70.44	0.00	0.0633	11.41	502.0	405.73	0.0750	661.9	11.914	23.54	14.51	1.50
	23.59	28.10	70.41	0.00	0.0633	11.39	501.2	405.19	0.0751	663.4	11.941	23.60	14.54	1.50
	24.59	28.13	70.44	0.00	0.0632	11.39	501.3	405.15	0.0751	663.6	11.945	23.60	14.55	1.50
	25.59	28.13	70.41	0.00	0.0631	11.37	500.5	404.63	0.0764	672.3	12.101	23.91	14.75	1.50
	26.59	28.10	70.41	0.00	0.0632	11.38	500.7	404.80	0.0756	673.6	12.125	23.96	14.78	1.50
	27.59	28.13	70.44	0.00	0.0631	11.38	500.5	404.51	0.0763	670.1	12.062	23.83	14.70	1.50
	28.59	28.13	70.44	0.00	0.0630	11.38	500.5	404.54	0.0765	675.5	12.159	24.02	14.82	1.50
	29.59	28.10	70.44	0.00	0.0631	11.36	499.9	404.00	0.0762	677.6	12.197	24.09	14.87	1.50
	30.59	28.15	70.41	0.00	0.0631	11.36	499.8	404.06	0.0763	678.7	12.216	24.14	14.90	1.50
	31.59	28.10	70.41	0.00	0.0629	11.35	499.2	403.56	0.0764	685.4	12.336	24.38	15.05	1.50
	32.59	28.10	70.44	0.00	0.0631	11.36	499.8	403.92	0.0768	682.8	12.290	24.28	14.99	1.51
	33.59	28.13	70.41	0.00	0.0629	11.33	498.7	403.20	0.0774	687.4	12.374	24.45	15.10	1.51
	34.59	28.10	70.44	0.00	0.0630	11.33	498.5	402.88	0.0775	690.4	12.428	24.55	15.16	1.50
	35.59	28.10	70.41	0.00	0.0629	11.32	498.3	402.81	0.0779	698.2	12.567	24.83	15.34	1.51
	36.59	28.13	70.41	0.00	0.0629	11.31	497.5	402.23	0.0777	698.0	12.565	24.83	15.33	1.51
	37.59	28.10	70.44	0.00	0.0628	11.31	497.7	402.17	0.0790	709.4	12.768	25.22	15.58	1.51
	38.59	28.10	70.41	0.00	0.0627	11.30	497.2	401.94	0.0785	704.4	12.679	25.05	15.47	1.51
	39.59	28.15	70.41	0.00	0.0629	11.30	497.3	402.05	0.0783	709.0	12.762	25.22	15.58	1.51
	40.61	28.15	70.41	250.00	0.0628	11.31	497.4	402.19	0.0783	701.4	12.626	24.95	15.41	1.51
	41.59	28.15	70.41	0.00	0.0627	11.31	497.4	402.19	0.0784	706.7	12.720	25.14	15.53	1.51
	42.59	28.15	70.44	0.00	0.0628	11.28	496.2	401.07	0.0788	714.7	12.865	25.42	15.70	1.51
	43.59	28.15	70.41	0.00	0.0628	11.29	496.9	401.74	0.0784	710.6	12.791	25.28	15.61	1.51
	44.67	28.15	70.44	0.00	0.0628	11.30	497.3	401.93	0.0784	708.8	12.758	25.21	15.57	1.51
	45.59	28.15	70.41	0.00	0.0627	11.29	496.9	401.73	0.0788	712.7	12.829	25.35	15.66	1.51
	46.67	28.15	70.44	0.00	0.0627	11.27	495.7	400.65	0.0794	719.6	12.954	25.59	15.81	1.51
	47.59	28.12	70.44	0.00	0.0626	11.24	494.4	399.53	0.0797	722.8	13.011	25.70	15.88	1.51
	48.61	28.15	70.44	0.00	0.0626	11.26	495.4	400.37	0.0790	716.6	12.898	25.48	15.74	1.51
	49.59	28.15	70.44	0.00	0.0628	11.27	495.9	400.83	0.0796	718.4	12.931	25.55	15.78	1.51
	50.61	28.17	70.44	0.00	0.0626	11.25	495.1	400.22	0.0797	722.4	13.004	25.69	15.87	1.51
	51.59	28.12	70.46	0.00	0.0626	11.24	494.8	399.70	0.0802	731.1	13.160	25.99	16.06	1.51
	52.61	28.15	70.44	0.00	0.0626	11.23	493.9	399.22	0.0804	739.0	13.301	26.28	16.23	1.51
	53.59	28.17	70.44	0.00	0.0627	11.26	495.4	400.40	0.0801	727.1	13.088	25.86	15.97	1.51
	54.61	28.17	70.44	0.00	0.0624	11.24	494.4	399.60	0.0808	736.2	13.251	26.18	16.17	1.51
	55.59	28.17	70.46	0.00	0.0626	11.24	494.5	399.60	0.0803	734.9	13.227	26.13	16.14	1.51
	56.61	28.18	70.44	0.00	0.0625	11.22	493.6	399.03	0.0814	745.1	13.412	26.50	16.36	1.51
	57.59	28.17	70.44	0.00	0.0625	11.23	494.2	399.45	0.0808	739.7	13.314	26.31	16.24	1.51
	58.61	28.17	70.44	0.00	0.0626	11.24	494.4	399.65	0.0811	740.0	13.321	26.32	16.25	1.51
	59.59	28.14	70.41	0.00	0.0625	11.20	493.0	398.60	0.0815	754.1	13.574	26.83	16.54	1.51
	60.61	28.17	70.46	0.00	0.0624	11.23	494.0	399.13	0.0811	741.9	13.354	26.38	16.29	1.51
	61.59	28.14	70.39	0.00	0.0625	11.21	493.2	398.90	0.0816	748.6	13.476	26.64	16.43	1.51
	62.61	28.14	70.44	0.00	0.0623	11.19	492.4	397.99	0.0818	751.2	13.522	26.71	16.48	1.51
	63.59	28.17	70.41	0.00	0.0624	11.20	492.9	398.53	0.0815	748.4	13.471	26.62	16.42	1.51
	64.61	28.14	70.41	0.00	0.0625	11.24	494.4	399.74	0.0815	746.7	13.441	26.56	16.39	1.51
	65.59	28.14	70.41	0.00	0.0623	11.20	492.7	398.36	0.0821	755.5	13.599	26.88	16.57	1.51
