Mar 12 2018 at 12:27:02
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Overcast, drizzle, PAR fluctuations
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.89	30.12	70.39	0.00	0.0640	11.59	510.0	415.21	0.0710	624.2	11.236	22.36	13.71	1.52
	1.91	30.12	70.36	0.00	0.0641	11.70	515.0	419.43	0.0703	555.0	9.989	19.89	11.91	1.52
	2.89	30.14	70.33	0.00	0.0643	11.59	510.0	415.58	0.0699	608.1	10.945	21.80	13.30	1.52
	3.91	30.14	70.34	0.00	0.0637	11.53	507.5	413.49	0.0731	627.7	11.299	22.50	13.79	1.52
	4.89	30.09	70.36	0.00	0.0637	11.47	504.9	411.14	0.0746	667.5	12.016	23.92	14.74	1.52
	5.91	30.14	70.34	0.00	0.0641	11.57	508.9	414.63	0.0736	646.9	11.643	23.19	14.26	1.52
	6.97	30.14	70.36	0.00	0.0642	11.83	520.4	423.83	0.0755	619.6	11.152	22.20	13.59	1.52
	7.91	30.14	70.34	0.00	0.0644	11.67	513.4	418.27	0.0710	620.2	11.164	22.23	13.61	1.52
	8.91	30.11	70.39	0.00	0.0646	11.71	515.3	419.50	0.0711	619.3	11.148	22.18	13.58	1.51
	9.91	30.09	70.34	0.00	0.0651	11.85	521.5	424.82	0.0699	603.5	10.863	21.63	13.19	1.51
	10.91	30.09	70.36	0.00	0.0641	11.61	511.0	416.15	0.0762	659.8	11.876	23.64	14.56	1.51
	11.91	30.14	70.36	0.00	0.0651	11.84	520.9	424.23	0.0694	616.3	11.093	22.08	13.51	1.51
	12.91	30.14	70.36	0.00	0.0656	12.06	530.7	432.26	0.0718	598.2	10.767	21.44	13.05	1.52
	13.91	30.14	70.34	0.00	0.0645	11.67	513.6	418.49	0.0764	682.2	12.279	24.45	15.08	1.52
	14.91	30.09	70.34	0.00	0.0640	11.58	509.5	415.05	0.0780	718.1	12.926	25.74	15.88	1.51
	15.91	30.12	70.33	0.00	0.0639	11.58	509.5	415.12	0.0788	716.1	12.889	25.67	15.83	1.51
	16.91	30.11	70.36	0.00	0.0638	11.58	509.5	414.95	0.0807	724.7	13.045	25.97	16.02	1.51
	17.91	30.12	70.33	0.00	0.0648	11.61	510.8	416.21	0.0734	665.4	11.977	23.85	14.69	1.51
	18.91	30.14	70.33	0.00	0.0646	11.75	517.2	421.38	0.0713	610.0	10.980	21.87	13.35	1.52
	19.98	30.11	70.34	0.00	0.0641	11.67	513.4	418.30	0.0714	638.6	11.495	22.89	14.06	1.51
	20.91	30.12	70.34	0.00	0.0645	11.71	515.1	419.62	0.0677	585.0	10.529	20.97	12.71	1.51
	21.98	30.14	70.31	0.00	0.0645	11.67	513.3	418.38	0.0681	590.1	10.622	21.16	12.85	1.51
	22.91	30.11	70.34	0.00	0.0644	11.69	514.3	419.02	0.0688	581.4	10.466	20.84	12.62	1.51
	23.98	30.12	70.36	0.00	0.0643	11.65	512.8	417.65	0.0688	595.5	10.719	21.34	12.98	1.51
	24.92	30.12	70.36	0.00	0.0643	11.61	511.0	416.14	0.0676	589.9	10.617	21.14	12.84	1.52
	25.92	30.14	70.36	0.00	0.0640	11.62	511.3	416.41	0.0703	579.8	10.436	20.78	12.58	1.51
	26.91	30.09	70.33	0.00	0.0848	12.76	561.4	457.35	0.0748	688.1	12.386	24.66	15.21	1.51
	27.92	30.12	70.33	0.00	0.0663	11.92	524.6	427.42	0.0710	622.6	11.208	22.32	13.67	1.51
	28.91	30.12	70.33	0.00	0.0661	12.56	552.4	450.09	0.0727	610.9	10.995	21.90	13.37	1.51
	29.91	30.11	70.33	0.00	0.0650	11.77	518.1	422.07	0.0720	631.3	11.364	22.63	13.88	1.51
	30.91	30.14	70.36	0.00	0.0644	11.70	514.7	419.25	0.0703	593.3	10.679	21.26	12.93	1.52
	31.92	30.19	70.38	0.00	0.0649	11.78	518.3	422.06	0.0682	585.3	10.535	20.97	12.72	1.51
	32.91	30.14	70.33	0.00	0.0645	11.78	518.3	422.34	0.0718	592.2	10.659	21.23	12.90	1.51
	33.92	30.14	70.34	0.00	0.0651	11.81	519.5	423.28	0.0722	600.8	10.815	21.54	13.12	1.51
	34.91	30.16	70.36	0.00	0.0650	11.84	520.8	424.22	0.0737	650.7	11.713	23.32	14.35	1.51
	35.92	30.14	70.34	0.00	0.0647	11.81	519.7	423.44	0.0739	650.4	11.707	23.32	14.34	1.51
	36.92	30.14	70.36	0.00	0.0649	11.81	519.8	423.34	0.0750	662.1	11.917	23.73	14.62	1.52
	37.92	30.14	70.36	0.00	0.0641	11.63	511.8	416.86	0.0714	625.4	11.258	22.41	13.74	1.51
	38.92	30.12	70.34	0.00	0.0638	11.54	507.7	413.64	0.0725	628.8	11.318	22.54	13.82	1.51
	39.92	30.14	70.36	0.00	0.0639	11.57	509.1	414.66	0.0716	617.4	11.114	22.13	13.54	1.51
	40.92	30.12	70.33	0.00	0.0640	11.60	510.6	416.00	0.0730	644.5	11.602	23.11	14.20	1.51
