Mar 12 2018 at 12:28:28
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Overcast, drizzle, PAR fluctuations
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.20	30.14	70.33	0.00	0.0640	11.56	508.5	414.33	0.0700	601.1	10.820	21.55	13.13	1.51
	1.28	30.14	70.36	0.00	0.0639	11.55	508.1	413.87	0.0709	609.7	10.974	21.85	13.34	1.51
	2.20	30.09	70.31	0.00	0.0640	11.56	508.8	414.63	0.0707	611.5	11.007	21.93	13.39	1.51
	3.22	30.12	70.36	0.00	0.0639	11.55	508.1	413.79	0.0713	616.0	11.088	22.07	13.50	1.51
	4.20	30.12	70.36	0.00	0.0639	11.55	508.2	413.93	0.0708	614.4	11.059	22.02	13.46	1.51
	5.22	30.12	70.33	0.00	0.0638	11.54	507.9	413.80	0.0705	613.6	11.045	22.00	13.44	1.51
	6.20	30.10	70.33	0.00	0.0639	11.56	508.6	414.33	0.0711	613.1	11.035	21.98	13.43	1.51
	7.22	30.09	70.36	0.00	0.0638	11.54	507.7	413.42	0.0717	619.9	11.158	22.21	13.60	1.51
	8.20	30.12	70.33	0.00	0.0638	11.53	507.4	413.39	0.0715	623.8	11.228	22.36	13.69	1.51
	9.22	30.14	70.33	0.00	0.0636	11.52	506.8	412.95	0.0726	624.8	11.246	22.40	13.72	1.51
	10.20	30.12	70.28	0.00	0.0637	11.51	506.6	413.03	0.0727	634.7	11.424	22.77	13.96	1.51
	11.22	30.12	70.33	0.00	0.0636	11.54	507.9	413.78	0.0731	625.4	11.257	22.42	13.73	1.51
	12.20	30.12	70.34	0.00	0.0637	11.53	507.3	413.32	0.0726	631.1	11.360	22.62	13.87	1.51
	13.22	30.09	70.34	0.00	0.0635	11.48	505.0	411.38	0.0738	638.1	11.487	22.87	14.04	1.51
	14.20	30.09	70.31	0.00	0.0637	11.50	505.9	412.29	0.0729	641.0	11.538	22.98	14.11	1.51
	15.22	30.12	70.33	0.00	0.0636	11.48	505.3	411.71	0.0731	648.8	11.679	23.26	14.30	1.51
	16.28	30.14	70.36	0.00	0.0637	11.52	506.8	412.74	0.0730	633.8	11.408	22.71	13.94	1.51
	17.22	30.12	70.36	0.00	0.0636	11.47	504.9	411.19	0.0735	647.9	11.662	23.22	14.28	1.51
	18.22	30.12	70.36	0.00	0.0636	11.49	505.4	411.61	0.0734	641.7	11.551	23.00	14.13	1.51
	19.22	30.14	70.33	0.00	0.0636	11.47	504.8	411.27	0.0743	665.9	11.987	23.87	14.71	1.51
	20.22	30.12	70.33	0.00	0.0635	11.46	504.1	410.74	0.0745	661.5	11.908	23.71	14.60	1.51
	21.22	30.09	70.36	0.00	0.0635	11.47	504.7	411.00	0.0741	650.0	11.700	23.29	14.33	1.51
	22.22	30.14	70.33	0.00	0.0635	11.46	504.2	410.79	0.0741	653.3	11.760	23.42	14.41	1.51
	23.22	30.14	70.33	0.00	0.0635	11.47	504.8	411.31	0.0747	652.7	11.749	23.40	14.39	1.51
	24.22	30.12	70.33	0.00	0.0635	11.47	504.5	411.05	0.0745	662.4	11.923	23.75	14.62	1.51
	25.20	30.11	70.31	0.00	0.0635	11.44	503.5	410.31	0.0753	672.3	12.102	24.11	14.85	1.51
	26.22	30.11	70.34	0.00	0.0634	11.45	503.7	410.32	0.0754	667.9	12.022	23.94	14.75	1.51
	27.20	30.14	70.33	0.00	0.0634	11.44	503.4	410.13	0.0752	668.1	12.026	23.95	14.76	1.51
	28.22	30.14	70.34	0.00	0.0635	11.46	504.2	410.78	0.0757	664.1	11.954	23.81	14.66	1.51
