Mar 12 2018 at 12:32:40
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Overcast, drizzle, PAR fluctuations
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	1.00	30.11	70.33	0.00	0.0646	11.74	516.5	420.84	0.0683	575.8	10.364	20.64	12.47	1.51
	2.00	30.12	70.33	0.00	0.0647	11.73	516.0	420.39	0.0684	579.1	10.424	20.76	12.56	1.51
	3.00	30.14	70.33	0.00	0.0647	11.72	515.5	420.00	0.0682	590.7	10.632	21.18	12.86	1.51
	4.00	30.14	70.31	0.00	0.0646	11.73	516.3	420.82	0.0681	583.3	10.499	20.92	12.67	1.51
	5.00	30.09	70.33	0.00	0.0646	11.72	515.8	420.20	0.0691	583.8	10.509	20.93	12.68	1.51
	6.00	30.09	70.33	0.00	0.0646	11.72	515.7	420.09	0.0684	583.2	10.497	20.90	12.66	1.51
	7.00	30.12	70.33	0.00	0.0646	11.72	515.8	420.26	0.0687	583.5	10.503	20.92	12.67	1.51
	8.00	30.09	70.33	0.00	0.0645	11.72	515.8	420.18	0.0697	589.4	10.609	21.13	12.82	1.51
	9.00	30.09	70.33	0.00	0.0646	11.72	515.6	420.05	0.0689	587.1	10.568	21.05	12.77	1.51
	10.00	30.12	70.33	0.00	0.0646	11.72	515.7	420.14	0.0691	589.5	10.611	21.13	12.83	1.51
	11.00	30.16	70.33	0.00	0.0645	11.71	515.4	419.97	0.0697	596.1	10.729	21.37	13.00	1.51
	12.08	30.12	70.31	0.00	0.0645	11.72	515.5	420.14	0.0696	594.4	10.699	21.31	12.95	1.51
	13.00	30.10	70.33	0.00	0.0646	11.71	515.4	419.88	0.0704	600.4	10.807	21.52	13.11	1.51
	14.08	30.16	70.33	0.00	0.0645	11.71	515.1	419.73	0.0701	599.4	10.789	21.49	13.09	1.51
	15.00	30.14	70.33	0.00	0.0645	11.71	515.4	419.91	0.0704	607.2	10.929	21.77	13.28	1.51
	16.00	30.14	70.33	0.00	0.0645	11.68	514.0	418.82	0.0707	610.1	10.981	21.87	13.35	1.51
	17.00	30.14	70.33	0.00	0.0645	11.71	515.1	419.71	0.0704	604.9	10.888	21.69	13.22	1.51
	18.02	30.09	70.33	0.00	0.0645	11.68	514.1	418.81	0.0706	608.0	10.944	21.79	13.30	1.51
	19.00	30.10	70.31	0.00	0.0645	11.70	514.9	419.65	0.0706	606.5	10.917	21.75	13.26	1.51
	20.02	30.12	70.33	0.00	0.0645	11.69	514.6	419.23	0.0709	612.2	11.019	21.95	13.41	1.51
	21.00	30.12	70.33	0.00	0.0645	11.69	514.4	419.09	0.0714	616.4	11.096	22.10	13.51	1.51
	22.02	30.12	70.33	0.00	0.0645	11.69	514.5	419.20	0.0715	617.5	11.115	22.14	13.54	1.51
	23.00	30.12	70.31	0.00	0.0644	11.69	514.4	419.24	0.0714	621.6	11.188	22.29	13.64	1.51
	24.02	30.12	70.31	0.00	0.0645	11.70	514.9	419.62	0.0716	620.5	11.169	22.25	13.61	1.51
	25.00	30.12	70.33	0.00	0.0646	11.71	515.2	419.76	0.0717	619.0	11.142	22.19	13.58	1.51
	26.00	30.12	70.34	0.00	0.0646	11.70	514.9	419.49	0.0716	622.9	11.213	22.33	13.67	1.51
	27.00	30.14	70.36	0.00	0.0645	11.72	515.6	419.95	0.0724	622.4	11.204	22.31	13.66	1.51
	28.00	30.14	70.33	0.00	0.0645	11.71	515.2	419.75	0.0719	621.5	11.186	22.28	13.64	1.51
	29.08	30.14	70.33	0.00	0.0645	11.70	514.9	419.51	0.0728	628.7	11.317	22.54	13.82	1.51
	30.00	30.09	70.34	0.00	0.0646	11.70	514.8	419.42	0.0720	626.0	11.269	22.44	13.75	1.51
	31.02	30.09	70.33	0.00	0.0646	11.71	515.4	419.91	0.0717	623.1	11.215	22.33	13.68	1.51
	32.00	30.14	70.31	0.00	0.0645	11.70	514.7	419.50	0.0721	628.7	11.317	22.55	13.82	1.51
	33.02	30.14	70.33	0.00	0.0645	11.71	515.2	419.79	0.0723	629.1	11.324	22.55	13.83	1.51
	34.00	30.12	70.36	0.00	0.0646	11.70	515.0	419.41	0.0719	627.0	11.285	22.47	13.77	1.51
	35.02	30.14	70.33	0.00	0.0646	11.71	515.2	419.76	0.0721	624.1	11.234	22.37	13.70	1.51
	36.00	30.14	70.33	0.00	0.0645	11.70	514.8	419.45	0.0724	629.2	11.325	22.56	13.83	1.51
	37.02	30.11	70.36	0.00	0.0645	11.68	514.1	418.69	0.0726	631.5	11.368	22.63	13.88	1.51
	38.00	30.14	70.33	0.00	0.0645	11.69	514.5	419.22	0.0732	634.9	11.429	22.76	13.97	1.51
	39.02	30.12	70.33	0.00	0.0645	11.70	514.7	419.36	0.0730	639.6	11.514	22.93	14.08	1.51
	40.00	30.11	70.31	0.00	0.0645	11.68	514.0	418.88	0.0731	649.3	11.688	23.29	14.31	1.51
	41.02	30.14	70.31	0.00	0.0645	11.70	514.9	419.69	0.0734	642.5	11.565	23.04	14.15	1.51
	42.00	30.14	70.34	0.00	0.0645	11.70	514.6	419.31	0.0733	643.1	11.575	23.05	14.16	1.50
	43.00	30.14	70.33	0.00	0.0644	11.69	514.6	419.25	0.0733	640.0	11.520	22.94	14.09	1.51
	44.00	30.11	70.31	0.00	0.0645	11.70	514.9	419.62	0.0738	643.9	11.590	23.09	14.18	1.51
	45.00	30.14	70.33	0.00	0.0645	11.70	514.8	419.41	0.0739	644.2	11.595	23.09	14.19	1.51
	46.08	30.11	70.31	0.00	0.0646	11.71	515.1	419.83	0.0735	642.2	11.560	23.03	14.14	1.51
	47.00	30.11	70.33	0.00	0.0644	11.70	515.0	419.56	0.0739	644.9	11.609	23.12	14.21	1.51
	48.02	30.12	70.31	0.00	0.0645	11.70	514.8	419.54	0.0736	646.1	11.631	23.17	14.24	1.51
	49.00	30.09	70.31	0.00	0.0645	11.70	514.8	419.50	0.0739	648.6	11.674	23.26	14.29	1.51
	50.02	30.09	70.31	0.00	0.0645	11.70	514.8	419.56	0.0741	651.5	11.727	23.36	14.36	1.50
