Mar 12 2018 at 12:46:34
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Casper breathing at end of previous ambient measure
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.02	29.86	70.28	0.00	0.0637	11.55	508.1	413.90	0.0616	502.6	9.047	18.02	10.40	1.49
	1.00	29.86	70.23	0.00	0.0638	11.53	507.4	413.65	0.0619	505.0	9.089	18.11	10.47	1.49
	2.02	29.86	70.26	0.00	0.0637	11.53	507.5	413.54	0.0620	506.5	9.118	18.16	10.52	1.49
	3.00	29.84	70.28	0.00	0.0638	11.54	507.7	413.59	0.0619	505.0	9.090	18.10	10.47	1.49
	4.02	29.84	70.26	0.00	0.0638	11.54	507.6	413.60	0.0620	507.1	9.128	18.18	10.54	1.49
	5.00	29.86	70.26	0.00	0.0637	11.54	507.6	413.63	0.0621	508.0	9.143	18.21	10.56	1.49
	6.02	29.86	70.23	0.00	0.0637	11.50	506.2	412.66	0.0624	508.6	9.154	18.24	10.58	1.49
	7.00	29.86	70.26	0.00	0.0637	11.52	506.8	412.98	0.0625	511.7	9.211	18.35	10.67	1.49
	8.02	29.86	70.26	0.00	0.0636	11.51	506.4	412.65	0.0625	512.4	9.222	18.37	10.69	1.49
	9.00	29.86	70.28	0.00	0.0635	11.51	506.4	412.58	0.0631	513.3	9.240	18.40	10.72	1.49
	10.02	29.85	70.28	0.00	0.0636	11.51	506.3	412.47	0.0628	515.5	9.279	18.48	10.78	1.49
	11.00	29.85	70.31	0.00	0.0637	11.52	506.8	412.67	0.0631	517.7	9.318	18.55	10.85	1.49
	12.02	29.82	70.28	0.00	0.0636	11.50	506.2	412.32	0.0632	519.8	9.357	18.63	10.91	1.49
	13.00	29.84	70.28	0.00	0.0637	11.52	506.8	412.81	0.0633	520.9	9.377	18.67	10.94	1.49
