Mar 12 2018 at 12:50:31
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Partly cloudy, periodical full sun
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.25	29.85	70.28	0.00	0.0635	11.47	504.7	411.13	0.0642	531.3	9.563	19.04	11.24	1.50
	1.23	29.87	70.33	0.00	0.0635	11.47	504.6	410.80	0.0645	534.5	9.620	19.14	11.33	1.50
	2.25	29.85	70.28	0.00	0.0635	11.47	504.8	411.17	0.0644	534.7	9.625	19.17	11.33	1.50
	3.33	29.85	70.28	0.00	0.0635	11.47	504.7	411.15	0.0646	537.0	9.666	19.25	11.40	1.50
	4.25	29.85	70.26	0.00	0.0635	11.47	504.8	411.34	0.0647	538.6	9.695	19.31	11.44	1.50
	5.27	29.82	70.28	0.00	0.0635	11.47	504.7	411.10	0.0648	539.2	9.706	19.33	11.46	1.50
	6.25	29.85	70.28	0.00	0.0635	11.47	504.8	411.24	0.0650	540.2	9.723	19.36	11.49	1.50
	7.27	29.87	70.31	0.00	0.0635	11.48	505.0	411.24	0.0651	541.6	9.748	19.41	11.53	1.50
	8.25	29.85	70.28	0.00	0.0635	11.47	504.8	411.19	0.0652	542.2	9.760	19.44	11.54	1.50
	9.27	29.85	70.26	0.00	0.0635	11.48	504.9	411.44	0.0653	544.0	9.792	19.51	11.59	1.50
	10.25	29.85	70.26	0.00	0.0635	11.47	504.9	411.42	0.0655	546.1	9.829	19.58	11.65	1.50
	11.25	29.80	70.26	0.00	0.0636	11.48	505.2	411.59	0.0655	546.1	9.830	19.58	11.65	1.50
	12.25	29.83	70.28	0.00	0.0635	11.49	505.4	411.66	0.0657	549.5	9.890	19.69	11.74	1.50
	13.25	29.85	70.26	0.00	0.0636	11.49	505.7	412.05	0.0660	552.0	9.937	19.79	11.82	1.50
	14.25	29.85	70.28	0.00	0.0635	11.48	505.0	411.36	0.0657	549.2	9.886	19.69	11.74	1.50
	15.25	29.85	70.26	0.00	0.0636	11.48	505.1	411.63	0.0659	550.1	9.902	19.72	11.76	1.50
	16.25	29.85	70.26	0.00	0.0635	11.49	505.6	411.98	0.0659	552.6	9.947	19.81	11.83	1.50
	17.25	29.85	70.28	0.00	0.0635	11.48	505.3	411.59	0.0660	553.0	9.953	19.82	11.84	1.50
	18.25	29.89	70.31	0.00	0.0636	11.49	505.6	411.79	0.0661	553.9	9.970	19.85	11.87	1.50
	19.25	29.86	70.28	0.00	0.0636	11.49	505.5	411.82	0.0663	555.2	9.994	19.90	11.90	1.50
	20.25	29.86	70.26	0.00	0.0636	11.50	505.9	412.24	0.0663	556.3	10.014	19.95	11.93	1.50
	21.25	29.86	70.28	0.00	0.0636	11.49	505.8	412.02	0.0665	557.9	10.041	20.00	11.98	1.50
