"2018-03-12 at 21:13"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-12 21:13:04 423.34 24.70 12.99 50.99 60.83 0.0529 0.0795
2018-03-12 21:13:05 424.60 24.74 13.02 50.99 60.82 0.0530 0.0795
2018-03-12 21:13:07 425.39 24.79 13.06 51.02 60.86 0.0531 0.0797
2018-03-12 21:13:08 426.44 24.88 13.13 51.02 60.94 0.0533 0.0800
2018-03-12 21:13:09 426.48 24.85 13.11 51.02 60.94 0.0533 0.0799
2018-03-12 21:13:10 428.89 24.92 13.16 51.02 60.95 0.0535 0.0801
2018-03-12 21:13:11 428.86 24.90 13.16 51.02 60.98 0.0535 0.0801
2018-03-12 21:13:12 431.92 25.05 13.25 51.02 60.99 0.0538 0.0804
2018-03-12 21:13:13 430.45 24.99 13.21 50.99 60.98 0.0537 0.0803
2018-03-12 21:13:14 431.10 24.99 13.19 51.02 60.90 0.0536 0.0802
2018-03-12 21:13:15 433.22 25.05 13.25 51.02 60.98 0.0539 0.0804
2018-03-12 21:13:16 434.78 25.10 13.29 51.02 61.02 0.0541 0.0806
2018-03-12 21:13:17 434.24 25.06 13.26 51.04 60.99 0.0540 0.0805
2018-03-12 21:13:18 436.32 25.09 13.28 51.02 61.02 0.0542 0.0806
2018-03-12 21:13:19 439.38 25.15 13.32 51.02 61.02 0.0545 0.0807
2018-03-12 21:13:20 437.28 25.18 13.35 51.02 61.06 0.0544 0.0808
2018-03-12 21:13:21 439.48 25.16 13.34 51.02 61.09 0.0546 0.0808
2018-03-12 21:13:22 439.19 25.13 13.32 51.02 61.09 0.0546 0.0807
2018-03-12 21:13:23 441.37 25.20 13.37 51.02 61.11 0.0548 0.0809
2018-03-12 21:13:24 441.95 25.14 13.33 51.04 61.10 0.0548 0.0808
2018-03-12 21:13:25 444.43 25.21 13.39 51.02 61.16 0.0551 0.0810
2018-03-12 21:13:26 444.07 25.17 13.37 51.02 61.17 0.0551 0.0809
2018-03-12 21:13:27 446.27 25.17 13.36 51.02 61.13 0.0552 0.0809
2018-03-12 21:13:28 446.63 25.24 13.40 50.99 61.14 0.0553 0.0810
2018-03-12 21:13:29 447.23 25.15 13.34 51.02 61.10 0.0553 0.0808
2018-03-12 21:13:30 448.20 25.24 13.40 51.02 61.13 0.0554 0.0810
2018-03-12 21:13:31 449.49 25.26 13.42 51.02 61.17 0.0556 0.0811
2018-03-12 21:13:32 450.08 25.17 13.37 51.02 61.18 0.0556 0.0809
2018-03-12 21:13:33 451.12 25.18 13.38 51.02 61.18 0.0557 0.0809
2018-03-12 21:13:34 451.87 25.21 13.39 51.02 61.16 0.0558 0.0810
2018-03-12 21:13:35 453.56 25.21 13.38 51.02 61.14 0.0559 0.0810
2018-03-12 21:13:36 453.85 25.25 13.41 51.02 61.16 0.0560 0.0811
2018-03-12 21:13:37 454.53 25.22 13.39 51.02 61.13 0.0560 0.0810
2018-03-12 21:13:38 455.64 25.26 13.42 51.02 61.16 0.0561 0.0811
2018-03-12 21:13:39 456.58 25.24 13.41 51.04 61.18 0.0562 0.0811
2018-03-12 21:13:40 457.86 25.24 13.40 51.02 61.13 0.0563 0.0810
2018-03-12 21:13:41 459.68 25.30 13.43 51.02 61.10 0.0564 0.0811
2018-03-12 21:13:42 459.32 25.25 13.40 51.02 61.10 0.0564 0.0810
2018-03-12 21:13:43 462.20 25.36 13.48 50.99 61.16 0.0567 0.0813
2018-03-12 21:13:44 461.96 25.27 13.44 51.02 61.20 0.0567 0.0812
2018-03-12 21:13:45 461.28 25.25 13.41 51.02 61.13 0.0566 0.0811
2018-03-12 21:13:46 463.50 25.33 13.46 51.04 61.14 0.0568 0.0812
2018-03-12 21:13:47 465.26 25.24 13.41 51.02 61.18 0.0570 0.0811
2018-03-12 21:13:48 465.53 25.27 13.42 51.02 61.16 0.0570 0.0811
2018-03-12 21:13:49 467.84 25.29 13.44 51.02 61.17 0.0572 0.0812
2018-03-12 21:13:50 467.97 25.28 13.45 50.99 61.21 0.0573 0.0812
2018-03-12 21:13:51 468.88 25.24 13.40 51.02 61.14 0.0573 0.0810
2018-03-12 21:13:52 469.36 25.24 13.40 51.02 61.14 0.0573 0.0810
2018-03-12 21:13:53 470.74 25.18 13.37 51.02 61.14 0.0574 0.0809
