"2018-03-12 at 21:09"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-12 21:09:40 414.27 23.78 12.47 51.02 61.05 0.0522 0.0777
2018-03-12 21:09:41 413.83 23.78 12.46 51.02 61.01 0.0521 0.0776
2018-03-12 21:09:42 414.05 23.91 12.54 51.02 60.99 0.0521 0.0779
2018-03-12 21:09:43 415.88 23.96 12.59 51.02 61.05 0.0524 0.0781
2018-03-12 21:09:44 415.13 23.99 12.60 51.02 61.02 0.0523 0.0781
2018-03-12 21:09:45 416.31 24.03 12.63 50.99 61.05 0.0524 0.0782
2018-03-12 21:09:46 415.87 24.08 12.66 51.02 61.03 0.0524 0.0783
2018-03-12 21:09:47 416.08 24.16 12.70 51.02 61.02 0.0524 0.0785
2018-03-12 21:09:48 417.14 24.17 12.71 51.02 61.01 0.0524 0.0785
2018-03-12 21:09:49 417.78 24.20 12.73 51.04 61.02 0.0525 0.0786
2018-03-12 21:09:50 416.31 24.21 12.73 51.02 61.01 0.0524 0.0786
2018-03-12 21:09:51 418.69 24.26 12.77 51.02 61.04 0.0526 0.0787
2018-03-12 21:09:52 417.75 24.26 12.75 51.02 60.98 0.0525 0.0786
2018-03-12 21:09:53 420.15 24.32 12.80 50.99 60.99 0.0527 0.0788
2018-03-12 21:09:54 419.71 24.43 12.87 51.02 60.99 0.0527 0.0791
2018-03-12 21:09:55 418.91 24.41 12.87 51.02 61.05 0.0527 0.0791
2018-03-12 21:09:56 420.16 24.39 12.85 51.02 61.02 0.0527 0.0790
2018-03-12 21:09:57 422.21 24.46 12.90 51.04 61.06 0.0530 0.0792
2018-03-12 21:09:58 420.40 24.46 12.90 51.02 61.06 0.0528 0.0792
2018-03-12 21:09:59 421.33 24.50 12.92 51.02 61.01 0.0528 0.0792
2018-03-12 21:10:00 421.39 24.51 12.92 51.02 61.01 0.0528 0.0793
2018-03-12 21:10:01 423.46 24.55 12.95 51.02 61.03 0.0531 0.0794
2018-03-12 21:10:02 423.16 24.53 12.94 51.02 61.03 0.0530 0.0793
2018-03-12 21:10:03 422.89 24.58 12.97 51.02 61.03 0.0530 0.0794
2018-03-12 21:10:04 422.37 24.59 12.98 51.04 61.05 0.0530 0.0795
2018-03-12 21:10:05 423.84 24.59 12.99 51.02 61.07 0.0531 0.0795
2018-03-12 21:10:06 424.06 24.63 13.01 51.02 61.05 0.0531 0.0796
2018-03-12 21:10:07 426.39 24.67 13.04 51.02 61.06 0.0534 0.0797
2018-03-12 21:10:08 424.56 24.65 13.02 50.99 61.06 0.0532 0.0796
2018-03-12 21:10:09 426.09 24.69 13.04 51.02 61.05 0.0533 0.0797
2018-03-12 21:10:10 425.73 24.67 13.03 51.02 61.06 0.0533 0.0797
2018-03-12 21:10:11 428.22 24.73 13.09 51.02 61.12 0.0536 0.0799
2018-03-12 21:10:12 424.98 24.59 12.99 51.02 61.06 0.0532 0.0795
2018-03-12 21:10:13 426.84 24.75 13.08 51.02 61.02 0.0534 0.0798
2018-03-12 21:10:14 428.18 24.70 13.05 51.02 61.06 0.0535 0.0797
2018-03-12 21:10:15 428.19 24.71 13.05 50.99 61.03 0.0535 0.0797
2018-03-12 21:10:16 428.81 24.69 13.04 51.02 61.02 0.0535 0.0797
2018-03-12 21:10:17 429.69 24.77 13.09 51.02 61.05 0.0537 0.0799
2018-03-12 21:10:18 428.93 24.74 13.07 51.02 61.02 0.0536 0.0798
2018-03-12 21:10:19 431.26 24.78 13.10 51.02 61.05 0.0538 0.0799
