"2018-03-12 at 21:07"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-12 21:07:03 564.91 25.35 13.44 51.02 61.01 0.0653 0.0811
2018-03-12 21:07:04 562.31 25.41 13.48 51.02 61.06 0.0651 0.0813
2018-03-12 21:07:05 564.92 25.42 13.49 51.04 61.06 0.0654 0.0813
2018-03-12 21:07:06 566.03 25.50 13.54 51.02 61.05 0.0654 0.0815
2018-03-12 21:07:07 563.92 25.56 13.57 51.02 61.05 0.0653 0.0816
2018-03-12 21:07:08 567.96 25.61 13.61 51.02 61.07 0.0656 0.0818
2018-03-12 21:07:09 566.99 25.63 13.62 51.02 61.06 0.0655 0.0818
2018-03-12 21:07:10 567.23 25.65 13.63 51.02 61.06 0.0655 0.0818
2018-03-12 21:07:11 567.38 25.68 13.65 51.02 61.09 0.0656 0.0819
2018-03-12 21:07:12 566.66 25.69 13.66 51.02 61.09 0.0655 0.0820
2018-03-12 21:07:13 569.36 25.70 13.66 51.02 61.06 0.0657 0.0819
2018-03-12 21:07:14 568.60 25.74 13.70 51.02 61.11 0.0657 0.0821
2018-03-12 21:07:15 570.75 25.76 13.70 51.02 61.09 0.0659 0.0821
2018-03-12 21:07:16 568.27 25.73 13.68 50.99 61.07 0.0657 0.0820
2018-03-12 21:07:17 571.05 25.76 13.70 51.02 61.09 0.0659 0.0821
2018-03-12 21:07:18 570.60 25.77 13.72 51.02 61.14 0.0659 0.0822
2018-03-12 21:07:19 571.03 25.80 13.75 51.02 61.16 0.0660 0.0823
2018-03-12 21:07:20 571.86 25.78 13.74 51.04 61.18 0.0661 0.0823
2018-03-12 21:07:21 571.56 25.77 13.71 51.02 61.10 0.0659 0.0822
2018-03-12 21:07:22 571.17 25.82 13.73 51.02 61.06 0.0659 0.0822
2018-03-12 21:07:23 573.21 25.82 13.73 51.02 61.06 0.0660 0.0822
2018-03-12 21:07:24 574.01 25.79 13.72 50.99 61.09 0.0661 0.0822
2018-03-12 21:07:25 572.43 25.78 13.72 51.02 61.10 0.0660 0.0822
2018-03-12 21:07:26 573.89 25.83 13.75 51.02 61.11 0.0661 0.0823
2018-03-12 21:07:27 575.42 25.84 13.76 51.02 61.11 0.0663 0.0823
2018-03-12 21:07:28 574.47 25.85 13.77 51.04 61.14 0.0662 0.0824
2018-03-12 21:07:29 575.50 25.84 13.77 51.02 61.16 0.0663 0.0824
2018-03-12 21:07:30 571.37 25.80 13.72 51.02 61.07 0.0659 0.0822
2018-03-12 21:07:31 575.92 25.86 13.77 50.99 61.12 0.0663 0.0824
2018-03-12 21:07:32 577.53 25.85 13.77 51.02 61.13 0.0665 0.0824
2018-03-12 21:07:33 576.35 25.89 13.77 51.02 61.05 0.0663 0.0823
2018-03-12 21:07:34 576.47 25.90 13.78 51.02 61.06 0.0663 0.0824
