"2018-03-12 at 21:23"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-12 21:23:44 420.13 23.27 12.15 51.02 61.09 0.0528 0.0765
2018-03-12 21:23:45 421.89 23.32 12.19 51.02 61.12 0.0530 0.0767
2018-03-12 21:23:47 420.68 23.32 12.20 50.99 61.16 0.0529 0.0768
2018-03-12 21:23:48 421.90 23.41 12.26 51.02 61.17 0.0530 0.0770
2018-03-12 21:23:49 422.95 23.43 12.28 51.02 61.20 0.0532 0.0771
2018-03-12 21:23:50 424.30 23.42 12.27 51.04 61.16 0.0532 0.0770
2018-03-12 21:23:51 425.20 23.50 12.32 51.02 61.17 0.0533 0.0772
2018-03-12 21:23:52 425.27 23.56 12.35 51.02 61.14 0.0533 0.0773
2018-03-12 21:23:53 424.76 23.52 12.32 51.02 61.12 0.0532 0.0772
2018-03-12 21:23:54 424.92 23.61 12.38 50.99 61.16 0.0533 0.0774
2018-03-12 21:23:55 427.31 23.61 12.39 51.02 61.17 0.0535 0.0774
2018-03-12 21:23:56 427.00 23.58 12.37 51.02 61.17 0.0535 0.0774
2018-03-12 21:23:57 426.49 23.64 12.41 51.02 61.17 0.0535 0.0775
2018-03-12 21:23:58 426.37 23.69 12.43 51.02 61.14 0.0534 0.0776
2018-03-12 21:23:59 431.22 23.71 12.46 51.02 61.18 0.0539 0.0777
2018-03-12 21:24:00 430.81 23.68 12.44 51.02 61.20 0.0539 0.0776
2018-03-12 21:24:01 429.46 23.73 12.47 51.02 61.17 0.0537 0.0777
2018-03-12 21:24:02 430.02 23.72 12.46 51.02 61.17 0.0538 0.0777
2018-03-12 21:24:03 431.44 23.76 12.49 51.02 61.18 0.0539 0.0778
2018-03-12 21:24:04 432.68 23.77 12.50 51.02 61.20 0.0541 0.0778
2018-03-12 21:24:05 430.19 23.77 12.50 51.02 61.18 0.0538 0.0778
2018-03-12 21:24:06 431.83 23.81 12.52 51.02 61.18 0.0540 0.0779
2018-03-12 21:24:07 433.16 23.85 12.55 51.02 61.20 0.0541 0.0780
2018-03-12 21:24:08 433.80 23.80 12.51 51.02 61.14 0.0541 0.0778
2018-03-12 21:24:09 434.84 23.93 12.59 50.99 61.17 0.0542 0.0781
2018-03-12 21:24:10 431.64 23.84 12.53 51.02 61.14 0.0539 0.0779
2018-03-12 21:24:11 433.03 23.94 12.60 51.02 61.17 0.0541 0.0782
2018-03-12 21:24:12 435.06 23.89 12.57 51.02 61.17 0.0542 0.0781
2018-03-12 21:24:13 436.36 23.90 12.58 51.02 61.17 0.0544 0.0781
2018-03-12 21:24:14 437.48 23.91 12.59 51.02 61.18 0.0545 0.0781
2018-03-12 21:24:15 438.10 23.93 12.60 51.02 61.17 0.0545 0.0782
2018-03-12 21:24:16 437.21 23.92 12.58 50.99 61.14 0.0544 0.0781
2018-03-12 21:24:17 438.01 23.99 12.62 51.02 61.12 0.0545 0.0782
2018-03-12 21:24:18 436.70 23.95 12.60 51.02 61.11 0.0543 0.0781
2018-03-12 21:24:19 438.77 24.02 12.65 51.02 61.16 0.0546 0.0783
2018-03-12 21:24:20 438.54 24.03 12.66 51.02 61.17 0.0546 0.0784
2018-03-12 21:24:21 439.25 24.01 12.65 51.02 61.17 0.0546 0.0783
2018-03-12 21:24:22 440.13 24.07 12.68 51.02 61.16 0.0547 0.0784
2018-03-12 21:24:23 442.27 24.08 12.69 50.99 61.16 0.0549 0.0785
2018-03-12 21:24:24 440.44 24.04 12.65 51.02 61.12 0.0547 0.0783
2018-03-12 21:24:25 442.66 24.08 12.68 51.02 61.16 0.0549 0.0785
2018-03-12 21:24:26 443.76 24.09 12.70 51.02 61.18 0.0551 0.0785
2018-03-12 21:24:27 444.19 24.14 12.73 51.02 61.17 0.0551 0.0786
2018-03-12 21:24:28 443.13 24.07 12.68 51.02 61.16 0.0550 0.0784
2018-03-12 21:24:29 445.97 24.13 12.71 51.02 61.13 0.0552 0.0785
2018-03-12 21:24:30 447.63 24.13 12.72 51.02 61.14 0.0554 0.0786
2018-03-12 21:24:31 446.64 24.17 12.74 51.02 61.14 0.0553 0.0786
2018-03-12 21:24:32 445.68 24.11 12.70 51.02 61.13 0.0552 0.0785
2018-03-12 21:24:33 448.07 24.18 12.75 51.02 61.17 0.0554 0.0787
2018-03-12 21:24:34 447.69 24.16 12.75 51.04 61.18 0.0554 0.0787
2018-03-12 21:24:35 446.78 24.17 12.74 51.02 61.17 0.0553 0.0787
2018-03-12 21:24:36 449.13 24.23 12.78 51.02 61.16 0.0555 0.0788
2018-03-12 21:24:37 449.61 24.21 12.77 51.02 61.17 0.0556 0.0788
2018-03-12 21:24:38 448.16 24.16 12.75 50.99 61.20 0.0555 0.0787
2018-03-12 21:24:39 447.86 24.18 12.76 51.02 61.20 0.0554 0.0787
2018-03-12 21:24:40 449.65 24.21 12.77 51.02 61.18 0.0556 0.0788
2018-03-12 21:24:41 449.84 24.15 12.72 51.02 61.12 0.0555 0.0786
2018-03-12 21:24:42 452.58 24.20 12.76 51.02 61.13 0.0558 0.0787
2018-03-12 21:24:43 451.82 24.23 12.78 51.02 61.17 0.0558 0.0788
2018-03-12 21:24:44 450.24 24.21 12.78 51.02 61.17 0.0556 0.0788
2018-03-12 21:24:45 451.79 24.22 12.78 51.02 61.17 0.0558 0.0788
2018-03-12 21:24:46 453.17 24.27 12.81 50.99 61.16 0.0559 0.0789
2018-03-12 21:24:47 452.24 24.26 12.80 51.02 61.17 0.0558 0.0789
2018-03-12 21:24:48 452.33 24.28 12.81 51.02 61.16 0.0558 0.0789
2018-03-12 21:24:49 453.46 24.31 12.83 51.04 61.13 0.0559 0.0789
2018-03-12 21:24:50 455.89 24.28 12.81 51.02 61.13 0.0561 0.0789
2018-03-12 21:24:51 457.68 24.34 12.84 51.02 61.12 0.0563 0.0790
2018-03-12 21:24:52 454.55 24.29 12.82 51.02 61.14 0.0560 0.0789
2018-03-12 21:24:53 457.76 24.32 12.84 50.99 61.16 0.0563 0.0790
2018-03-12 21:24:54 455.15 24.33 12.83 51.02 61.10 0.0560 0.0790
2018-03-12 21:24:55 457.27 24.30 12.82 51.02 61.13 0.0562 0.0789
2018-03-12 21:24:56 458.20 24.33 12.84 51.04 61.12 0.0563 0.0790
2018-03-12 21:24:57 458.16 24.37 12.87 51.02 61.16 0.0563 0.0791
2018-03-12 21:24:59 457.32 24.32 12.83 51.02 61.12 0.0562 0.0790
2018-03-12 21:25:00 457.79 24.30 12.80 51.02 61.06 0.0562 0.0789
2018-03-12 21:25:01 459.38 24.39 12.87 50.99 61.10 0.0564 0.0791
2018-03-12 21:25:02 460.51 24.36 12.86 51.02 61.14 0.0565 0.0791
2018-03-12 21:25:03 460.76 24.32 12.83 51.02 61.13 0.0565 0.0790
2018-03-12 21:25:04 461.25 24.40 12.89 51.02 61.16 0.0566 0.0792
2018-03-12 21:25:05 461.33 24.31 12.83 51.04 61.14 0.0566 0.0790
2018-03-12 21:25:06 463.84 24.36 12.86 51.02 61.16 0.0568 0.0791
2018-03-12 21:25:07 461.02 24.36 12.86 51.02 61.16 0.0566 0.0791
2018-03-12 21:25:08 463.62 24.34 12.86 51.02 61.20 0.0569 0.0791
2018-03-12 21:25:09 464.93 24.38 12.87 51.02 61.14 0.0569 0.0791
2018-03-12 21:25:10 464.75 24.34 12.85 51.02 61.13 0.0569 0.0790
2018-03-12 21:25:11 464.32 24.43 12.91 51.02 61.16 0.0569 0.0793
2018-03-12 21:25:12 465.33 24.34 12.85 51.02 61.13 0.0569 0.0790
2018-03-12 21:25:13 465.82 24.40 12.89 51.02 61.14 0.0570 0.0792
2018-03-12 21:25:14 466.27 24.39 12.88 51.02 61.16 0.0571 0.0792
2018-03-12 21:25:15 466.80 24.41 12.88 51.02 61.12 0.0571 0.0792
2018-03-12 21:25:16 467.20 24.36 12.85 50.99 61.09 0.0571 0.0790
2018-03-12 21:25:17 467.37 24.45 12.91 51.02 61.11 0.0571 0.0792
2018-03-12 21:25:18 468.15 24.37 12.86 51.02 61.12 0.0572 0.0791
2018-03-12 21:25:19 467.79 24.31 12.82 51.02 61.12 0.0572 0.0789
2018-03-12 21:25:20 468.05 24.38 12.87 51.02 61.11 0.0572 0.0791
2018-03-12 21:25:21 470.32 24.38 12.87 51.02 61.12 0.0574 0.0791
2018-03-12 21:25:22 467.36 24.30 12.81 51.02 61.10 0.0571 0.0789
2018-03-12 21:25:23 468.67 24.34 12.83 50.99 61.09 0.0572 0.0790
2018-03-12 21:25:24 472.06 24.35 12.84 51.02 61.09 0.0575 0.0790
2018-03-12 21:25:25 471.62 24.40 12.88 51.02 61.10 0.0575 0.0791
2018-03-12 21:25:26 471.74 24.32 12.83 51.02 61.13 0.0575 0.0790
2018-03-12 21:25:27 473.33 24.43 12.90 51.04 61.10 0.0576 0.0792
2018-03-12 21:25:28 471.85 24.37 12.85 51.02 61.09 0.0575 0.0790
2018-03-12 21:25:29 473.20 24.37 12.86 51.02 61.13 0.0576 0.0791
2018-03-12 21:25:30 473.40 24.41 12.89 50.99 61.13 0.0577 0.0792
