"2018-03-12 at 22:11"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-12 22:11:23 442.21 23.76 11.87 51.02 58.72 0.0527 0.0748
2018-03-12 22:11:24 445.91 23.78 11.87 50.99 58.69 0.0530 0.0748
2018-03-12 22:11:25 446.64 23.83 11.89 51.02 58.67 0.0530 0.0749
2018-03-12 22:11:26 447.40 23.77 11.85 51.02 58.64 0.0530 0.0748
2018-03-12 22:11:27 447.95 23.78 11.86 51.02 58.65 0.0531 0.0748
2018-03-12 22:11:28 451.57 23.85 11.92 51.02 58.73 0.0535 0.0750
2018-03-12 22:11:29 451.13 23.81 11.90 51.04 58.72 0.0534 0.0749
2018-03-12 22:11:30 451.46 23.75 11.83 51.02 58.62 0.0534 0.0747
2018-03-12 22:11:31 454.69 23.81 11.89 51.02 58.69 0.0537 0.0749
2018-03-12 22:11:32 454.44 23.78 11.86 51.02 58.64 0.0537 0.0748
2018-03-12 22:11:33 456.61 23.81 11.88 50.99 58.65 0.0539 0.0749
2018-03-12 22:11:34 456.49 23.80 11.87 51.02 58.62 0.0538 0.0748
2018-03-12 22:11:35 460.36 23.79 11.86 51.02 58.62 0.0541 0.0748
2018-03-12 22:11:36 459.92 23.87 11.91 51.02 58.64 0.0541 0.0750
2018-03-12 22:11:37 460.32 23.84 11.89 51.02 58.63 0.0542 0.0749
2018-03-12 22:11:38 462.20 23.84 11.89 51.02 58.62 0.0543 0.0749
2018-03-12 22:11:39 465.11 23.82 11.88 51.02 58.62 0.0546 0.0748
2018-03-12 22:11:40 465.79 23.83 11.88 51.02 58.61 0.0546 0.0748
2018-03-12 22:11:41 468.22 23.84 11.89 51.02 58.61 0.0548 0.0749
2018-03-12 22:11:42 468.22 23.82 11.87 51.02 58.60 0.0548 0.0748
2018-03-12 22:11:43 471.80 23.86 11.89 51.04 58.58 0.0551 0.0749
2018-03-12 22:11:44 470.86 23.85 11.89 51.02 58.61 0.0550 0.0749
2018-03-12 22:11:45 471.51 23.76 11.83 51.02 58.60 0.0551 0.0747
2018-03-12 22:11:46 474.13 23.88 11.91 51.02 58.60 0.0553 0.0749
2018-03-12 22:11:47 475.87 23.90 11.92 50.99 58.61 0.0555 0.0750
