"2018-03-12 at 22:16"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-12 22:16:37 406.49 22.49 11.25 51.02 59.58 0.0502 0.0730
2018-03-12 22:16:38 407.72 22.53 11.26 50.99 59.49 0.0503 0.0730
2018-03-12 22:16:39 408.23 22.52 11.23 51.02 59.40 0.0502 0.0729
2018-03-12 22:16:40 409.17 22.60 11.27 51.02 59.34 0.0503 0.0730
2018-03-12 22:16:41 409.87 22.61 11.26 51.04 59.30 0.0503 0.0730
2018-03-12 22:16:42 410.86 22.63 11.27 51.02 59.28 0.0504 0.0730
2018-03-12 22:16:43 410.05 22.67 11.29 51.02 59.24 0.0502 0.0730
2018-03-12 22:16:44 410.95 22.69 11.30 51.02 59.21 0.0503 0.0731
2018-03-12 22:16:45 411.07 22.68 11.28 51.02 59.15 0.0503 0.0730
2018-03-12 22:16:46 411.23 22.69 11.27 50.99 59.11 0.0503 0.0729
2018-03-12 22:16:47 413.67 22.76 11.32 51.02 59.13 0.0505 0.0731
2018-03-12 22:16:48 412.94 22.71 11.29 51.02 59.13 0.0504 0.0730
2018-03-12 22:16:50 414.23 22.77 11.33 51.04 59.14 0.0505 0.0732
2018-03-12 22:16:51 415.45 22.80 11.34 51.02 59.13 0.0506 0.0732
2018-03-12 22:16:52 414.62 22.77 11.31 51.02 59.06 0.0505 0.0731
2018-03-12 22:16:53 416.55 22.81 11.33 51.02 59.03 0.0507 0.0731
2018-03-12 22:16:54 415.91 22.82 11.33 50.99 59.02 0.0506 0.0731
2018-03-12 22:16:55 417.23 22.84 11.33 51.02 58.98 0.0507 0.0731
2018-03-12 22:16:56 415.07 22.86 11.35 51.02 58.97 0.0505 0.0731
2018-03-12 22:16:57 416.98 22.88 11.37 51.02 58.99 0.0507 0.0732
2018-03-12 22:16:58 419.32 22.87 11.34 51.02 58.95 0.0508 0.0731
2018-03-12 22:16:59 417.91 22.89 11.35 51.02 58.94 0.0507 0.0732
2018-03-12 22:17:00 419.42 22.99 11.44 51.02 59.03 0.0509 0.0735
2018-03-12 22:17:01 419.53 22.88 11.39 51.02 59.07 0.0510 0.0733
2018-03-12 22:17:02 421.91 22.97 11.45 50.99 59.10 0.0512 0.0735
2018-03-12 22:17:03 421.30 22.92 11.41 51.02 59.06 0.0511 0.0734
2018-03-12 22:17:04 421.71 22.94 11.40 51.02 58.96 0.0511 0.0733
2018-03-12 22:17:05 421.18 22.94 11.39 51.02 58.94 0.0510 0.0733
2018-03-12 22:17:06 422.64 22.99 11.42 51.02 58.91 0.0511 0.0734
2018-03-12 22:17:07 424.59 23.01 11.43 51.02 58.88 0.0513 0.0734
2018-03-12 22:17:08 424.21 23.02 11.44 51.02 58.91 0.0512 0.0734
2018-03-12 22:17:09 424.16 23.03 11.43 51.02 58.88 0.0512 0.0734
2018-03-12 22:17:10 425.64 23.04 11.44 51.02 58.88 0.0513 0.0735
2018-03-12 22:17:11 424.79 22.99 11.40 51.02 58.85 0.0512 0.0733
2018-03-12 22:17:12 426.83 23.05 11.44 51.02 58.85 0.0514 0.0734
2018-03-12 22:17:13 426.46 23.05 11.44 51.02 58.84 0.0514 0.0734
2018-03-12 22:17:14 426.55 23.08 11.45 51.02 58.82 0.0514 0.0734
2018-03-12 22:17:15 427.37 23.05 11.42 51.02 58.79 0.0514 0.0734
2018-03-12 22:17:16 429.54 23.16 11.52 51.02 58.88 0.0517 0.0737
2018-03-12 22:17:17 428.94 23.07 11.47 51.02 58.92 0.0517 0.0736
2018-03-12 22:17:18 428.24 23.04 11.43 51.02 58.85 0.0516 0.0734
2018-03-12 22:17:19 429.86 23.11 11.47 51.04 58.82 0.0517 0.0735
2018-03-12 22:17:20 430.17 23.16 11.52 51.02 58.87 0.0517 0.0737
2018-03-12 22:17:21 430.18 23.09 11.46 51.02 58.85 0.0517 0.0735
2018-03-12 22:17:22 432.61 23.14 11.51 51.02 58.89 0.0520 0.0737
2018-03-12 22:17:23 431.25 23.12 11.49 51.02 58.88 0.0518 0.0736
2018-03-12 22:17:24 430.91 23.11 11.47 51.02 58.81 0.0518 0.0735
2018-03-12 22:17:25 433.42 23.12 11.47 51.02 58.80 0.0520 0.0735
2018-03-12 22:17:26 434.20 23.13 11.49 51.04 58.85 0.0521 0.0736
2018-03-12 22:17:27 433.37 23.11 11.47 51.02 58.84 0.0520 0.0735
2018-03-12 22:17:28 434.44 23.10 11.46 51.02 58.81 0.0521 0.0735
2018-03-12 22:17:29 434.11 23.10 11.46 51.02 58.79 0.0520 0.0735
2018-03-12 22:17:30 435.41 23.07 11.43 50.99 58.77 0.0521 0.0734
2018-03-12 22:17:31 435.78 23.06 11.44 51.02 58.80 0.0522 0.0734
2018-03-12 22:17:32 436.45 23.08 11.44 51.02 58.80 0.0522 0.0734
2018-03-12 22:17:33 437.04 23.08 11.44 51.02 58.80 0.0523 0.0734
2018-03-12 22:17:34 438.71 23.11 11.47 51.02 58.80 0.0524 0.0735
2018-03-12 22:17:35 436.70 23.11 11.47 51.02 58.79 0.0522 0.0735
2018-03-12 22:17:36 438.94 23.18 11.51 51.02 58.80 0.0525 0.0737
2018-03-12 22:17:37 438.49 23.15 11.49 51.02 58.81 0.0524 0.0736
2018-03-12 22:17:38 438.75 23.12 11.47 51.02 58.79 0.0524 0.0735
2018-03-12 22:17:39 439.09 23.12 11.47 51.02 58.80 0.0525 0.0735
2018-03-12 22:17:40 441.17 23.13 11.48 51.02 58.80 0.0526 0.0735
2018-03-12 22:17:41 440.00 23.12 11.47 51.04 58.77 0.0525 0.0735
2018-03-12 22:17:42 441.40 23.10 11.45 51.02 58.77 0.0526 0.0734
2018-03-12 22:17:43 441.65 23.17 11.50 51.02 58.77 0.0527 0.0736
2018-03-12 22:17:44 443.26 23.17 11.51 51.02 58.83 0.0529 0.0737
2018-03-12 22:17:45 441.71 23.09 11.47 50.99 58.88 0.0528 0.0736
2018-03-12 22:17:46 443.90 23.15 11.50 51.02 58.83 0.0529 0.0736
2018-03-12 22:17:47 444.50 23.13 11.48 51.02 58.80 0.0529 0.0735
2018-03-12 22:17:48 444.15 23.18 11.51 51.02 58.80 0.0529 0.0737
2018-03-12 22:17:49 443.32 23.11 11.46 51.02 58.77 0.0528 0.0735
2018-03-12 22:17:50 445.28 23.13 11.47 51.02 58.76 0.0530 0.0735
2018-03-12 22:17:51 445.66 23.17 11.49 51.02 58.75 0.0530 0.0736
2018-03-12 22:17:52 448.03 23.16 11.49 51.02 58.77 0.0532 0.0736
2018-03-12 22:17:53 446.92 23.11 11.46 51.02 58.77 0.0531 0.0735
2018-03-12 22:17:54 447.19 23.13 11.48 51.02 58.79 0.0532 0.0735
2018-03-12 22:17:55 447.19 23.09 11.45 51.02 58.80 0.0532 0.0735
2018-03-12 22:17:56 448.62 23.15 11.50 51.02 58.81 0.0533 0.0736
2018-03-12 22:17:57 447.43 23.04 11.43 51.02 58.81 0.0532 0.0734
2018-03-12 22:17:58 449.32 23.08 11.45 51.02 58.83 0.0534 0.0735
2018-03-12 22:17:59 451.62 23.10 11.47 51.02 58.84 0.0536 0.0735
2018-03-12 22:18:00 449.59 23.05 11.44 50.99 58.82 0.0534 0.0734
2018-03-12 22:18:02 450.99 22.98 11.39 51.02 58.84 0.0535 0.0733
2018-03-12 22:18:03 450.93 22.98 11.38 51.02 58.81 0.0535 0.0732
2018-03-12 22:18:04 450.40 22.97 11.38 51.02 58.82 0.0535 0.0732
2018-03-12 22:18:05 453.23 23.00 11.39 51.02 58.79 0.0537 0.0732
2018-03-12 22:18:06 453.14 23.01 11.41 51.02 58.84 0.0537 0.0733
2018-03-12 22:18:07 452.43 22.98 11.38 51.02 58.81 0.0536 0.0732
2018-03-12 22:18:08 454.33 22.95 11.35 51.02 58.79 0.0538 0.0731
2018-03-12 22:18:09 453.83 22.94 11.36 51.02 58.81 0.0538 0.0732
2018-03-12 22:18:10 453.11 22.90 11.33 51.02 58.80 0.0537 0.0730
2018-03-12 22:18:11 456.41 23.01 11.42 51.04 58.88 0.0540 0.0734
2018-03-12 22:18:12 455.57 22.90 11.35 51.02 58.89 0.0540 0.0732
2018-03-12 22:18:13 454.76 22.86 11.31 51.02 58.84 0.0539 0.0730
2018-03-12 22:18:14 455.60 22.87 11.30 51.02 58.76 0.0539 0.0729
2018-03-12 22:18:15 458.42 22.92 11.34 51.02 58.78 0.0541 0.0731
2018-03-12 22:18:16 456.74 22.84 11.28 51.02 58.77 0.0540 0.0729
2018-03-12 22:18:17 458.21 22.87 11.30 51.02 58.76 0.0541 0.0729
2018-03-12 22:18:18 458.09 22.86 11.29 51.02 58.77 0.0541 0.0729
2018-03-12 22:18:19 460.20 22.95 11.38 51.02 58.85 0.0543 0.0732
2018-03-12 22:18:20 460.45 22.82 11.30 51.02 58.89 0.0544 0.0730
2018-03-12 22:18:21 459.07 22.82 11.28 51.02 58.81 0.0542 0.0729
2018-03-12 22:18:22 460.69 22.84 11.28 50.99 58.77 0.0543 0.0729
2018-03-12 22:18:23 460.08 22.86 11.29 51.02 58.76 0.0542 0.0729
2018-03-12 22:18:24 461.22 22.82 11.27 51.02 58.78 0.0544 0.0729
2018-03-12 22:18:25 461.59 22.83 11.27 51.02 58.76 0.0544 0.0728
2018-03-12 22:18:26 461.99 22.84 11.28 51.02 58.76 0.0544 0.0729
2018-03-12 22:18:27 463.00 22.80 11.25 51.02 58.76 0.0545 0.0728
2018-03-12 22:18:28 463.17 22.80 11.25 51.02 58.75 0.0545 0.0728
2018-03-12 22:18:29 464.06 22.82 11.27 51.02 58.77 0.0546 0.0728
2018-03-12 22:18:30 463.21 22.79 11.25 51.02 58.80 0.0546 0.0728
2018-03-12 22:18:31 464.62 22.77 11.24 51.02 58.81 0.0547 0.0728
2018-03-12 22:18:32 464.63 22.80 11.26 51.02 58.79 0.0547 0.0728
2018-03-12 22:18:33 466.53 22.79 11.24 51.02 58.73 0.0548 0.0727
2018-03-12 22:18:34 465.45 22.80 11.25 51.02 58.74 0.0547 0.0728
2018-03-12 22:18:35 464.77 22.72 11.13 51.02 58.47 0.0544 0.0723
2018-03-12 22:18:36 467.36 22.81 11.18 51.02 58.46 0.0546 0.0724
2018-03-12 22:18:37 470.94 22.97 11.30 50.99 58.51 0.0549 0.0729
2018-03-12 22:18:38 443.30 22.83 11.21 51.02 58.53 0.0526 0.0726
