"2018-03-12 at 22:26"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-12 22:26:01 437.78 21.99 10.81 51.02 59.15 0.0527 0.0714
2018-03-12 22:26:02 437.69 21.95 10.75 51.02 59.03 0.0525 0.0712
2018-03-12 22:26:03 439.21 21.98 10.77 51.02 59.02 0.0527 0.0712
2018-03-12 22:26:04 438.45 22.00 10.78 51.02 59.00 0.0526 0.0713
2018-03-12 22:26:05 439.10 22.00 10.78 51.02 59.00 0.0526 0.0713
2018-03-12 22:26:06 439.91 22.01 10.79 51.02 59.00 0.0527 0.0713
2018-03-12 22:26:07 439.35 22.02 10.79 51.02 59.02 0.0527 0.0713
2018-03-12 22:26:08 441.88 22.09 10.87 51.04 59.12 0.0530 0.0716
2018-03-12 22:26:09 441.04 22.07 10.86 51.02 59.15 0.0529 0.0716
2018-03-12 22:26:10 441.10 21.98 10.80 51.02 59.13 0.0529 0.0714
2018-03-12 22:26:11 442.76 22.08 10.86 51.02 59.10 0.0531 0.0716
2018-03-12 22:26:12 441.70 22.04 10.81 51.02 59.04 0.0529 0.0714
2018-03-12 22:26:13 444.25 22.08 10.84 51.02 59.03 0.0531 0.0715
2018-03-12 22:26:14 444.02 22.05 10.82 51.02 59.04 0.0531 0.0714
2018-03-12 22:26:15 444.57 22.03 10.80 51.02 59.02 0.0531 0.0714
2018-03-12 22:26:16 447.82 22.09 10.86 51.04 59.07 0.0535 0.0715
2018-03-12 22:26:17 444.41 22.04 10.81 51.02 59.04 0.0531 0.0714
2018-03-12 22:26:18 446.35 22.04 10.81 51.02 59.03 0.0533 0.0714
2018-03-12 22:26:19 446.01 22.03 10.79 51.02 58.99 0.0532 0.0713
2018-03-12 22:26:20 447.58 22.07 10.83 51.02 59.00 0.0534 0.0714
2018-03-12 22:26:21 449.07 22.07 10.84 51.02 59.04 0.0536 0.0715
2018-03-12 22:26:22 447.64 22.05 10.83 51.02 59.06 0.0534 0.0714
2018-03-12 22:26:23 449.23 22.06 10.82 51.02 59.03 0.0536 0.0714
2018-03-12 22:26:24 450.17 22.07 10.83 51.02 59.04 0.0536 0.0715
2018-03-12 22:26:25 452.13 22.11 10.86 51.02 59.04 0.0538 0.0716
2018-03-12 22:26:26 451.22 22.11 10.87 51.02 59.09 0.0538 0.0716
2018-03-12 22:26:27 451.24 22.12 10.87 51.02 59.07 0.0538 0.0716
2018-03-12 22:26:28 452.30 22.14 10.88 51.02 59.06 0.0538 0.0716
2018-03-12 22:26:29 453.22 22.19 10.92 51.02 59.06 0.0539 0.0717
2018-03-12 22:26:30 453.89 22.15 10.90 51.02 59.08 0.0540 0.0717
2018-03-12 22:26:31 453.99 22.15 10.90 51.02 59.07 0.0540 0.0717
2018-03-12 22:26:32 454.69 22.18 10.91 51.02 59.07 0.0541 0.0717
2018-03-12 22:26:33 454.99 22.18 10.91 51.02 59.06 0.0541 0.0717
2018-03-12 22:26:34 455.98 22.21 10.94 51.02 59.09 0.0542 0.0718
2018-03-12 22:26:35 456.00 22.19 10.92 51.02 59.06 0.0542 0.0717
2018-03-12 22:26:36 457.33 22.22 10.94 51.02 59.04 0.0543 0.0718
2018-03-12 22:26:37 458.74 22.24 10.95 51.04 59.04 0.0544 0.0719
2018-03-12 22:26:38 457.33 22.20 10.93 51.02 59.04 0.0543 0.0718
2018-03-12 22:26:39 457.24 22.23 10.94 51.02 59.03 0.0543 0.0718
2018-03-12 22:26:40 460.31 22.24 10.95 51.02 59.04 0.0545 0.0718
2018-03-12 22:26:41 458.64 22.23 10.94 51.02 59.04 0.0544 0.0718
2018-03-12 22:26:42 459.84 22.25 10.96 50.99 59.04 0.0545 0.0719
2018-03-12 22:26:43 460.30 22.24 10.95 51.02 59.04 0.0545 0.0718
2018-03-12 22:26:44 460.13 22.22 10.95 51.02 59.08 0.0546 0.0718
2018-03-12 22:26:45 462.24 22.22 10.94 51.02 59.04 0.0547 0.0718
2018-03-12 22:26:46 461.72 22.22 10.93 51.02 59.04 0.0547 0.0718
2018-03-12 22:26:47 463.50 22.24 10.95 51.02 59.04 0.0548 0.0718
2018-03-12 22:26:48 464.15 22.21 10.93 51.02 59.04 0.0549 0.0718
2018-03-12 22:26:49 464.37 22.22 10.94 51.02 59.06 0.0549 0.0718
2018-03-12 22:26:50 465.62 22.17 10.91 51.02 59.06 0.0550 0.0717
2018-03-12 22:26:51 465.10 22.20 10.93 51.02 59.06 0.0550 0.0718
2018-03-12 22:26:52 465.96 22.19 10.92 51.04 59.07 0.0550 0.0718
2018-03-12 22:26:54 465.60 22.15 10.90 51.02 59.07 0.0550 0.0717
