Mar 13 2018 at 10:21:00
Frequency: 1Hz.
CO2
Zero:  Value:0.914415  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00445  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.772015  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.00616  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.30	22.40	65.91	0.00	0.0610	11.08	487.5	413.05	0.0539	429.4	7.729	16.01	7.70	1.38
	1.30	22.46	65.91	0.00	0.0610	11.09	487.8	413.39	0.0540	429.9	7.739	16.03	7.72	1.38
	2.30	22.46	65.89	0.00	0.0609	11.09	487.9	413.60	0.0540	428.9	7.720	16.00	7.69	1.38
	3.30	22.46	65.91	0.00	0.0609	11.08	487.6	413.20	0.0541	430.0	7.740	16.03	7.72	1.38
	4.30	22.44	65.91	0.00	0.0609	11.08	487.5	413.12	0.0542	430.7	7.752	16.06	7.75	1.38
	5.30	22.46	65.91	0.00	0.0611	11.12	489.2	414.57	0.0544	433.5	7.802	16.16	7.84	1.38
	6.30	22.46	65.91	0.00	0.0610	11.08	487.5	413.12	0.0542	434.8	7.827	16.21	7.89	1.38
	7.30	22.44	65.93	0.00	0.0613	11.17	491.4	416.26	0.0550	431.7	7.771	16.09	7.78	1.38
	8.30	22.44	65.91	0.00	0.0615	11.17	491.7	416.66	0.0545	435.2	7.833	16.23	7.90	1.38
	9.30	22.44	65.91	0.00	0.0612	11.14	490.4	415.56	0.0546	434.1	7.814	16.19	7.86	1.38
	10.30	22.44	65.93	0.00	0.0612	11.11	489.0	414.24	0.0539	435.3	7.835	16.22	7.90	1.38
	11.30	22.44	65.91	0.00	0.0612	11.13	489.5	414.85	0.0534	421.4	7.585	15.71	7.43	1.38
	12.38	22.44	65.91	0.00	0.0610	11.11	488.7	414.13	0.0537	425.6	7.661	15.87	7.57	1.38
	13.33	22.44	65.91	0.00	0.0611	11.12	489.3	414.68	0.0533	425.3	7.656	15.86	7.56	1.38
	14.31	22.42	65.89	0.00	0.0615	11.13	489.8	415.19	0.0534	425.2	7.654	15.86	7.56	1.38
	15.30	22.42	65.93	0.00	0.0617	11.20	492.8	417.39	0.0534	421.7	7.591	15.72	7.44	1.38
	16.31	22.44	65.91	0.00	0.0620	11.44	503.3	426.48	0.0535	423.0	7.613	15.77	7.48	1.38
	17.30	22.44	65.91	0.00	0.0611	11.11	489.0	414.41	0.0537	424.8	7.646	15.84	7.54	1.38
	18.31	22.44	65.91	0.00	0.0611	11.52	507.1	429.73	0.0535	422.4	7.603	15.75	7.46	1.38
	19.30	22.42	65.91	0.00	0.0611	11.10	488.5	413.98	0.0533	422.3	7.601	15.74	7.46	1.38
	20.31	22.44	65.91	0.00	0.0611	11.10	488.6	414.02	0.0534	422.0	7.596	15.74	7.45	1.38
	21.30	22.42	65.93	0.00	0.0611	11.10	488.6	413.87	0.0533	421.5	7.587	15.71	7.43	1.38
	22.30	22.42	65.93	0.00	0.0610	11.10	488.6	413.89	0.0534	422.2	7.600	15.74	7.45	1.38
	23.30	22.44	65.96	0.00	0.0610	11.10	488.5	413.66	0.0534	423.6	7.625	15.78	7.50	1.38
	24.30	22.42	65.93	0.00	0.0610	11.10	488.5	413.79	0.0536	424.5	7.641	15.82	7.53	1.38
	25.30	22.42	65.91	0.00	0.0610	11.07	487.3	412.93	0.0535	423.6	7.625	15.79	7.50	1.38
	26.30	22.42	65.91	0.00	0.0612	11.10	488.5	413.92	0.0532	420.9	7.577	15.69	7.41	1.38
	27.30	22.40	65.91	0.00	0.0610	11.10	488.4	413.83	0.0534	421.7	7.591	15.72	7.44	1.38
	28.30	22.42	65.91	0.00	0.0610	11.11	488.6	414.06	0.0533	421.8	7.593	15.73	7.44	1.38
