Mar 13 2018 at 10:21:50
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.83	22.39	65.91	0.00	0.0615	11.19	492.6	417.35	0.0540	428.4	7.712	15.97	7.67	1.38
	1.84	22.39	65.96	0.00	0.0618	11.25	495.0	419.13	0.0544	432.0	7.776	16.09	7.79	1.38
	2.83	22.39	65.91	0.00	0.0616	11.22	493.8	418.40	0.0543	432.1	7.777	16.11	7.79	1.38
	3.84	22.39	65.91	0.00	0.0615	11.21	493.1	417.78	0.0542	429.5	7.731	16.01	7.70	1.38
	4.83	22.39	65.91	0.00	0.0615	11.21	493.1	417.76	0.0542	430.4	7.748	16.05	7.74	1.38
	5.84	22.37	65.89	0.00	0.0614	11.19	492.5	417.39	0.0541	428.5	7.714	15.98	7.67	1.38
	6.83	22.39	65.91	0.00	0.0615	11.21	493.4	418.07	0.0542	431.6	7.769	16.09	7.78	1.38
	7.84	22.39	65.93	0.00	0.0614	11.21	493.2	417.73	0.0542	431.8	7.773	16.09	7.78	1.38
	8.83	22.39	65.91	0.00	0.0615	11.21	493.1	417.84	0.0544	432.8	7.790	16.13	7.82	1.38
	9.84	22.39	65.91	0.00	0.0615	11.20	492.9	417.66	0.0544	432.7	7.789	16.13	7.81	1.38
	10.83	22.37	65.93	0.00	0.0615	11.20	492.6	417.22	0.0544	432.4	7.783	16.11	7.80	1.38
	15.67	22.39	65.93	0.00	0.0615	11.20	492.6	417.25	0.0544	433.0	7.794	16.14	7.82	1.38
