Mar 13 2018 at 10:25:54
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Extreme cloud cover low light low temps
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.77	22.10	65.91	0.00	0.0610	11.11	488.8	413.73	0.0556	447.8	8.061	16.68	8.30	1.38
	1.77	22.13	65.88	0.00	0.0611	11.12	489.1	414.19	0.0559	449.0	8.081	16.73	8.34	1.38
	2.77	22.10	65.91	0.00	0.0610	11.11	488.7	413.67	0.0557	447.8	8.061	16.68	8.30	1.38
	3.77	22.12	65.91	0.00	0.0611	11.11	488.8	413.79	0.0559	448.2	8.068	16.70	8.32	1.38
	4.77	22.12	65.91	0.00	0.0611	11.12	489.3	414.21	0.0559	449.2	8.085	16.73	8.35	1.38
	5.77	22.12	65.91	0.00	0.0611	11.12	489.3	414.18	0.0559	449.7	8.094	16.75	8.36	1.38
	6.77	22.12	65.91	0.00	0.0611	11.12	489.4	414.25	0.0560	450.3	8.105	16.77	8.38	1.38
	7.77	22.08	65.91	0.00	0.0611	11.12	489.1	413.96	0.0560	449.7	8.095	16.75	8.36	1.38
	8.77	22.10	65.93	0.00	0.0611	11.12	489.3	414.07	0.0560	450.0	8.100	16.75	8.37	1.38
	9.84	22.12	65.91	0.00	0.0611	11.13	489.6	414.48	0.0560	450.4	8.107	16.77	8.39	1.38
	10.77	22.12	65.93	0.00	0.0611	11.11	489.0	413.75	0.0559	450.0	8.099	16.75	8.37	1.38
	11.77	22.12	65.93	0.00	0.0611	11.12	489.1	413.88	0.0560	450.5	8.110	16.77	8.39	1.38
	12.77	22.12	65.88	0.00	0.0611	11.12	489.3	414.32	0.0561	451.9	8.135	16.84	8.44	1.38
	13.78	22.10	65.91	0.00	0.0610	11.12	489.3	414.16	0.0560	450.9	8.115	16.79	8.40	1.38
	14.77	22.10	65.91	0.00	0.0611	11.12	489.3	414.14	0.0560	450.5	8.109	16.78	8.39	1.38
	15.77	22.10	65.91	0.00	0.0611	11.13	489.9	414.67	0.0561	452.1	8.139	16.84	8.44	1.38
	16.77	22.10	65.91	0.00	0.0611	11.12	489.3	414.18	0.0561	451.6	8.128	16.82	8.43	1.38
	17.77	22.10	65.93	0.00	0.0611	11.13	489.8	414.46	0.0561	452.9	8.153	16.86	8.47	1.38
	18.77	22.08	65.91	0.00	0.0612	11.13	489.9	414.63	0.0562	453.0	8.154	16.87	8.47	1.38
	19.77	22.10	65.91	0.00	0.0613	11.14	490.2	414.97	0.0563	453.0	8.154	16.87	8.47	1.38
	20.77	22.10	65.91	0.00	0.0613	11.15	490.6	415.30	0.0563	454.2	8.176	16.92	8.51	1.38
	21.77	22.12	65.91	0.00	0.0613	11.15	490.6	415.29	0.0563	453.8	8.169	16.90	8.50	1.38
	22.77	22.10	65.88	0.00	0.0613	11.15	490.5	415.38	0.0563	454.0	8.172	16.92	8.51	1.38
	23.77	22.10	65.91	0.00	0.0613	11.15	490.4	415.13	0.0564	454.8	8.186	16.94	8.53	1.38
	24.77	22.10	65.91	0.00	0.0612	11.15	490.4	415.10	0.0563	454.5	8.182	16.93	8.52	1.38
	25.77	22.10	65.91	0.00	0.0613	11.15	490.8	415.43	0.0564	455.1	8.192	16.95	8.54	1.38
	26.77	22.10	65.91	0.00	0.0612	11.15	490.6	415.24	0.0564	455.1	8.192	16.95	8.54	1.38
	27.77	22.08	65.91	0.00	0.0613	11.15	490.8	415.41	0.0564	455.1	8.191	16.95	8.54	1.38
	28.78	22.08	65.93	0.00	0.0612	11.15	490.7	415.19	0.0563	455.1	8.192	16.94	8.54	1.38
	29.77	22.06	65.91	0.00	0.0613	11.16	491.1	415.61	0.0565	456.1	8.210	16.98	8.57	1.38
	30.77	22.08	65.91	0.00	0.0612	11.16	491.1	415.66	0.0564	456.0	8.207	16.98	8.57	1.38
	31.77	22.08	65.91	0.00	0.0613	11.17	491.3	415.84	0.0565	456.4	8.215	17.00	8.58	1.38
	32.77	22.08	65.91	0.00	0.0613	11.16	491.2	415.77	0.0565	456.3	8.213	16.99	8.58	1.38
	33.77	22.08	65.91	0.00	0.0613	11.16	491.0	415.62	0.0565	455.7	8.203	16.97	8.56	1.38
	34.77	22.08	65.91	0.00	0.0613	11.17	491.6	416.13	0.0565	456.8	8.222	17.01	8.59	1.38
	35.77	22.06	65.89	0.00	0.0613	11.18	491.9	416.50	0.0566	457.7	8.239	17.05	8.62	1.38
	36.77	22.06	65.91	0.00	0.0614	11.18	491.7	416.16	0.0566	457.4	8.233	17.03	8.61	1.38
	37.77	22.06	65.91	0.00	0.0613	11.19	492.4	416.78	0.0566	457.9	8.242	17.05	8.63	1.38
	38.77	22.08	65.91	0.00	0.0614	11.19	492.2	416.64	0.0566	457.9	8.243	17.05	8.63	1.38
	39.77	22.06	65.91	0.00	0.0613	11.17	491.4	415.90	0.0565	456.9	8.224	17.02	8.60	1.38
	40.77	22.06	65.91	0.00	0.0614	11.19	492.2	416.55	0.0567	458.2	8.247	17.06	8.64	1.38
	41.77	22.08	65.91	0.00	0.0614	11.18	491.9	416.36	0.0567	457.7	8.239	17.05	8.62	1.38
	42.77	22.06	65.91	0.00	0.0614	11.19	492.2	416.57	0.0566	458.2	8.247	17.06	8.64	1.38
