Mar 13 2018 at 9:56:11
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Redoing Photosynthesis
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.73	22.86	65.91	0.00	0.0603	10.95	481.9	408.96	0.0572	463.6	8.345	17.31	8.85	1.44
	1.74	22.86	65.93	0.00	0.0604	10.93	480.9	407.96	0.0575	475.6	8.561	17.75	9.23	1.44
	2.73	22.88	65.91	0.00	0.0603	10.94	481.2	408.42	0.0576	461.6	8.308	17.24	8.79	1.44
	3.72	22.84	65.91	0.00	0.0602	10.92	480.7	407.87	0.0573	463.9	8.351	17.32	8.86	1.43
	4.74	22.86	65.91	0.00	0.0602	10.91	480.0	407.37	0.0573	465.5	8.379	17.38	8.91	1.44
	5.72	22.86	65.91	0.00	0.0601	10.89	479.1	406.62	0.0585	476.9	8.584	17.81	9.27	1.44
	6.74	22.84	65.93	0.00	0.0604	10.96	482.3	409.07	0.0570	458.8	8.258	17.12	8.70	1.44
	7.74	22.86	65.93	0.00	0.0602	10.89	479.1	406.42	0.0570	468.3	8.429	17.48	9.00	1.44
	8.73	22.84	65.89	0.00	0.0601	10.91	480.0	407.48	0.0571	460.6	8.290	17.20	8.75	1.43
	9.73	22.84	65.91	0.00	0.0603	10.91	480.0	407.35	0.0571	463.4	8.342	17.30	8.85	1.43
	10.73	22.86	65.91	0.00	0.0601	10.91	480.2	407.53	0.0572	458.9	8.260	17.14	8.70	1.44
	11.73	22.84	65.91	0.00	0.0602	10.92	480.6	407.83	0.0566	456.2	8.212	17.03	8.61	1.44
	12.73	22.86	65.91	0.00	0.0603	10.92	480.3	407.58	0.0568	463.7	8.346	17.31	8.86	1.44
	13.73	22.86	65.91	0.00	0.0604	10.98	483.0	409.91	0.0569	452.4	8.143	16.89	8.49	1.43
	14.72	22.82	65.91	0.00	0.0604	10.98	483.1	409.88	0.0564	453.3	8.160	16.92	8.52	1.43
	15.73	22.84	65.91	0.00	0.0603	10.93	481.1	408.29	0.0564	457.6	8.236	17.08	8.66	1.43
	16.72	22.86	65.91	0.00	0.0602	10.90	479.6	406.99	0.0570	460.1	8.282	17.18	8.74	1.43
	17.73	22.84	65.91	0.00	0.0605	11.02	485.1	411.61	0.0565	446.3	8.033	16.66	8.29	1.44
	18.80	22.84	65.91	0.00	0.0603	10.92	480.5	407.78	0.0565	455.9	8.207	17.02	8.61	1.44
	19.73	22.86	65.91	0.00	0.0603	10.97	482.7	409.65	0.0573	457.5	8.235	17.08	8.66	1.43
	20.73	22.82	65.91	0.00	0.0610	11.05	486.1	412.48	0.0552	445.4	8.016	16.63	8.26	1.43
	21.73	22.84	65.91	0.00	0.0608	11.05	486.4	412.69	0.0553	442.0	7.957	16.50	8.15	1.43
	22.73	22.82	65.91	0.00	0.0610	11.12	489.3	415.15	0.0548	435.8	7.845	16.27	7.94	1.44
	23.73	22.84	65.91	0.00	0.0610	11.08	487.6	413.75	0.0559	447.0	8.046	16.69	8.31	1.44
	24.73	22.84	65.89	0.00	0.0608	11.11	488.9	415.01	0.0572	456.2	8.211	17.04	8.61	1.44
	25.73	22.84	65.91	0.00	0.0609	11.04	485.6	412.07	0.0567	460.0	8.279	17.17	8.73	1.43
	26.73	22.84	65.91	0.00	0.0616	11.12	489.1	415.05	0.0550	441.1	7.941	16.47	8.12	1.43
	27.72	22.86	65.91	0.00	0.0610	11.11	488.7	414.70	0.0558	455.6	8.200	17.01	8.59	1.43
	28.73	22.84	65.91	0.00	0.0609	11.09	487.7	413.89	0.0564	455.9	8.206	17.02	8.60	1.44
	29.72	22.82	65.91	0.00	0.0608	11.05	486.1	412.44	0.0569	459.5	8.271	17.16	8.72	1.44
	30.73	22.86	65.91	0.00	0.0642	11.26	495.5	420.46	0.0563	455.6	8.200	17.01	8.59	1.43
	31.73	22.84	65.96	0.00	0.0621	11.64	512.4	434.46	0.0557	449.6	8.093	16.78	8.40	1.43
	32.73	22.84	65.91	0.00	0.0648	11.19	492.4	417.88	0.0557	447.9	8.062	16.72	8.34	1.43
	33.73	22.84	65.89	0.00	0.0632	11.64	512.2	434.83	0.0558	444.9	8.008	16.62	8.24	1.43
	34.73	22.84	65.88	0.00	0.0612	11.40	501.5	425.71	0.0556	445.8	8.024	16.65	8.27	1.43
	35.73	22.84	65.91	0.00	0.0618	11.18	492.0	417.51	0.0554	443.6	7.984	16.56	8.20	1.44
