Mar 13 2018 at 9:58:47
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Cloud and fog, low temps
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.42	22.80	65.91	0.00	0.0611	11.13	489.7	415.51	0.0578	468.6	8.435	17.49	9.01	1.43
	1.44	22.80	65.88	0.00	0.0612	11.13	489.9	415.86	0.0578	470.5	8.469	17.57	9.07	1.43
	2.42	22.80	65.91	0.00	0.0611	11.13	489.7	415.52	0.0579	470.9	8.476	17.58	9.08	1.43
	3.44	22.80	65.91	0.00	0.0612	11.13	489.7	415.52	0.0580	471.9	8.493	17.62	9.11	1.43
	4.50	22.82	65.91	0.00	0.0611	11.12	489.3	415.22	0.0580	475.0	8.549	17.73	9.21	1.42
	5.44	22.82	65.93	0.00	0.0611	11.12	489.5	415.18	0.0584	476.2	8.572	17.77	9.25	1.43
	6.50	22.82	65.91	0.00	0.0611	11.14	490.0	415.78	0.0587	480.3	8.645	17.93	9.37	1.43
	7.44	22.82	65.91	0.00	0.0610	11.10	488.3	414.31	0.0583	479.9	8.638	17.92	9.36	1.43
	8.44	22.84	65.89	0.00	0.0612	11.16	490.8	416.67	0.0587	482.0	8.675	18.00	9.43	1.43
	9.44	22.82	65.91	0.00	0.0615	11.19	492.3	417.71	0.0598	492.3	8.862	18.38	9.74	1.43
	10.44	22.82	65.91	0.00	0.0611	11.12	489.3	415.18	0.0591	484.6	8.723	18.09	9.51	1.42
	11.42	22.82	65.91	0.00	0.0610	11.13	489.7	415.54	0.0597	486.8	8.762	18.17	9.57	1.42
	12.44	22.82	65.91	0.00	0.0610	11.09	487.9	413.98	0.0592	486.5	8.756	18.16	9.57	1.43
	13.42	22.82	65.88	0.00	0.0611	11.10	488.4	414.56	0.0590	485.3	8.735	18.13	9.53	1.43
	14.44	22.80	65.91	0.00	0.0610	11.10	488.3	414.30	0.0592	486.6	8.759	18.17	9.57	1.43
	15.42	22.80	65.96	0.00	0.0610	11.09	487.9	413.68	0.0595	492.7	8.868	18.38	9.75	1.43
	16.44	22.82	65.91	0.00	0.0610	11.08	487.5	413.63	0.0598	496.4	8.936	18.53	9.87	1.42
	17.50	22.82	65.91	0.00	0.0611	11.09	488.0	414.04	0.0601	492.9	8.873	18.40	9.76	1.43
	18.44	22.82	65.91	0.00	0.0610	11.08	487.5	413.63	0.0597	494.6	8.902	18.46	9.81	1.43
	19.44	22.84	65.91	0.00	0.0609	11.08	487.5	413.66	0.0598	494.6	8.902	18.47	9.81	1.43
	20.44	22.82	65.91	0.00	0.0610	11.09	487.9	413.97	0.0599	495.1	8.912	18.49	9.83	1.42
	21.44	22.82	65.91	0.00	0.0609	11.08	487.6	413.77	0.0602	497.5	8.954	18.57	9.90	1.42
	22.42	22.82	65.91	0.00	0.0609	11.07	487.2	413.38	0.0601	497.4	8.954	18.57	9.90	1.43
	23.44	22.82	65.93	0.00	0.0609	11.07	487.0	413.06	0.0604	501.4	9.024	18.71	10.01	1.42
	24.42	22.80	65.91	0.00	0.0610	11.06	486.8	413.07	0.0605	501.6	9.028	18.72	10.02	1.43
	25.44	22.79	65.91	0.00	0.0608	11.07	487.0	413.18	0.0603	499.5	8.991	18.65	9.96	1.43
	26.50	22.78	65.91	0.00	0.0609	11.05	486.3	412.59	0.0607	505.6	9.100	18.87	10.14	1.42
	27.44	22.84	65.91	0.00	0.0609	11.06	486.7	413.04	0.0604	501.6	9.030	18.73	10.02	1.43
	28.50	22.82	65.91	0.00	0.0608	11.06	486.7	412.96	0.0608	503.2	9.058	18.79	10.07	1.42
	29.44	22.80	65.91	0.00	0.0607	11.06	486.5	412.75	0.0608	503.7	9.067	18.81	10.08	1.43
	30.44	22.82	65.91	0.00	0.0608	11.02	484.8	411.36	0.0608	507.9	9.143	18.96	10.21	1.43
	31.44	22.82	65.91	0.00	0.0609	11.05	486.3	412.63	0.0607	505.7	9.102	18.88	10.14	1.43
	32.44	22.82	65.91	0.00	0.0608	11.03	485.3	411.80	0.0611	507.9	9.141	18.96	10.21	1.42
	33.42	22.82	65.91	0.00	0.0607	11.04	485.6	412.08	0.0610	507.9	9.142	18.96	10.21	1.43
	34.44	22.82	65.91	0.00	0.0606	11.03	485.1	411.66	0.0615	509.0	9.162	19.00	10.24	1.43
	35.42	22.82	65.91	0.00	0.0607	11.02	485.0	411.57	0.0615	512.7	9.229	19.14	10.35	1.43
	36.44	22.82	65.91	0.00	0.0607	11.02	484.8	411.41	0.0612	512.0	9.217	19.12	10.33	1.43
	37.42	22.82	65.91	0.00	0.0607	11.03	485.4	411.84	0.0614	511.0	9.198	19.08	10.30	1.43
	38.44	22.82	65.91	0.00	0.0606	10.99	483.6	410.38	0.0616	515.2	9.273	19.23	10.42	1.42
	39.50	22.80	65.91	0.00	0.0607	11.03	485.4	411.86	0.0616	514.0	9.253	19.19	10.39	1.43
	40.44	22.82	65.89	0.00	0.0606	11.01	484.4	411.18	0.0618	517.7	9.318	19.33	10.49	1.43
	41.44	22.82	65.91	0.00	0.0606	10.98	483.1	409.93	0.0620	519.9	9.358	19.41	10.56	1.43
	42.44	22.80	65.91	0.00	0.0605	10.98	483.2	410.00	0.0619	519.0	9.343	19.38	10.53	1.43
	43.44	22.82	65.93	0.00	0.0606	11.00	483.9	410.43	0.0617	516.7	9.301	19.28	10.47	1.43
	44.42	22.82	65.91	0.00	0.0606	10.99	483.7	410.43	0.0620	518.6	9.335	19.36	10.52	1.43
	45.44	22.80	65.91	0.00	0.0605	10.99	483.6	410.30	0.0620	519.6	9.353	19.40	10.55	1.43
	46.42	22.78	65.91	0.00	0.0605	10.97	482.6	409.47	0.0622	522.6	9.407	19.51	10.63	1.43
	47.44	22.82	65.91	0.00	0.0606	10.98	483.0	409.85	0.0621	522.1	9.398	19.49	10.62	1.43
	48.44	22.80	65.91	0.00	0.0606	10.99	483.6	410.31	0.0622	521.8	9.393	19.48	10.61	1.43
	49.44	22.82	65.93	0.00	0.0605	10.98	483.1	409.75	0.0622	522.1	9.398	19.48	10.62	1.43
	50.44	22.80	65.91	0.00	0.0605	10.99	483.6	410.32	0.0623	523.1	9.416	19.53	10.65	1.43
	51.44	22.80	65.89	0.00	0.0605	10.99	483.7	410.54	0.0625	525.0	9.451	19.61	10.70	1.43
	52.44	22.82	65.91	0.00	0.0605	10.98	483.0	409.81	0.0625	526.0	9.468	19.64	10.73	1.43
	53.44	22.80	65.91	0.00	0.0605	10.97	482.8	409.64	0.0629	527.6	9.497	19.70	10.78	1.43
	54.44	22.82	65.91	0.00	0.0604	10.97	482.5	409.41	0.0627	528.6	9.515	19.74	10.81	1.43
	55.42	22.82	65.89	0.00	0.0604	10.96	482.3	409.42	0.0628	529.2	9.526	19.77	10.82	1.43
	56.44	22.80	65.91	0.00	0.0605	10.97	482.7	409.53	0.0628	529.2	9.526	19.76	10.82	1.43
	57.42	22.82	65.90	0.00	0.0604	10.98	483.2	410.04	0.0627	528.5	9.513	19.73	10.80	1.43
	58.44	22.82	65.91	0.00	0.0605	10.97	482.8	409.63	0.0629	528.9	9.520	19.75	10.82	1.43
	59.42	22.82	65.91	0.00	0.0605	10.95	482.0	408.99	0.0629	531.3	9.563	19.84	10.88	1.43
	60.44	22.82	65.88	0.00	0.0604	10.96	482.3	409.39	0.0629	530.6	9.550	19.82	10.86	1.43
	61.50	22.82	65.91	0.00	0.0604	10.96	482.3	409.26	0.0632	533.1	9.595	19.90	10.93	1.43
	62.44	22.82	65.91	0.00	0.0605	10.96	482.2	409.19	0.0632	533.3	9.599	19.91	10.94	1.43
	63.44	22.82	65.91	0.00	0.0604	10.95	481.8	408.86	0.0632	534.8	9.627	19.97	10.98	1.43
	64.44	22.82	65.91	0.00	0.0604	10.95	481.9	408.93	0.0634	535.4	9.637	19.99	11.00	1.43
	65.44	22.80	65.86	0.00	0.0604	10.94	481.5	408.81	0.0633	535.8	9.644	20.02	11.01	1.43
	66.44	22.82	65.91	0.00	0.0604	10.94	481.2	408.35	0.0633	536.2	9.652	20.02	11.02	1.43
	67.44	22.82	65.93	0.00	0.0603	10.94	481.6	408.46	0.0634	536.2	9.652	20.01	11.02	1.43
	68.42	22.82	65.91	0.00	0.0603	10.93	481.0	408.11	0.0636	538.0	9.683	20.09	11.07	1.43
	69.44	22.82	65.91	0.00	0.0603	10.92	480.7	407.87	0.0637	542.0	9.756	20.24	11.18	1.43
	70.44	22.80	65.91	0.00	0.0603	10.94	481.3	408.33	0.0638	540.6	9.731	20.18	11.14	1.43
