Mar 13 2018 at 10:02:27
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Cloud and fog, low temps, REDO PHOTO
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.86	22.86	65.89	0.00	0.0599	10.82	476.1	404.21	0.0564	454.6	8.184	16.98	8.56	1.44
	1.86	22.87	65.91	0.00	0.0598	10.83	476.3	404.26	0.0563	455.2	8.193	17.00	8.58	1.43
	2.86	22.87	65.91	0.00	0.0598	10.80	475.4	403.44	0.0564	459.2	8.265	17.15	8.71	1.43
	3.86	22.87	65.91	0.00	0.0597	10.81	475.7	403.69	0.0567	458.3	8.250	17.11	8.68	1.43
	4.86	22.87	65.88	0.00	0.0597	10.80	475.1	403.40	0.0569	461.0	8.298	17.22	8.77	1.43
	5.94	22.87	65.91	0.00	0.0597	10.78	474.5	402.73	0.0572	465.1	8.371	17.37	8.90	1.43
	6.86	22.88	65.91	0.00	0.0596	10.77	474.0	402.28	0.0577	467.1	8.409	17.44	8.97	1.44
	7.86	22.87	65.93	0.00	0.0596	10.77	473.8	401.98	0.0577	468.7	8.436	17.49	9.01	1.43
	8.86	22.87	65.88	0.00	0.0596	10.77	473.9	402.37	0.0576	468.2	8.428	17.49	9.00	1.43
	9.86	22.87	65.91	0.00	0.0595	10.73	471.9	400.51	0.0579	477.7	8.598	17.84	9.30	1.43
	10.86	22.91	65.91	0.00	0.0596	10.76	473.4	401.81	0.0581	472.1	8.498	17.63	9.12	1.43
	11.86	22.87	65.91	0.00	0.0595	10.76	473.3	401.65	0.0581	470.4	8.467	17.57	9.07	1.43
	12.86	22.87	65.89	0.00	0.0594	10.74	472.5	401.12	0.0584	477.5	8.594	17.84	9.29	1.44
	13.86	22.87	65.91	0.00	0.0594	10.73	472.3	400.80	0.0583	477.3	8.591	17.82	9.28	1.44
	14.86	22.87	65.91	0.00	0.0595	10.73	472.0	400.59	0.0583	479.9	8.639	17.92	9.37	1.43
	15.86	22.85	65.91	0.00	0.0594	10.73	471.9	400.48	0.0585	478.8	8.619	17.88	9.33	1.43
	16.84	22.87	65.91	0.00	0.0593	10.71	471.4	400.06	0.0589	483.2	8.698	18.04	9.47	1.43
	17.86	22.87	65.89	0.00	0.0593	10.71	471.3	400.14	0.0592	487.7	8.778	18.22	9.60	1.44
	18.86	22.89	65.91	0.00	0.0594	10.72	471.7	400.39	0.0590	484.5	8.721	18.09	9.51	1.44
	19.86	22.89	65.91	0.00	0.0594	10.72	471.5	400.18	0.0592	488.5	8.792	18.24	9.63	1.44
	20.86	22.87	65.91	0.00	0.0594	10.71	471.3	399.94	0.0594	488.3	8.790	18.24	9.62	1.43
	21.86	22.91	65.91	0.00	0.0593	10.70	470.9	399.68	0.0595	490.3	8.825	18.31	9.68	1.43
	22.86	22.91	65.90	0.00	0.0593	10.69	470.5	399.37	0.0598	492.3	8.861	18.39	9.75	1.43
	23.86	22.89	65.91	0.00	0.0593	10.69	470.5	399.31	0.0600	493.6	8.885	18.43	9.79	1.44
	24.86	22.89	65.86	0.00	0.0593	10.69	470.4	399.55	0.0599	495.0	8.910	18.50	9.83	1.43
	25.86	22.91	65.91	0.00	0.0592	10.68	469.8	398.72	0.0604	499.2	8.986	18.64	9.96	1.43
	26.86	22.89	65.93	0.00	0.0592	10.67	469.4	398.23	0.0605	501.8	9.032	18.73	10.03	1.44
	27.94	22.87	65.91	0.00	0.0591	10.67	469.3	398.28	0.0607	502.4	9.042	18.76	10.05	1.43
