Mar 13 2018 at 10:05:43
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Cloud and fog, low temps
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.80	23.05	65.91	0.00	0.0597	10.80	475.2	403.54	0.0582	474.0	8.532	17.71	9.19	1.44
	1.80	23.03	65.91	0.00	0.0597	10.80	475.1	403.39	0.0583	475.8	8.565	17.78	9.25	1.45
	2.80	23.05	65.91	0.00	0.0597	10.79	474.8	403.21	0.0584	475.9	8.567	17.78	9.25	1.44
	3.80	23.05	65.91	0.00	0.0598	10.80	475.0	403.38	0.0585	479.6	8.632	17.92	9.36	1.44
	4.80	23.05	65.91	0.00	0.0597	10.79	474.6	403.00	0.0590	480.4	8.648	17.95	9.39	1.44
	5.78	23.05	65.91	0.00	0.0597	10.79	474.8	403.17	0.0588	478.9	8.620	17.89	9.34	1.44
	6.80	23.07	65.91	0.00	0.0597	10.79	474.9	403.33	0.0586	481.0	8.659	17.97	9.41	1.44
	7.88	23.05	65.91	0.00	0.0597	10.78	474.5	402.96	0.0589	481.1	8.659	17.97	9.41	1.45
	8.80	23.05	65.91	0.00	0.0597	10.80	475.0	403.37	0.0589	483.8	8.708	18.08	9.49	1.44
	9.80	23.05	65.91	0.00	0.0597	10.79	474.9	403.26	0.0590	484.6	8.723	18.11	9.52	1.44
	10.80	23.06	65.91	0.00	0.0597	10.80	475.0	403.38	0.0589	482.9	8.693	18.05	9.47	1.44
	11.80	23.06	65.91	0.00	0.0597	10.80	475.2	403.54	0.0591	485.7	8.742	18.15	9.55	1.44
	12.80	23.05	65.91	0.00	0.0597	10.80	475.1	403.46	0.0593	488.2	8.787	18.24	9.63	1.44
	13.80	23.05	65.91	0.00	0.0596	10.79	474.8	403.20	0.0593	487.9	8.781	18.23	9.62	1.45
	14.80	23.05	65.89	0.00	0.0597	10.80	475.1	403.61	0.0595	490.1	8.822	18.32	9.69	1.44
	15.80	23.01	65.86	0.00	0.0597	10.81	475.7	404.19	0.0597	492.9	8.871	18.42	9.77	1.44
	16.78	23.05	65.86	0.00	0.0597	10.80	475.3	403.88	0.0597	493.6	8.885	18.46	9.79	1.44
	17.80	23.05	65.91	0.00	0.0598	10.81	475.6	403.88	0.0598	494.2	8.895	18.46	9.81	1.44
	18.88	23.03	65.89	0.00	0.0598	10.82	476.1	404.37	0.0598	494.7	8.905	18.49	9.83	1.45
	19.80	23.05	65.91	0.00	0.0597	10.81	475.7	403.95	0.0596	495.6	8.921	18.52	9.85	1.45
	20.80	23.06	65.88	0.00	0.0599	10.83	476.6	404.94	0.0603	497.9	8.963	18.61	9.92	1.44
	21.80	23.08	65.91	0.00	0.0599	10.83	476.6	404.75	0.0600	496.0	8.929	18.54	9.87	1.44
	22.80	23.08	65.91	0.00	0.0598	10.82	476.3	404.50	0.0601	498.7	8.977	18.64	9.95	1.44
	23.80	23.06	65.91	0.00	0.0597	10.83	476.6	404.70	0.0601	497.6	8.958	18.59	9.92	1.44
	24.80	23.06	65.91	0.00	0.0599	10.83	476.6	404.74	0.0605	502.3	9.042	18.77	10.06	1.45
	25.80	23.05	65.89	0.00	0.0599	10.87	478.3	406.30	0.0603	502.3	9.041	18.77	10.05	1.44
	26.80	23.06	65.91	0.00	0.0600	10.83	476.6	404.77	0.0607	502.1	9.037	18.76	10.05	1.44
	27.80	23.06	65.91	0.00	0.0600	10.85	477.5	405.49	0.0605	503.1	9.057	18.80	10.08	1.44
	28.80	23.06	65.89	0.00	0.0599	10.84	476.9	405.17	0.0606	502.8	9.051	18.80	10.07	1.44
	29.88	23.03	65.91	0.00	0.0599	10.86	477.9	405.80	0.0605	504.0	9.073	18.83	10.10	1.44
	30.80	23.04	65.91	0.00	0.0601	10.86	477.8	405.73	0.0608	505.1	9.092	18.87	10.14	1.45
	31.80	23.06	65.88	0.00	0.0600	10.85	477.6	405.76	0.0606	505.0	9.091	18.88	10.14	1.44
	32.80	23.06	65.91	0.00	0.0600	10.87	478.4	406.26	0.0610	507.7	9.139	18.97	10.22	1.44
	33.80	23.06	65.88	0.00	0.0600	10.86	477.9	406.02	0.0608	507.0	9.125	18.95	10.19	1.44
