Mar 13 2018 at 9:41:32
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
In cloud roll, temperature drop 50%
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.09	23.31	65.93	0.00	0.0609	11.08	487.4	414.10	0.0548	438.2	7.887	16.38	8.04	1.40
	1.09	23.29	65.91	0.00	0.0609	11.08	487.5	414.32	0.0547	436.1	7.849	16.31	7.97	1.40
	2.09	23.31	65.91	0.00	0.0611	11.30	497.0	422.45	0.0556	440.6	7.931	16.48	8.12	1.40
	3.09	23.33	65.91	0.00	0.0606	11.01	484.6	411.86	0.0562	448.5	8.073	16.77	8.39	1.40
	4.09	23.35	65.89	0.00	0.0618	11.04	485.6	412.88	0.0557	447.2	8.050	16.73	8.35	1.40
	5.09	23.31	65.91	0.00	0.0606	11.01	484.3	411.60	0.0557	448.6	8.075	16.78	8.39	1.40
	6.09	23.31	65.91	0.00	0.0608	11.06	486.5	413.50	0.0550	441.1	7.940	16.50	8.14	1.40
	7.09	23.31	65.91	0.00	0.0608	11.07	487.0	413.88	0.0554	439.7	7.915	16.44	8.09	1.41
	8.09	23.31	65.91	0.00	0.0607	11.03	485.2	412.36	0.0555	442.7	7.969	16.56	8.19	1.40
	9.09	23.31	65.91	0.00	0.0607	11.12	489.1	415.71	0.0557	447.1	8.048	16.72	8.34	1.40
	10.09	23.31	65.91	0.00	0.0609	11.05	486.2	413.27	0.0556	446.9	8.044	16.71	8.33	1.40
	11.09	23.31	65.91	0.00	0.0608	11.04	485.7	412.80	0.0556	446.1	8.030	16.68	8.31	1.40
	12.08	23.31	65.89	0.00	0.0606	10.99	483.5	411.09	0.0556	447.5	8.056	16.74	8.35	1.40
	13.09	23.31	65.91	0.00	0.0605	10.98	483.3	410.74	0.0559	451.9	8.134	16.90	8.50	1.41
	14.09	23.31	65.91	0.00	0.0605	10.99	483.7	411.13	0.0561	450.0	8.101	16.83	8.44	1.40
	15.09	23.29	65.89	0.00	0.0606	10.99	483.7	411.21	0.0559	449.5	8.090	16.81	8.42	1.40
	16.17	23.31	65.91	0.00	0.0605	10.99	483.6	411.06	0.0563	451.9	8.134	16.90	8.50	1.40
	17.09	23.31	65.91	0.00	0.0608	11.04	486.0	413.04	0.0553	442.8	7.970	16.56	8.20	1.40
	18.17	23.29	65.91	0.00	0.0607	11.05	486.2	413.25	0.0558	447.9	8.062	16.75	8.37	1.40
	19.09	23.27	65.91	0.00	0.0609	11.04	485.9	412.96	0.0562	449.1	8.083	16.79	8.40	1.40
	20.09	23.29	65.91	0.00	0.0608	11.01	484.4	411.64	0.0559	449.8	8.096	16.82	8.43	1.40
