Mar 13 2018 at 9:42:18
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
In cloud roll, temperature drop 50%
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.92	23.29	65.91	0.00	0.0604	10.95	481.8	409.45	0.0567	458.0	8.243	17.13	8.69	1.40
	1.92	23.27	65.89	0.00	0.0603	10.94	481.5	409.31	0.0567	459.0	8.261	17.17	8.72	1.40
	2.92	23.27	65.91	0.00	0.0604	10.94	481.5	409.20	0.0567	457.9	8.242	17.12	8.69	1.40
	3.92	23.27	65.88	0.00	0.0603	10.94	481.2	409.07	0.0568	460.0	8.280	17.21	8.76	1.40
	4.92	23.25	65.91	0.00	0.0603	10.93	481.1	408.85	0.0569	460.7	8.293	17.23	8.78	1.40
	5.92	23.27	65.91	0.00	0.0603	10.92	480.6	408.40	0.0570	461.7	8.311	17.27	8.81	1.40
	6.92	23.27	65.91	0.00	0.0603	10.93	480.8	408.61	0.0571	462.8	8.330	17.30	8.85	1.40
	7.92	23.27	65.91	0.00	0.0603	10.93	480.7	408.52	0.0571	462.8	8.330	17.30	8.85	1.40
	8.92	23.27	65.89	0.00	0.0602	10.92	480.7	408.62	0.0574	465.9	8.387	17.43	8.95	1.40
	9.92	23.27	65.91	0.00	0.0603	10.93	480.7	408.55	0.0572	464.6	8.363	17.37	8.90	1.40
	10.92	23.26	65.91	0.00	0.0603	10.92	480.4	408.20	0.0574	466.1	8.389	17.43	8.95	1.40
	11.92	23.26	65.91	0.00	0.0603	10.92	480.6	408.43	0.0574	466.8	8.403	17.45	8.97	1.40
	12.92	23.26	65.91	0.00	0.0602	10.91	480.0	407.86	0.0576	467.4	8.414	17.48	8.99	1.40
	13.92	23.27	65.91	0.00	0.0602	10.91	480.1	408.01	0.0576	469.1	8.443	17.54	9.05	1.41
	14.92	23.24	65.91	0.00	0.0602	10.92	480.3	408.12	0.0579	472.2	8.500	17.65	9.14	1.40
	15.92	23.26	65.91	0.00	0.0601	10.90	479.8	407.72	0.0579	471.2	8.482	17.62	9.11	1.40
	16.92	23.26	65.91	0.00	0.0603	10.92	480.3	408.18	0.0580	473.5	8.522	17.70	9.18	1.40
	17.92	23.27	65.89	0.00	0.0602	10.93	481.1	408.99	0.0581	473.2	8.517	17.70	9.18	1.40
	18.92	23.27	65.91	0.00	0.0601	10.92	480.3	408.17	0.0581	475.1	8.551	17.76	9.23	1.40
	19.92	23.24	65.91	0.00	0.0603	10.91	480.1	407.97	0.0582	477.7	8.598	17.86	9.31	1.41
	20.92	23.22	65.89	0.00	0.0602	10.92	480.3	408.20	0.0582	477.2	8.590	17.85	9.30	1.40
	21.92	23.26	65.91	0.00	0.0602	10.91	480.2	408.10	0.0586	480.0	8.641	17.95	9.39	1.40
	23.00	23.26	65.93	0.00	0.0603	10.91	480.1	407.86	0.0587	479.2	8.626	17.91	9.36	1.40
	23.92	23.26	65.89	0.00	0.0602	10.91	480.0	408.00	0.0587	480.8	8.654	17.98	9.41	1.40
	24.92	23.26	65.91	0.00	0.0602	10.92	480.3	408.14	0.0587	482.0	8.676	18.02	9.45	1.40
	25.92	23.26	65.91	0.00	0.0602	10.91	479.9	407.80	0.0587	480.7	8.653	17.97	9.41	1.41
	26.92	23.26	65.89	0.00	0.0602	10.91	480.1	408.07	0.0591	486.3	8.754	18.19	9.58	1.40
	27.92	23.26	65.91	0.00	0.0602	10.90	479.6	407.56	0.0590	484.1	8.715	18.10	9.52	1.40
	28.92	23.24	65.91	0.00	0.0602	10.91	480.2	408.05	0.0591	486.3	8.753	18.18	9.58	1.40
	29.92	23.26	65.91	0.00	0.0602	10.91	479.9	407.80	0.0592	485.2	8.733	18.14	9.55	1.40
	30.92	23.26	65.89	0.00	0.0602	10.91	480.2	408.20	0.0593	488.2	8.787	18.26	9.64	1.40
	31.92	23.26	65.89	0.00	0.0602	10.91	479.8	407.89	0.0591	487.9	8.783	18.25	9.63	1.41
	32.92	23.26	65.91	0.00	0.0602	10.91	479.8	407.75	0.0593	487.7	8.779	18.24	9.63	1.40
	33.92	23.22	65.88	0.00	0.0602	10.90	479.4	407.48	0.0595	489.0	8.802	18.29	9.66	1.40
	34.92	23.26	65.91	0.00	0.0602	10.90	479.7	407.63	0.0596	491.1	8.840	18.36	9.73	1.40
	35.92	23.26	65.91	0.00	0.0602	10.90	479.4	407.41	0.0597	492.8	8.870	18.43	9.78	1.40
