Mar 13 2018 at 9:49:53
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Redoing Photosynthesis
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.09	22.94	65.91	0.00	0.0603	10.94	481.2	408.48	0.0584	478.8	8.619	17.88	9.34	1.43
	1.11	22.90	65.89	0.00	0.0604	10.93	480.9	408.31	0.0584	477.1	8.587	17.82	9.28	1.43
	2.09	22.94	65.89	0.00	0.0603	10.94	481.2	408.59	0.0583	476.7	8.580	17.81	9.27	1.43
	3.11	22.94	65.88	0.00	0.0603	10.93	480.8	408.28	0.0585	477.8	8.601	17.85	9.30	1.43
	4.09	22.94	65.89	0.00	0.0602	10.91	480.2	407.80	0.0585	479.4	8.630	17.91	9.35	1.43
	5.11	22.91	65.88	0.00	0.0602	10.91	479.9	407.45	0.0586	480.3	8.646	17.95	9.38	1.43
	6.09	22.94	65.91	0.00	0.0601	10.89	479.3	406.90	0.0587	481.3	8.663	17.98	9.41	1.43
	7.11	22.94	65.91	0.00	0.0601	10.88	478.5	406.22	0.0590	486.0	8.749	18.15	9.56	1.43
	8.09	22.93	65.88	0.00	0.0600	10.86	478.0	405.91	0.0593	487.1	8.768	18.20	9.59	1.43
	9.11	22.94	65.88	0.00	0.0601	10.88	478.6	406.45	0.0591	484.3	8.717	18.10	9.50	1.43
	10.09	22.94	65.89	0.00	0.0600	10.87	478.2	406.05	0.0592	486.1	8.750	18.16	9.56	1.43
	11.11	22.91	65.91	0.00	0.0601	10.86	477.9	405.59	0.0594	487.8	8.781	18.22	9.61	1.43
	12.09	22.94	65.88	0.00	0.0599	10.85	477.5	405.53	0.0592	487.4	8.773	18.21	9.60	1.43
	13.11	22.94	65.88	0.00	0.0600	10.85	477.5	405.50	0.0594	489.0	8.802	18.27	9.65	1.43
	14.09	22.94	65.89	0.00	0.0600	10.84	477.1	405.16	0.0596	490.7	8.833	18.34	9.70	1.43
	15.11	22.96	65.89	0.00	0.0599	10.83	476.5	404.65	0.0600	499.7	8.995	18.67	9.97	1.43
	16.17	22.94	65.91	0.00	0.0599	10.83	476.7	404.62	0.0599	496.3	8.933	18.54	9.87	1.43
	17.11	22.92	65.89	0.00	0.0599	10.83	476.4	404.51	0.0608	506.7	9.121	18.93	10.18	1.43
	18.17	22.94	65.91	0.00	0.0598	10.83	476.5	404.42	0.0601	496.9	8.945	18.56	9.89	1.43
	19.11	22.94	65.91	0.00	0.0598	10.81	475.7	403.78	0.0608	508.6	9.154	18.99	10.23	1.43
	20.09	22.94	65.91	0.00	0.0597	10.81	475.8	403.86	0.0608	505.2	9.094	18.87	10.13	1.43
	21.11	22.94	65.88	0.00	0.0598	10.80	475.3	403.63	0.0607	507.0	9.126	18.94	10.19	1.43
	22.17	22.94	65.91	0.00	0.0598	10.81	475.5	403.61	0.0610	506.7	9.121	18.93	10.18	1.43
	23.11	22.94	65.88	0.00	0.0597	10.80	475.3	403.65	0.0611	508.6	9.154	19.00	10.23	1.43
	24.17	22.92	65.91	0.00	0.0597	10.79	474.8	403.06	0.0614	511.0	9.199	19.09	10.31	1.43
	25.11	22.96	65.91	0.00	0.0597	10.80	475.0	403.22	0.0612	508.7	9.156	19.00	10.24	1.43
	26.11	22.94	65.89	0.00	0.0597	10.79	474.8	403.19	0.0613	511.7	9.211	19.12	10.33	1.43
	27.11	22.94	65.91	0.00	0.0597	10.78	474.5	402.80	0.0615	513.5	9.242	19.18	10.38	1.43
	28.11	22.94	65.91	0.00	0.0596	10.78	474.1	402.47	0.0616	515.0	9.270	19.24	10.42	1.43
	29.11	22.94	65.83	0.00	0.0596	10.77	473.7	402.60	0.0622	521.7	9.390	19.51	10.62	1.43
	30.11	22.92	65.91	0.00	0.0596	10.77	474.1	402.42	0.0620	520.0	9.361	19.42	10.57	1.43
	31.09	22.94	65.91	0.00	0.0596	10.76	473.6	402.06	0.0627	525.7	9.462	19.63	10.73	1.43
	32.11	22.93	65.91	0.00	0.0596	10.76	473.3	401.74	0.0623	523.2	9.418	19.54	10.66	1.43
	33.09	22.94	65.91	0.00	0.0595	10.75	473.1	401.58	0.0624	523.7	9.427	19.56	10.67	1.43
	34.11	22.94	65.91	0.00	0.0595	10.75	473.1	401.65	0.0626	524.8	9.447	19.60	10.71	1.43
	35.09	22.94	65.86	0.00	0.0596	10.75	473.0	401.85	0.0628	528.9	9.520	19.77	10.82	1.43
	36.11	22.94	65.86	0.00	0.0595	10.74	472.8	401.63	0.0631	531.6	9.569	19.87	10.90	1.43
	37.09	22.94	65.88	0.00	0.0595	10.74	472.5	401.28	0.0631	532.4	9.582	19.89	10.92	1.43
	38.11	22.93	65.91	0.00	0.0594	10.73	472.2	400.83	0.0631	532.7	9.588	19.89	10.93	1.43
	39.09	22.94	65.86	0.00	0.0594	10.73	472.2	401.12	0.0631	532.2	9.580	19.89	10.92	1.43
	40.11	22.93	65.88	0.00	0.0594	10.73	472.2	401.00	0.0633	534.7	9.625	19.98	10.99	1.43
	41.09	22.93	65.91	0.00	0.0594	10.73	472.1	400.75	0.0635	536.8	9.663	20.05	11.04	1.43
	42.11	22.92	65.91	0.00	0.0594	10.72	471.7	400.42	0.0637	540.2	9.724	20.18	11.14	1.43
	43.09	22.96	65.89	0.00	0.0594	10.72	471.8	400.68	0.0637	539.0	9.703	20.14	11.11	1.43
	44.11	22.94	65.91	0.00	0.0594	10.72	471.8	400.50	0.0639	542.1	9.757	20.25	11.19	1.43
	45.17	22.93	65.91	0.00	0.0594	10.71	471.4	400.12	0.0640	543.6	9.785	20.30	11.23	1.43
	46.11	22.93	65.91	0.00	0.0594	10.71	471.4	400.17	0.0640	544.6	9.803	20.34	11.26	1.43
	47.17	22.94	65.88	0.00	0.0594	10.72	471.5	400.43	0.0644	547.4	9.853	20.45	11.34	1.43
	48.11	22.94	65.88	0.00	0.0593	10.71	471.2	400.15	0.0643	549.0	9.881	20.51	11.38	1.43
	49.17	22.94	65.89	0.00	0.0593	10.71	471.3	400.24	0.0645	546.7	9.841	20.43	11.32	1.43
	50.11	22.94	65.88	0.00	0.0594	10.71	471.3	400.25	0.0646	550.0	9.900	20.55	11.41	1.43
	51.17	22.94	65.91	0.00	0.0593	10.69	470.3	399.25	0.0653	560.4	10.087	20.93	11.69	1.43
	52.11	22.96	65.91	0.00	0.0593	10.70	470.7	399.58	0.0649	555.8	10.004	20.76	11.57	1.43
	53.11	22.94	65.88	0.00	0.0593	10.70	470.7	399.72	0.0650	554.6	9.983	20.72	11.54	1.43
	54.11	22.94	65.91	0.00	0.0593	10.70	470.6	399.47	0.0650	554.6	9.982	20.71	11.54	1.43
	55.11	22.94	65.91	0.00	0.0593	10.69	470.2	399.16	0.0651	556.1	10.010	20.77	11.58	1.43
	56.11	22.94	65.91	0.00	0.0592	10.68	470.1	399.06	0.0653	556.0	10.007	20.77	11.57	1.43
	57.11	22.96	65.91	0.00	0.0593	10.69	470.3	399.23	0.0653	558.5	10.053	20.86	11.64	1.43
	58.11	22.94	65.91	0.00	0.0593	10.69	470.2	399.16	0.0658	563.5	10.143	21.05	11.78	1.43
	59.11	22.94	65.91	0.00	0.0592	10.67	469.7	398.69	0.0657	565.1	10.172	21.11	11.82	1.43
	60.11	22.94	65.89	0.00	0.0592	10.68	470.1	399.18	0.0655	561.6	10.109	20.98	11.73	1.43
	61.11	22.94	65.91	0.00	0.0591	10.67	469.4	398.46	0.0661	567.2	10.210	21.19	11.88	1.43
	62.11	22.92	65.89	0.00	0.0592	10.67	469.6	398.77	0.0658	565.0	10.170	21.11	11.82	1.43
	63.11	22.94	65.88	0.00	0.0592	10.67	469.6	398.81	0.0660	567.1	10.207	21.19	11.87	1.43
	64.09	22.98	65.90	0.00	0.0592	10.66	469.2	398.39	0.0663	574.6	10.343	21.47	12.08	1.43
	65.11	22.94	65.91	0.00	0.0591	10.66	469.0	398.16	0.0663	571.3	10.283	21.34	11.99	1.43
	66.09	22.96	65.89	0.00	0.0591	10.66	468.9	398.22	0.0664	573.9	10.330	21.44	12.06	1.43
	67.11	22.94	65.88	0.00	0.0591	10.64	468.3	397.65	0.0665	574.7	10.345	21.47	12.08	1.43
	68.09	22.94	65.91	0.00	0.0590	10.65	468.4	397.64	0.0669	575.6	10.361	21.50	12.10	1.44
	69.11	22.92	65.91	0.00	0.0591	10.65	468.6	397.76	0.0667	575.3	10.355	21.49	12.09	1.43
	70.09	22.94	65.89	0.00	0.0591	10.64	468.2	397.54	0.0668	578.8	10.419	21.63	12.18	1.43
	71.11	22.94	65.91	0.00	0.0591	10.64	468.0	397.28	0.0668	578.1	10.406	21.59	12.17	1.44
	72.09	22.94	65.88	0.00	0.0590	10.64	468.3	397.69	0.0669	578.8	10.419	21.63	12.19	1.44
	73.11	22.94	65.88	0.00	0.0590	10.63	467.8	397.30	0.0674	584.5	10.521	21.84	12.33	1.44
	74.11	22.94	65.91	0.00	0.0590	10.63	467.5	396.89	0.0674	583.1	10.496	21.78	12.30	1.44
	75.11	22.98	65.88	0.00	0.0590	10.63	467.5	397.06	0.0673	584.4	10.519	21.84	12.33	1.44
	76.11	22.96	65.88	0.00	0.0590	10.62	467.1	396.68	0.0674	585.6	10.540	21.88	12.36	1.44
	77.11	22.92	65.86	0.00	0.0589	10.62	467.3	396.95	0.0675	585.8	10.544	21.89	12.37	1.44
	78.11	22.96	65.91	0.00	0.0589	10.62	467.1	396.53	0.0677	587.7	10.578	21.95	12.42	1.44
	79.11	22.96	65.91	0.00	0.0590	10.61	466.9	396.40	0.0677	588.8	10.599	21.99	12.45	1.44
	80.11	22.96	65.91	0.00	0.0589	10.60	466.5	396.02	0.0679	591.9	10.655	22.11	12.53	1.44
	81.11	22.96	65.89	0.00	0.0589	10.60	466.3	395.97	0.0681	593.3	10.680	22.17	12.56	1.44
	82.11	22.96	65.91	0.00	0.0589	10.60	466.4	395.97	0.0681	592.7	10.669	22.14	12.55	1.44
	83.11	22.96	65.91	0.00	0.0588	10.60	466.2	395.78	0.0682	594.5	10.701	22.21	12.59	1.44
	84.11	22.96	65.86	0.00	0.0588	10.59	466.1	395.95	0.0683	595.2	10.714	22.25	12.61	1.44
	85.11	22.94	65.91	0.00	0.0588	10.59	466.0	395.54	0.0683	596.5	10.737	22.28	12.64	1.44
	86.11	22.96	65.88	0.00	0.0588	10.58	465.6	395.42	0.0684	597.5	10.756	22.33	12.67	1.44
	87.11	22.96	65.88	0.00	0.0588	10.58	465.4	395.27	0.0686	600.3	10.806	22.43	12.74	1.44
	88.11	22.96	65.89	0.00	0.0588	10.57	465.0	394.88	0.0687	603.8	10.869	22.56	12.83	1.44
	89.11	22.94	65.91	0.00	0.0587	10.57	465.2	394.86	0.0689	602.5	10.845	22.50	12.80	1.44
	90.11	22.96	65.88	0.00	0.0588	10.58	465.4	395.25	0.0688	602.1	10.838	22.50	12.79	1.44
	91.11	22.94	65.89	0.00	0.0587	10.57	465.0	394.89	0.0689	603.9	10.871	22.57	12.83	1.44
	92.11	22.96	65.89	0.00	0.0587	10.57	465.3	395.10	0.0691	605.2	10.894	22.61	12.87	1.44
	93.11	22.96	65.91	0.00	0.0588	10.57	464.9	394.65	0.0691	606.2	10.911	22.64	12.89	1.44
	94.11	22.94	65.91	0.00	0.0588	10.57	465.2	394.88	0.0692	606.9	10.925	22.67	12.91	1.44
	95.11	22.96	65.89	0.00	0.0587	10.56	464.7	394.64	0.0694	609.9	10.979	22.79	12.98	1.44
	96.11	22.96	65.91	0.00	0.0588	10.55	464.2	394.06	0.0694	608.6	10.955	22.73	12.95	1.44
	97.09	22.96	65.91	0.00	0.0587	10.55	464.3	394.16	0.0694	609.8	10.976	22.78	12.98	1.44
	98.11	22.96	65.91	0.00	0.0586	10.55	464.2	394.04	0.0695	612.7	11.028	22.88	13.05	1.44
	99.09	22.94	65.88	0.00	0.0587	10.56	464.7	394.66	0.0697	615.0	11.071	22.98	13.11	1.44
	100.42	22.96	65.86	0.00	0.0587	10.55	464.4	394.51	0.0698	615.6	11.080	23.01	13.12	1.44
	101.09	22.98	65.91	0.00	0.0586	10.54	463.7	393.71	0.0698	615.3	11.075	22.98	13.12	1.44
	102.11	22.98	65.88	0.00	0.0586	10.55	464.2	394.24	0.0699	617.7	11.118	23.08	13.18	1.44
	103.11	22.98	65.88	0.00	0.0586	10.55	464.1	394.18	0.0700	618.4	11.132	23.11	13.20	1.44
	104.11	22.96	65.88	0.00	0.0586	10.54	463.8	393.89	0.0703	619.7	11.155	23.16	13.23	1.44
	105.11	22.98	65.88	0.00	0.0587	10.54	463.7	393.82	0.0702	619.2	11.145	23.14	13.21	1.44
	106.11	23.00	65.91	0.00	0.0586	10.55	464.1	394.00	0.0703	620.1	11.162	23.17	13.24	1.44
	107.11	22.98	65.91	0.00	0.0587	10.54	463.9	393.87	0.0704	621.7	11.191	23.22	13.28	1.44
	108.11	22.98	65.91	0.00	0.0586	10.54	463.6	393.55	0.0704	623.6	11.226	23.30	13.33	1.44
	109.11	22.96	65.91	0.00	0.0586	10.53	463.2	393.22	0.0705	624.2	11.235	23.31	13.34	1.44
	110.11	22.98	65.91	0.00	0.0586	10.54	463.6	393.58	0.0706	625.3	11.256	23.36	13.37	1.44
	111.11	22.98	65.88	0.00	0.0586	10.53	463.5	393.62	0.0707	625.5	11.260	23.38	13.37	1.44
	112.11	22.96	65.91	0.00	0.0585	10.54	463.6	393.58	0.0708	626.9	11.284	23.42	13.40	1.44
	113.11	22.98	65.88	0.00	0.0585	10.52	463.0	393.23	0.0709	628.3	11.309	23.48	13.44	1.44
	114.11	22.98	65.88	0.00	0.0585	10.52	462.9	393.11	0.0708	629.6	11.333	23.53	13.47	1.45
	115.11	22.98	65.88	0.00	0.0585	10.52	462.9	393.11	0.0709	628.5	11.313	23.49	13.44	1.45
	116.11	22.98	65.88	0.00	0.0586	10.54	463.6	393.77	0.0711	631.9	11.374	23.61	13.53	1.44
	117.11	23.00	65.88	0.00	0.0586	10.53	463.2	393.42	0.0711	632.5	11.385	23.64	13.54	1.44
	118.11	22.98	65.88	0.00	0.0585	10.52	463.1	393.29	0.0712	631.6	11.369	23.60	13.52	1.45
	119.12	22.98	65.91	0.00	0.0585	10.52	462.7	392.83	0.0713	633.7	11.407	23.67	13.57	1.45
	120.11	23.00	65.91	0.00	0.0586	10.53	463.4	393.48	0.0713	633.4	11.402	23.66	13.57	1.45
	121.12	23.00	65.91	0.00	0.0585	10.52	463.0	393.11	0.0712	633.9	11.411	23.68	13.58	1.45
	122.11	22.98	65.91	0.00	0.0585	10.53	463.2	393.22	0.0714	636.0	11.449	23.76	13.63	1.45
	123.12	22.94	65.91	0.00	0.0585	10.51	462.5	392.61	0.0715	636.0	11.449	23.76	13.63	1.45
	124.12	22.98	65.88	0.00	0.0585	10.51	462.2	392.57	0.0716	637.1	11.468	23.81	13.65	1.45
	125.12	23.01	65.91	0.00	0.0585	10.51	462.6	392.79	0.0715	636.9	11.464	23.79	13.65	1.45
	126.11	22.98	65.88	0.00	0.0585	10.52	462.8	393.09	0.0715	637.4	11.474	23.82	13.66	1.45
	127.12	22.98	65.89	0.00	0.0585	10.52	463.0	393.21	0.0715	638.5	11.492	23.86	13.69	1.45
	128.11	23.00	65.88	0.00	0.0584	10.51	462.5	392.79	0.0717	639.3	11.508	23.89	13.71	1.45
	129.12	23.00	65.91	0.00	0.0585	10.52	463.0	393.10	0.0717	639.8	11.517	23.90	13.72	1.45
	130.20	22.98	65.88	0.00	0.0585	10.52	463.0	393.26	0.0717	639.5	11.511	23.90	13.71	1.45
	131.12	23.00	65.88	0.00	0.0585	10.52	463.0	393.24	0.0718	640.7	11.533	23.94	13.74	1.45
	132.12	23.00	65.89	0.00	0.0585	10.52	462.8	393.04	0.0718	641.2	11.542	23.96	13.75	1.45
