Mar 13 2018 at 9:46:29
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
In cloud roll, temperature drop 50%
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.08	23.03	65.91	0.00	0.0606	11.00	484.1	411.05	0.0585	479.5	8.631	17.91	9.36	1.41
	1.09	23.05	65.91	0.00	0.0606	11.00	483.9	410.92	0.0585	478.7	8.616	17.88	9.34	1.41
	2.08	23.05	65.91	0.00	0.0606	11.00	483.9	410.89	0.0585	478.8	8.618	17.89	9.34	1.41
	3.09	23.03	65.91	0.00	0.0606	11.00	484.0	410.99	0.0586	479.8	8.636	17.92	9.37	1.41
	4.08	23.05	65.91	0.00	0.0605	11.00	484.1	411.12	0.0588	481.6	8.668	17.99	9.43	1.41
	5.09	23.05	65.91	0.00	0.0606	11.00	484.1	411.08	0.0587	481.6	8.669	17.99	9.43	1.41
	6.08	23.03	65.88	0.00	0.0607	11.01	484.3	411.43	0.0589	482.3	8.682	18.03	9.45	1.41
	7.09	23.05	65.91	0.00	0.0608	11.04	485.6	412.36	0.0589	483.7	8.707	18.07	9.49	1.41
	8.16	23.05	65.91	0.00	0.0607	11.02	484.7	411.61	0.0589	483.0	8.694	18.05	9.47	1.41
	9.09	23.05	65.91	0.00	0.0606	11.02	484.7	411.61	0.0589	483.8	8.709	18.08	9.50	1.41
	10.09	23.05	65.91	0.00	0.0606	11.02	484.8	411.66	0.0591	485.4	8.737	18.14	9.54	1.41
	11.09	23.05	65.91	0.00	0.0607	11.04	485.7	412.41	0.0591	486.2	8.751	18.16	9.57	1.41
	12.09	23.01	65.90	0.00	0.0609	11.05	486.3	412.90	0.0591	486.4	8.755	18.17	9.57	1.42
	13.09	23.05	65.91	0.00	0.0608	11.06	486.7	413.33	0.0592	486.4	8.755	18.17	9.57	1.41
	14.09	23.05	65.91	0.00	0.0610	11.05	486.0	412.69	0.0593	487.2	8.769	18.20	9.60	1.41
	15.09	23.05	65.88	0.00	0.0608	11.05	486.2	413.00	0.0595	489.0	8.802	18.28	9.65	1.41
	16.09	23.05	65.93	0.00	0.0609	11.05	486.2	412.73	0.0593	488.3	8.789	18.24	9.63	1.41
	17.09	23.05	65.91	0.00	0.0608	11.09	487.9	414.28	0.0593	489.3	8.808	18.28	9.66	1.42
	18.09	23.06	65.91	0.00	0.0608	11.06	486.4	413.10	0.0596	491.9	8.855	18.38	9.74	1.41
	19.08	23.05	65.93	0.00	0.0609	11.06	486.6	413.08	0.0596	491.4	8.845	18.35	9.73	1.41
	20.09	23.05	65.91	0.00	0.0609	11.07	487.1	413.66	0.0596	492.7	8.869	18.41	9.77	1.41
	21.08	23.06	65.91	0.00	0.0609	11.08	487.5	414.00	0.0596	491.7	8.851	18.37	9.74	1.41
	22.09	23.05	65.89	0.00	0.0610	11.08	487.5	414.08	0.0598	493.6	8.884	18.45	9.79	1.42
	23.08	23.05	65.89	0.00	0.0610	11.08	487.6	414.16	0.0598	493.8	8.888	18.46	9.80	1.42
	24.09	23.03	65.91	0.00	0.0610	11.09	487.7	414.16	0.0598	494.7	8.904	18.48	9.82	1.42
	25.08	23.03	65.86	0.00	0.0610	11.09	487.8	414.53	0.0598	494.5	8.900	18.49	9.82	1.41
	26.09	23.03	65.91	0.00	0.0609	11.08	487.7	414.10	0.0599	494.3	8.898	18.47	9.81	1.41
	27.08	23.03	65.91	0.00	0.0610	11.09	488.2	414.52	0.0600	495.9	8.926	18.53	9.86	1.41
	28.09	23.03	65.91	0.00	0.0611	11.10	488.6	414.85	0.0602	497.1	8.948	18.57	9.90	1.42
	29.16	23.03	65.89	0.00	0.0610	11.11	488.7	415.08	0.0600	497.3	8.952	18.59	9.90	1.42
	30.09	23.03	65.88	0.00	0.0610	11.11	488.8	415.19	0.0602	498.3	8.969	18.62	9.93	1.41
