Mar 13 2018 at 9:13:15
Frequency: 1Hz.
CO2
Zero:  Value:0.914415  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00445  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.772015  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.00616  Date:28 Jun 2004	 at 08:29:05	
Bright and clear, light wind
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.09	23.52	65.91	0.00	0.0600	10.83	476.7	405.40	0.0551	446.5	8.037	16.71	8.33	1.48
	1.08	23.52	65.89	0.00	0.0596	10.82	476.2	405.19	0.0561	446.7	8.041	16.72	8.34	1.48
	2.09	23.52	65.91	0.00	0.0599	10.76	473.6	402.82	0.0565	455.1	8.192	17.03	8.61	1.48
	3.08	23.52	65.88	0.00	0.0601	10.85	477.5	406.31	0.0554	449.0	8.082	16.81	8.41	1.48
	4.08	23.52	65.88	0.00	0.0602	10.81	475.6	404.70	0.0556	448.2	8.068	16.78	8.39	1.48
	5.08	23.52	65.91	0.00	0.0601	10.82	476.0	404.84	0.0557	447.6	8.057	16.75	8.37	1.48
	6.08	23.52	65.91	0.00	0.0598	10.78	474.5	403.55	0.0558	449.3	8.087	16.81	8.42	1.47
	7.08	23.52	65.88	0.00	0.0611	11.68	513.7	437.12	0.0564	454.7	8.185	17.02	8.60	1.47
	8.08	23.52	65.91	0.00	0.0605	11.02	484.9	412.46	0.0555	444.7	8.004	16.64	8.27	1.47
	9.16	23.53	65.91	0.00	0.0599	10.85	477.4	406.10	0.0558	456.7	8.220	17.09	8.66	1.47
	10.08	23.53	65.86	0.00	0.0621	11.67	513.6	437.14	0.0574	466.0	8.388	17.45	8.96	1.48
	11.09	23.53	65.91	0.00	0.0596	10.83	476.4	405.21	0.0572	455.9	8.207	17.06	8.64	1.48
	12.08	23.52	65.91	0.00	0.0601	10.97	482.5	410.37	0.0556	439.2	7.906	16.44	8.09	1.47
	13.09	23.52	65.88	0.00	0.0600	10.93	481.1	409.37	0.0566	443.1	7.976	16.59	8.22	1.47
	14.08	23.56	65.91	0.00	0.0606	10.97	482.5	410.45	0.0548	442.8	7.970	16.57	8.21	1.48
	15.09	23.53	65.88	0.00	0.0607	10.91	480.1	408.49	0.0545	448.1	8.067	16.78	8.39	1.48
	16.08	23.50	65.88	0.00	0.0600	10.95	481.7	409.79	0.0560	446.6	8.038	16.72	8.33	1.48
	17.09	23.53	65.91	0.00	0.0603	10.82	476.3	405.10	0.0551	452.7	8.149	16.94	8.54	1.47
	18.08	23.53	65.91	0.00	0.0604	11.05	486.4	413.68	0.0555	435.4	7.837	16.29	7.96	1.47
	19.09	23.53	65.89	0.00	0.0609	11.00	483.8	411.66	0.0557	442.0	7.955	16.55	8.18	1.47
	20.08	23.53	65.89	0.00	0.0606	11.03	485.3	412.93	0.0560	452.2	8.139	16.93	8.52	1.47
	21.08	23.52	65.91	0.00	0.0599	10.85	477.6	406.18	0.0569	456.3	8.214	17.08	8.65	1.47
	22.08	23.53	65.91	0.00	0.0601	10.98	483.3	411.08	0.0554	433.0	7.794	16.21	7.88	1.48
	23.08	23.53	65.91	0.00	0.0602	10.93	481.0	409.10	0.0556	444.0	7.991	16.62	8.25	1.47
	24.08	23.51	65.93	0.00	0.0605	10.87	478.3	406.68	0.0562	450.9	8.116	16.87	8.47	1.47
	25.08	23.55	65.91	0.00	0.0602	10.87	478.5	407.00	0.0559	452.0	8.137	16.92	8.51	1.48
	26.08	23.53	65.91	0.00	0.0598	10.82	476.0	404.91	0.0567	459.1	8.263	17.18	8.74	1.47
	27.08	23.55	65.88	0.00	0.0603	10.94	481.5	409.73	0.0555	442.2	7.960	16.56	8.19	1.47
	28.09	23.55	65.91	0.00	0.0606	10.96	482.3	410.27	0.0541	441.6	7.949	16.53	8.17	1.47
	29.08	23.55	65.91	0.00	0.0603	10.92	480.4	408.60	0.0558	449.3	8.088	16.82	8.42	1.47
	30.09	23.55	65.88	0.00	0.0600	10.86	477.9	406.69	0.0563	455.0	8.190	17.04	8.61	1.47
	31.08	23.55	65.88	0.00	0.0599	10.83	476.7	405.68	0.0569	459.8	8.276	17.22	8.77	1.47
	32.09	23.55	65.91	0.00	0.0605	11.32	498.1	423.66	0.0529	428.1	7.706	16.02	7.71	1.47
	33.08	23.57	65.91	0.00	0.0607	11.02	485.1	412.65	0.0532	406.4	7.315	15.21	6.95	1.47
	34.09	23.55	65.89	0.00	0.0602	10.97	482.9	410.87	0.0532	412.0	7.415	15.42	7.15	1.47
	35.08	23.53	65.91	0.00	0.0603	10.91	480.2	408.48	0.0527	436.5	7.857	16.34	8.00	1.47
	36.09	23.55	65.91	0.00	0.0608	11.00	483.9	411.65	0.0512	403.9	7.270	15.12	6.86	1.47
