Mar 13 2018 at 9:15:06
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Bright and clear, light wind
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.20	23.64	65.91	0.00	0.0604	10.96	482.4	410.48	0.0520	407.5	7.335	15.26	7.00	1.46
	1.22	23.66	65.90	0.00	0.0603	10.95	481.8	410.00	0.0518	404.8	7.286	15.16	6.90	1.47
	2.20	23.66	65.86	0.00	0.0604	10.96	482.2	410.58	0.0520	406.8	7.322	15.24	6.97	1.46
	3.20	23.66	65.86	0.00	0.0602	10.92	480.4	409.08	0.0520	406.1	7.310	15.22	6.95	1.47
	4.28	23.66	65.91	0.00	0.0603	10.94	481.3	409.58	0.0520	407.9	7.342	15.27	7.01	1.47
	5.20	23.64	65.88	0.00	0.0603	10.93	480.8	409.23	0.0522	407.8	7.340	15.27	7.01	1.46
	6.28	23.66	65.88	0.00	0.0602	10.91	479.9	408.49	0.0525	412.8	7.431	15.46	7.19	1.46
	7.20	23.66	65.88	0.00	0.0601	10.90	479.6	408.28	0.0525	410.7	7.393	15.38	7.11	1.46
	8.28	23.66	65.91	0.00	0.0602	10.92	480.3	408.67	0.0522	409.4	7.369	15.33	7.07	1.46
	9.20	23.66	65.88	0.00	0.0602	10.91	480.0	408.64	0.0523	411.2	7.402	15.40	7.13	1.47
	10.22	23.66	65.88	0.00	0.0602	10.90	479.7	408.31	0.0525	411.8	7.412	15.42	7.15	1.46
	11.20	23.67	65.88	0.00	0.0601	10.90	479.6	408.32	0.0530	414.8	7.467	15.54	7.26	1.46
	12.22	23.66	65.88	0.00	0.0601	10.89	479.0	407.75	0.0531	418.2	7.528	15.66	7.38	1.46
	13.20	23.67	65.91	0.00	0.0601	10.89	479.1	407.72	0.0531	419.7	7.554	15.71	7.43	1.46
	14.22	23.65	65.88	0.00	0.0601	10.88	478.7	407.46	0.0537	424.8	7.646	15.91	7.60	1.46
	15.20	23.65	65.86	0.00	0.0600	10.87	478.5	407.45	0.0538	426.1	7.670	15.97	7.65	1.47
	16.22	23.66	65.88	0.00	0.0600	10.86	477.9	406.82	0.0541	428.4	7.711	16.05	7.73	1.46
	17.20	23.67	65.91	0.00	0.0600	10.86	477.9	406.66	0.0539	429.2	7.725	16.07	7.76	1.46
	18.22	23.67	65.88	0.00	0.0600	10.87	478.4	407.27	0.0540	426.9	7.684	15.99	7.68	1.46
	19.20	23.67	65.91	0.00	0.0600	10.86	477.9	406.65	0.0542	431.0	7.757	16.14	7.82	1.46
	20.22	23.67	65.90	0.00	0.0600	10.86	477.7	406.56	0.0542	430.5	7.749	16.12	7.80	1.46
	21.20	23.67	65.88	0.00	0.0600	10.87	478.1	407.04	0.0539	428.1	7.705	16.03	7.72	1.46
	22.20	23.67	65.88	0.00	0.0601	10.87	478.3	407.16	0.0538	427.7	7.699	16.02	7.71	1.46
	23.28	23.67	65.88	0.00	0.0600	10.86	477.8	406.75	0.0543	433.5	7.802	16.24	7.90	1.46
	24.20	23.67	65.88	0.00	0.0599	10.83	476.7	405.84	0.0544	432.0	7.777	16.18	7.85	1.46
	25.28	23.71	65.88	0.00	0.0600	10.84	477.2	406.27	0.0549	436.2	7.852	16.34	8.00	1.46
	26.20	23.69	65.88	0.00	0.0599	10.85	477.4	406.40	0.0547	438.0	7.884	16.41	8.06	1.46
	27.22	23.69	65.88	0.00	0.0600	10.85	477.5	406.50	0.0546	435.0	7.830	16.29	7.95	1.47
	28.20	23.69	65.88	0.00	0.0600	10.86	477.6	406.65	0.0547	435.8	7.844	16.32	7.98	1.46
	29.22	23.71	65.88	0.00	0.0599	10.85	477.4	406.45	0.0546	435.0	7.830	16.30	7.96	1.46
	30.20	23.69	65.86	0.00	0.0599	10.84	476.8	406.05	0.0554	439.3	7.907	16.46	8.10	1.46
	31.22	23.69	65.91	0.00	0.0599	10.83	476.6	405.62	0.0556	446.1	8.030	16.70	8.33	1.46
	32.20	23.67	65.88	0.00	0.0599	10.84	476.8	405.87	0.0552	443.1	7.976	16.60	8.23	1.46
	33.22	23.69	65.88	0.00	0.0599	10.84	476.9	405.99	0.0551	440.9	7.936	16.52	8.15	1.46
	34.20	23.69	65.88	0.00	0.0598	10.83	476.4	405.60	0.0554	447.0	8.047	16.75	8.36	1.46
	35.22	23.69	65.88	0.00	0.0598	10.83	476.3	405.52	0.0558	449.1	8.083	16.82	8.42	1.46
	36.20	23.69	65.88	0.00	0.0598	10.82	476.3	405.49	0.0556	448.5	8.073	16.80	8.40	1.46
	37.22	23.71	65.88	0.00	0.0598	10.82	476.1	405.38	0.0558	447.7	8.059	16.77	8.38	1.46
	38.20	23.69	65.86	0.00	0.0599	10.83	476.6	405.92	0.0557	446.5	8.037	16.73	8.34	1.46
	39.22	23.69	65.86	0.00	0.0598	10.83	476.4	405.75	0.0557	448.3	8.069	16.80	8.40	1.46
	40.28	23.71	65.88	0.00	0.0598	10.82	476.2	405.46	0.0558	448.3	8.070	16.80	8.40	1.46
	41.20	23.69	65.89	0.00	0.0599	10.82	476.1	405.33	0.0560	450.1	8.101	16.86	8.46	1.46
	42.28	23.71	65.88	0.00	0.0598	10.82	476.2	405.41	0.0559	450.4	8.108	16.87	8.47	1.46
	43.20	23.71	65.88	0.00	0.0598	10.82	476.1	405.36	0.0560	451.2	8.122	16.90	8.49	1.46
	44.22	23.69	65.91	0.00	0.0599	10.82	476.0	405.09	0.0560	451.7	8.131	16.92	8.51	1.46
	45.20	23.71	65.88	0.00	0.0598	10.82	476.0	405.23	0.0562	451.5	8.128	16.92	8.51	1.46
	46.22	23.69	65.88	0.00	0.0598	10.82	475.9	405.18	0.0563	455.3	8.195	17.05	8.63	1.46
	47.20	23.71	65.88	0.00	0.0598	10.81	475.7	405.02	0.0564	456.1	8.209	17.09	8.65	1.46
	48.22	23.71	65.88	0.00	0.0598	10.81	475.5	404.85	0.0565	456.4	8.216	17.10	8.66	1.46
	49.20	23.69	65.88	0.00	0.0598	10.81	475.5	404.81	0.0565	457.1	8.227	17.12	8.68	1.46
