Mar 13 2018 at 9:19:13
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Clouds rolling in with last photosynthesis measure, drop in PAR
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.70	23.96	65.88	0.00	0.0601	10.89	478.9	408.11	0.0554	443.9	7.990	16.64	8.27	1.46
	1.70	23.97	65.88	0.00	0.0601	10.89	479.1	408.28	0.0557	447.8	8.060	16.79	8.40	1.46
	2.70	23.96	65.88	0.00	0.0601	10.88	478.8	407.98	0.0557	446.8	8.043	16.75	8.36	1.46
	3.70	23.96	65.88	0.00	0.0600	10.87	478.2	407.46	0.0556	445.7	8.022	16.71	8.32	1.46
	4.70	23.96	65.86	0.00	0.0600	10.88	478.6	407.98	0.0556	446.3	8.033	16.74	8.34	1.46
	5.70	23.93	65.86	0.00	0.0601	10.88	478.9	408.16	0.0558	447.1	8.047	16.77	8.37	1.46
	6.70	23.96	65.88	0.00	0.0601	10.88	478.6	407.79	0.0557	447.2	8.050	16.77	8.38	1.46
	7.69	23.97	65.86	0.00	0.0600	10.87	478.2	407.65	0.0558	448.7	8.077	16.83	8.43	1.46
	8.70	23.97	65.88	0.00	0.0600	10.87	478.4	407.65	0.0558	448.9	8.080	16.83	8.43	1.46
	9.69	23.93	65.88	0.00	0.0600	10.87	478.3	407.53	0.0558	449.0	8.083	16.83	8.43	1.46
	10.70	23.96	65.86	0.00	0.0601	10.87	478.2	407.66	0.0559	448.4	8.072	16.82	8.42	1.46
	11.69	23.96	65.88	0.00	0.0601	10.88	478.8	407.97	0.0560	449.9	8.099	16.87	8.46	1.46
	12.70	23.97	65.88	0.00	0.0600	10.87	478.3	407.55	0.0560	451.6	8.128	16.93	8.52	1.46
	13.69	23.97	65.88	0.00	0.0601	10.88	478.6	407.81	0.0561	452.2	8.139	16.95	8.54	1.46
	14.70	23.97	65.86	0.00	0.0601	10.87	478.5	407.89	0.0563	454.4	8.179	17.04	8.61	1.46
	15.77	23.93	65.88	0.00	0.0601	10.89	478.9	408.08	0.0563	453.3	8.159	16.99	8.57	1.46
	16.70	23.96	65.88	0.00	0.0601	10.87	478.4	407.64	0.0563	453.3	8.160	17.00	8.58	1.46
	17.70	23.96	65.91	0.00	0.0601	10.89	479.1	408.09	0.0566	456.2	8.211	17.10	8.67	1.46
	18.70	23.97	65.88	0.00	0.0601	10.89	479.3	408.46	0.0567	458.7	8.256	17.20	8.75	1.46
	19.70	23.97	65.88	0.00	0.0601	10.88	478.7	407.94	0.0565	455.9	8.207	17.10	8.66	1.46
	20.70	23.97	65.91	0.00	0.0602	10.90	479.5	408.42	0.0569	459.9	8.278	17.24	8.79	1.46
	21.70	23.97	65.88	0.00	0.0602	10.91	480.0	409.03	0.0571	462.7	8.329	17.35	8.88	1.46
	22.70	23.93	65.88	0.00	0.0602	10.92	480.5	409.43	0.0570	463.6	8.345	17.38	8.91	1.46
	23.70	23.97	65.88	0.00	0.0602	10.91	479.8	408.89	0.0570	462.1	8.317	17.33	8.86	1.46
	24.70	23.97	65.83	0.00	0.0602	10.91	479.9	409.28	0.0570	461.8	8.313	17.33	8.85	1.46
	25.70	23.95	65.88	0.00	0.0602	10.91	480.0	409.03	0.0571	462.2	8.319	17.33	8.86	1.46
	26.69	23.97	65.88	0.00	0.0601	10.90	479.8	408.86	0.0570	462.0	8.317	17.32	8.86	1.46
	27.70	23.95	65.88	0.00	0.0602	10.91	480.2	409.22	0.0570	463.0	8.334	17.36	8.89	1.46
	28.69	23.97	65.88	0.00	0.0603	10.92	480.4	409.38	0.0572	463.5	8.344	17.38	8.91	1.46
	29.70	24.01	65.88	0.00	0.0603	10.95	481.6	410.47	0.0573	465.6	8.381	17.46	8.97	1.46
	30.69	23.97	65.88	0.00	0.0603	10.94	481.5	410.33	0.0573	465.8	8.384	17.46	8.98	1.46
	31.70	23.97	65.88	0.00	0.0603	10.94	481.2	410.08	0.0573	465.3	8.375	17.45	8.96	1.46
	32.69	23.97	65.88	0.00	0.0605	10.95	482.0	410.74	0.0576	467.3	8.412	17.52	9.03	1.46
	33.70	23.97	65.88	0.00	0.0604	10.95	481.8	410.61	0.0574	466.9	8.404	17.51	9.01	1.46
	34.70	23.96	65.88	0.00	0.0604	10.95	481.9	410.67	0.0575	467.3	8.412	17.52	9.03	1.46
	35.70	23.97	65.88	0.00	0.0606	10.97	482.7	411.31	0.0578	469.1	8.444	17.59	9.08	1.46
	36.70	23.97	65.88	0.00	0.0605	10.96	482.4	411.10	0.0578	469.2	8.446	17.59	9.09	1.46
	37.70	23.97	65.88	0.00	0.0605	10.98	483.0	411.58	0.0578	470.4	8.467	17.64	9.12	1.46
	38.70	23.99	65.88	0.00	0.0605	10.98	483.0	411.59	0.0578	471.0	8.478	17.66	9.14	1.46
	39.70	24.01	65.90	0.00	0.0605	10.97	482.9	411.42	0.0578	470.6	8.470	17.64	9.13	1.46
	40.70	23.97	65.86	0.00	0.0605	10.98	483.1	411.84	0.0578	471.8	8.493	17.70	9.17	1.46
	41.70	23.99	65.86	0.00	0.0605	10.98	483.0	411.74	0.0579	472.1	8.498	17.71	9.18	1.46
	42.70	23.99	65.90	0.00	0.0605	10.98	483.1	411.59	0.0579	472.9	8.512	17.73	9.20	1.46
	43.70	23.99	65.88	0.00	0.0605	10.98	483.2	411.80	0.0580	472.9	8.512	17.73	9.20	1.46
	44.72	23.97	65.86	0.00	0.0605	10.99	483.4	412.07	0.0581	473.7	8.527	17.77	9.23	1.46
	45.70	23.99	65.86	0.00	0.0606	10.98	483.3	412.06	0.0580	473.9	8.530	17.78	9.23	1.46
	46.72	23.99	65.88	0.00	0.0606	10.99	483.8	412.28	0.0583	476.1	8.569	17.85	9.30	1.46
	47.70	23.99	65.88	0.00	0.0605	10.99	483.4	411.96	0.0582	475.1	8.552	17.82	9.27	1.46
	48.72	23.97	65.90	0.00	0.0606	10.99	483.5	411.86	0.0582	475.3	8.556	17.82	9.28	1.46
	49.78	23.97	65.88	0.00	0.0606	10.99	483.5	412.01	0.0583	475.7	8.563	17.84	9.29	1.46
	50.72	23.99	65.86	0.00	0.0606	11.00	484.0	412.67	0.0584	478.2	8.607	17.94	9.37	1.46
	51.72	23.99	65.88	0.00	0.0606	11.00	484.1	412.54	0.0583	477.8	8.600	17.92	9.36	1.46
	52.72	23.99	65.88	0.00	0.0606	11.00	484.1	412.59	0.0584	478.3	8.609	17.93	9.37	1.46
	53.72	24.01	65.88	0.00	0.0606	11.00	483.8	412.34	0.0585	478.2	8.607	17.93	9.37	1.46
	54.72	23.99	65.88	0.00	0.0606	11.00	484.2	412.63	0.0585	479.6	8.633	17.98	9.41	1.46
	55.72	23.99	65.88	0.00	0.0606	11.01	484.4	412.82	0.0586	479.9	8.639	18.00	9.42	1.46
	56.72	23.99	65.88	0.00	0.0606	11.02	484.7	413.05	0.0586	480.6	8.651	18.02	9.44	1.46
	57.72	24.01	65.88	0.00	0.0607	11.01	484.4	412.84	0.0586	480.3	8.645	18.01	9.43	1.46
	58.72	23.99	65.88	0.00	0.0607	11.01	484.5	412.91	0.0587	481.0	8.658	18.04	9.46	1.46
	59.72	23.99	65.88	0.00	0.0607	11.02	484.8	413.13	0.0588	482.0	8.675	18.07	9.48	1.46
	60.72	23.99	65.86	0.00	0.0607	11.02	484.8	413.26	0.0588	482.0	8.676	18.08	9.49	1.46
	61.72	23.99	65.88	0.00	0.0606	11.02	484.7	413.07	0.0587	482.0	8.676	18.07	9.49	1.46
	62.70	23.99	65.88	0.00	0.0607	11.03	485.2	413.49	0.0589	483.2	8.697	18.12	9.52	1.46
	63.72	23.97	65.88	0.00	0.0607	11.03	485.1	413.41	0.0589	483.2	8.698	18.12	9.52	1.46
	64.70	23.99	65.88	0.00	0.0607	11.02	484.9	413.26	0.0589	483.5	8.703	18.13	9.53	1.46
	65.72	23.99	65.86	0.00	0.0607	11.02	484.9	413.42	0.0589	484.3	8.718	18.17	9.56	1.46
	66.70	23.99	65.86	0.00	0.0607	11.03	485.5	413.86	0.0590	485.0	8.730	18.19	9.58	1.46
	67.72	24.01	65.88	0.00	0.0607	11.03	485.3	413.60	0.0591	485.2	8.733	18.19	9.58	1.46
	68.78	23.99	65.86	0.00	0.0607	11.04	485.7	414.06	0.0591	486.2	8.752	18.24	9.62	1.46
	69.73	23.99	65.86	250.00	0.0608	11.04	485.9	414.27	0.0592	486.9	8.765	18.27	9.64	1.46
	70.72	24.00	65.86	0.00	0.0608	11.04	485.6	414.00	0.0592	486.8	8.762	18.26	9.63	1.46
	71.72	23.99	65.86	0.00	0.0608	11.05	486.0	414.31	0.0592	487.8	8.781	18.30	9.67	1.46
	72.72	24.01	65.88	0.00	0.0608	11.05	486.0	414.22	0.0593	488.0	8.784	18.30	9.67	1.46
	73.72	24.01	65.88	0.00	0.0608	11.05	486.1	414.33	0.0594	488.5	8.793	18.32	9.69	1.46
	74.72	23.99	65.88	0.00	0.0608	11.05	486.0	414.21	0.0594	488.8	8.798	18.33	9.69	1.46
	75.72	24.01	65.88	0.00	0.0608	11.05	486.0	414.24	0.0594	489.3	8.808	18.35	9.71	1.46
	76.72	23.99	65.88	0.00	0.0608	11.05	486.0	414.17	0.0594	489.4	8.809	18.35	9.71	1.46
	77.72	23.99	65.88	0.00	0.0609	11.06	486.5	414.61	0.0595	490.2	8.824	18.38	9.74	1.46
	78.72	23.99	65.86	0.00	0.0608	11.05	486.3	414.60	0.0595	490.6	8.830	18.40	9.75	1.46
	79.72	23.99	65.86	0.00	0.0608	11.05	486.4	414.68	0.0595	490.8	8.835	18.41	9.76	1.46
	80.72	24.03	65.86	0.00	0.0608	11.05	486.2	414.57	0.0595	490.9	8.835	18.41	9.76	1.46
	81.70	24.05	65.88	0.00	0.0609	11.07	487.0	415.12	0.0596	493.0	8.873	18.49	9.82	1.46
	82.72	24.01	65.86	0.00	0.0608	11.06	486.6	414.90	0.0596	492.2	8.859	18.46	9.80	1.46
	83.70	24.01	65.88	0.00	0.0608	11.06	486.7	414.81	0.0597	492.5	8.865	18.47	9.81	1.46
	84.72	24.01	65.84	0.00	0.0609	11.06	486.8	415.18	0.0598	492.9	8.872	18.50	9.82	1.46
	85.80	24.01	65.88	0.00	0.0609	11.08	487.4	415.37	0.0598	494.4	8.898	18.54	9.86	1.46
	86.72	24.01	65.88	0.00	0.0609	11.07	487.1	415.11	0.0598	494.2	8.896	18.53	9.86	1.46
	87.72	24.01	65.88	0.00	0.0609	11.08	487.4	415.38	0.0599	494.8	8.907	18.56	9.88	1.46
	88.72	24.01	65.88	0.00	0.0609	11.07	487.3	415.28	0.0600	495.2	8.914	18.57	9.89	1.46
	89.72	24.01	65.88	0.00	0.0609	11.08	487.6	415.58	0.0600	495.6	8.920	18.58	9.90	1.46
	90.72	23.99	65.90	0.00	0.0609	11.07	487.3	415.11	0.0599	495.4	8.917	18.57	9.89	1.46
	91.72	23.97	65.86	0.00	0.0610	11.08	487.6	415.66	0.0600	496.0	8.929	18.61	9.91	1.46
	92.72	23.99	65.86	0.00	0.0609	11.08	487.6	415.71	0.0600	496.7	8.941	18.63	9.93	1.46
	93.72	24.03	65.86	0.00	0.0610	11.08	487.4	415.54	0.0600	496.3	8.934	18.62	9.92	1.46
	94.72	24.01	65.88	0.00	0.0610	11.09	487.8	415.69	0.0601	497.2	8.950	18.65	9.95	1.46
	95.72	24.01	65.88	0.00	0.0610	11.09	488.1	416.02	0.0602	498.7	8.977	18.70	10.00	1.46
	96.72	24.01	65.86	0.00	0.0610	11.09	487.8	415.91	0.0602	497.7	8.959	18.67	9.97	1.46
	97.72	24.01	65.88	0.00	0.0610	11.09	488.1	415.96	0.0601	498.4	8.971	18.69	9.99	1.46
	98.70	24.01	65.88	0.00	0.0610	11.09	488.0	415.91	0.0602	498.8	8.979	18.71	10.00	1.46
	99.72	24.01	65.86	0.00	0.0610	11.09	487.8	415.89	0.0602	498.8	8.979	18.71	10.00	1.46
	100.70	24.01	65.88	0.00	0.0610	11.09	488.1	415.97	0.0603	499.6	8.992	18.73	10.02	1.46
	101.72	24.00	65.88	0.00	0.0610	11.10	488.3	416.19	0.0603	499.9	8.998	18.75	10.03	1.46
	102.80	24.03	65.86	0.00	0.0610	11.09	488.0	416.11	0.0604	500.2	9.004	18.77	10.04	1.46
	103.72	24.01	65.88	0.00	0.0610	11.10	488.5	416.30	0.0604	501.1	9.019	18.79	10.07	1.46
	104.72	23.99	65.86	0.00	0.0611	11.10	488.3	416.31	0.0605	501.5	9.027	18.81	10.08	1.46
	105.72	24.03	65.88	0.00	0.0610	11.10	488.2	416.14	0.0605	500.9	9.016	18.79	10.06	1.46
	106.72	24.01	65.86	0.00	0.0610	11.10	488.5	416.54	0.0605	502.0	9.035	18.83	10.09	1.46
	107.72	24.01	65.90	0.00	0.0610	11.10	488.4	416.09	0.0605	501.3	9.023	18.79	10.07	1.46
	108.72	24.01	65.88	0.00	0.0611	11.11	488.7	416.49	0.0606	502.7	9.048	18.85	10.11	1.46
	109.72	24.01	65.88	0.00	0.0611	11.11	488.9	416.70	0.0607	504.0	9.071	18.90	10.15	1.46
	110.72	24.01	65.88	0.00	0.0610	11.11	488.7	416.51	0.0607	504.1	9.074	18.90	10.16	1.46
	111.72	24.01	65.88	0.00	0.0611	11.11	488.9	416.70	0.0607	504.4	9.080	18.92	10.17	1.46
	112.72	23.99	65.89	0.00	0.0611	11.11	489.0	416.69	0.0607	504.5	9.081	18.92	10.17	1.46
	113.72	24.01	65.88	0.00	0.0611	11.11	489.0	416.79	0.0607	504.6	9.083	18.92	10.17	1.46
	114.72	24.01	65.86	0.00	0.0611	11.12	489.2	417.06	0.0608	505.5	9.099	18.96	10.20	1.46
	115.72	23.99	65.86	0.00	0.0611	11.12	489.3	417.18	0.0607	505.8	9.105	18.98	10.21	1.46
	116.72	24.01	65.86	0.00	0.0610	11.12	489.2	417.13	0.0607	505.9	9.107	18.98	10.21	1.46
	117.70	24.01	65.88	0.00	0.0611	11.12	489.3	416.98	0.0608	506.1	9.109	18.98	10.21	1.46
	118.72	24.01	65.86	0.00	0.0611	11.12	489.2	417.05	0.0609	506.5	9.116	19.00	10.23	1.46
	119.80	24.01	65.86	0.00	0.0612	11.12	489.5	417.32	0.0610	506.8	9.122	19.01	10.24	1.46
	120.72	24.01	65.88	0.00	0.0611	11.13	489.5	417.21	0.0609	507.5	9.134	19.03	10.26	1.46
	121.92	24.01	65.88	0.00	0.0611	11.12	489.4	417.10	0.0608	507.3	9.132	19.02	10.25	1.46
	122.70	24.01	65.88	0.00	0.0611	11.12	489.5	417.15	0.0610	508.1	9.146	19.05	10.27	1.46
	123.72	24.01	65.81	0.00	0.0611	11.13	489.7	417.83	0.0610	508.3	9.149	19.08	10.28	1.46
	124.70	23.99	65.88	0.00	0.0611	11.13	489.7	417.32	0.0611	508.3	9.150	19.06	10.28	1.46
	125.70	24.01	65.86	0.00	0.0611	11.12	489.4	417.31	0.0611	508.4	9.151	19.07	10.28	1.46
	126.70	24.01	65.86	0.00	0.0611	11.13	489.5	417.37	0.0610	508.4	9.150	19.07	10.28	1.46
	127.70	24.01	65.88	0.00	0.0611	11.13	489.5	417.19	0.0611	508.7	9.156	19.07	10.29	1.46
	128.70	24.01	65.86	0.00	0.0611	11.13	489.7	417.49	0.0612	509.4	9.170	19.11	10.31	1.46
	129.70	24.01	65.88	0.00	0.0611	11.14	490.1	417.66	0.0612	510.5	9.188	19.14	10.34	1.46
