Mar 13 2018 at 10:38:56
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Extreme cloud cover low light low temps
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.70	21.35	65.91	0.00	0.0608	11.07	487.1	411.29	0.0570	463.6	8.345	17.22	8.78	1.38
	1.69	21.31	65.91	0.00	0.0609	11.07	487.1	411.19	0.0571	463.8	8.349	17.23	8.78	1.37
	2.70	21.29	65.88	0.00	0.0608	11.08	487.3	411.54	0.0572	464.3	8.357	17.25	8.79	1.37
	3.69	21.33	65.91	0.00	0.0609	11.07	487.3	411.40	0.0572	464.6	8.362	17.26	8.81	1.37
	4.70	21.31	65.88	0.00	0.0609	11.06	486.5	410.87	0.0572	463.8	8.349	17.24	8.78	1.37
	5.69	21.29	65.89	0.00	0.0608	11.06	486.4	410.76	0.0572	463.6	8.345	17.23	8.77	1.37
	6.70	21.31	65.91	0.00	0.0608	11.05	486.3	410.57	0.0571	463.6	8.344	17.22	8.77	1.38
	7.69	21.31	65.88	0.00	0.0608	11.05	486.3	410.66	0.0572	464.0	8.353	17.24	8.79	1.37
	8.70	21.33	65.86	0.00	0.0610	11.06	486.6	411.08	0.0572	464.3	8.358	17.26	8.80	1.37
	9.69	21.31	65.88	0.00	0.0610	11.07	486.9	411.19	0.0573	464.7	8.365	17.27	8.81	1.37
	10.70	21.31	65.88	0.00	0.0608	11.06	486.5	410.88	0.0571	463.7	8.346	17.23	8.78	1.37
	11.69	21.33	65.88	0.00	0.0609	11.06	486.9	411.19	0.0573	465.1	8.372	17.28	8.82	1.37
	12.70	21.29	65.89	0.00	0.0609	11.07	487.1	411.31	0.0572	464.6	8.363	17.26	8.81	1.37
	13.77	21.31	65.89	0.00	0.0608	11.06	486.8	411.09	0.0572	465.2	8.373	17.28	8.82	1.37
	14.70	21.31	65.91	0.00	0.0608	11.07	486.9	411.01	0.0573	465.4	8.377	17.29	8.83	1.37
	15.77	21.31	65.91	0.00	0.0610	11.07	487.2	411.29	0.0574	466.0	8.388	17.31	8.85	1.37
	16.70	21.30	65.91	0.00	0.0608	11.06	486.7	410.85	0.0572	465.5	8.380	17.29	8.84	1.37
	17.70	21.31	65.91	0.00	0.0609	11.07	487.2	411.30	0.0573	466.1	8.390	17.31	8.85	1.38
	18.69	21.31	65.91	0.00	0.0610	11.09	487.7	411.75	0.0573	465.7	8.382	17.30	8.84	1.37
	19.70	21.30	65.88	0.00	0.0610	11.08	487.5	411.69	0.0574	465.7	8.382	17.30	8.84	1.37
	20.69	21.31	65.89	0.00	0.0610	11.09	488.2	412.25	0.0575	467.2	8.410	17.36	8.89	1.37
	21.70	21.31	65.88	0.00	0.0609	11.07	487.1	411.39	0.0576	467.4	8.413	17.37	8.90	1.37
	22.69	21.31	65.91	0.00	0.0609	11.09	487.8	411.80	0.0576	467.9	8.423	17.38	8.91	1.37
	23.70	21.31	65.93	0.00	0.0609	11.09	488.1	411.92	0.0576	468.4	8.432	17.39	8.93	1.37
	24.69	21.30	65.91	0.00	0.0609	11.08	487.5	411.52	0.0576	467.9	8.421	17.38	8.91	1.37
	25.70	21.31	65.91	0.00	0.0609	11.08	487.5	411.52	0.0576	467.8	8.421	17.38	8.91	1.37
	26.69	21.31	65.89	0.00	0.0609	11.09	488.1	412.16	0.0576	468.3	8.429	17.40	8.92	1.37
	27.70	21.30	65.88	0.00	0.0610	11.10	488.5	412.51	0.0576	468.8	8.438	17.42	8.94	1.37
	28.69	21.30	65.89	0.00	0.0610	11.11	488.8	412.72	0.0577	469.4	8.449	17.44	8.96	1.37
	29.70	21.30	65.89	0.00	0.0610	11.10	488.4	412.42	0.0576	469.8	8.456	17.46	8.97	1.37
	30.69	21.30	65.91	0.00	0.0609	11.09	488.1	412.04	0.0577	469.9	8.458	17.45	8.97	1.37
	31.70	21.30	65.88	0.00	0.0609	11.10	488.4	412.48	0.0577	471.4	8.485	17.52	9.02	1.37
	32.69	21.28	65.89	0.00	0.0610	11.09	487.9	411.95	0.0577	471.1	8.479	17.50	9.01	1.37
	33.70	21.30	65.88	0.00	0.0610	11.09	488.0	412.11	0.0578	470.1	8.463	17.47	8.98	1.37
	34.77	21.30	65.91	0.00	0.0610	11.10	488.4	412.32	0.0578	471.5	8.486	17.51	9.02	1.37
	35.70	21.30	65.91	0.00	0.0611	11.09	488.1	412.01	0.0579	471.5	8.487	17.51	9.02	1.37
	36.70	21.30	65.88	0.00	0.0610	11.10	488.5	412.56	0.0578	471.6	8.490	17.53	9.03	1.37
	37.70	21.30	65.90	0.00	0.0611	11.11	488.7	412.57	0.0580	472.9	8.512	17.56	9.07	1.37
	38.70	21.28	65.88	250.00	0.0611	11.11	488.6	412.62	0.0580	473.4	8.521	17.59	9.08	1.37
	39.70	21.28	65.89	0.00	0.0610	11.11	488.6	412.59	0.0582	473.1	8.516	17.58	9.07	1.37
	40.70	21.30	65.91	0.00	0.0609	11.09	488.1	411.99	0.0579	472.7	8.509	17.56	9.06	1.38
	41.70	21.30	65.89	0.00	0.0610	11.11	488.7	412.68	0.0580	473.3	8.520	17.59	9.08	1.37
	42.70	21.30	65.89	0.00	0.0609	11.11	488.7	412.64	0.0581	474.0	8.532	17.61	9.10	1.37
	43.69	21.28	65.88	0.00	0.0610	11.10	488.4	412.47	0.0581	474.3	8.537	17.62	9.11	1.37
	44.70	21.30	65.91	0.00	0.0611	11.10	488.3	412.17	0.0581	474.3	8.537	17.62	9.11	1.37
	45.69	21.30	65.89	0.00	0.0611	11.12	489.4	413.25	0.0582	475.3	8.556	17.66	9.14	1.37
	46.70	21.30	65.88	0.00	0.0610	11.11	488.8	412.78	0.0582	474.7	8.544	17.64	9.12	1.38
	47.69	21.30	65.86	0.00	0.0610	11.11	488.9	413.02	0.0583	476.1	8.570	17.70	9.17	1.37
	48.70	21.30	65.88	0.00	0.0611	11.11	489.0	412.92	0.0582	475.9	8.566	17.68	9.16	1.37
	49.69	21.30	65.91	0.00	0.0611	11.12	489.3	413.04	0.0583	478.0	8.604	17.75	9.23	1.37
	50.70	21.30	65.88	0.00	0.0611	11.11	488.7	412.69	0.0584	476.6	8.579	17.71	9.18	1.37
	51.69	21.30	65.86	0.00	0.0612	11.15	490.6	414.45	0.0585	479.2	8.626	17.81	9.26	1.37
	52.70	21.30	65.91	0.00	0.0611	11.14	490.0	413.65	0.0584	478.4	8.611	17.77	9.24	1.38
	53.70	21.28	65.91	0.00	0.0611	11.13	489.6	413.25	0.0584	477.7	8.599	17.74	9.22	1.37
	54.70	21.31	65.91	0.00	0.0610	11.11	489.0	412.82	0.0585	478.9	8.621	17.79	9.26	1.37
	55.70	21.28	65.91	0.00	0.0611	11.12	489.3	413.05	0.0586	479.5	8.632	17.81	9.27	1.37
	56.70	21.28	65.91	0.00	0.0611	11.13	489.8	413.48	0.0585	480.4	8.647	17.84	9.30	1.37
	57.70	21.28	65.91	0.00	0.0612	11.13	489.6	413.29	0.0586	479.6	8.632	17.81	9.28	1.37
	58.70	21.28	65.91	0.00	0.0611	11.13	489.7	413.35	0.0585	480.6	8.651	17.85	9.31	1.38
	59.70	21.28	65.89	0.00	0.0611	11.13	489.6	413.41	0.0587	480.7	8.652	17.86	9.31	1.38
	60.70	21.28	65.88	0.00	0.0612	11.13	489.9	413.70	0.0586	481.4	8.664	17.88	9.33	1.37
	61.70	21.30	65.91	0.00	0.0611	11.14	490.0	413.62	0.0588	483.1	8.696	17.94	9.38	1.37
	62.70	21.30	65.88	0.00	0.0611	11.12	489.5	413.37	0.0588	482.3	8.682	17.92	9.36	1.37
	63.70	21.31	65.89	0.00	0.0612	11.13	489.5	413.39	0.0589	482.2	8.679	17.92	9.36	1.37
	64.70	21.28	65.86	0.00	0.0611	11.13	489.7	413.67	0.0587	481.9	8.674	17.91	9.35	1.38
	65.70	21.28	65.91	0.00	0.0612	11.12	489.4	413.12	0.0588	481.8	8.672	17.89	9.34	1.37
	66.69	21.30	65.89	0.00	0.0611	11.13	489.5	413.35	0.0589	482.7	8.689	17.94	9.37	1.37
	67.70	21.28	65.88	0.00	0.0612	11.13	489.7	413.50	0.0589	483.8	8.709	17.98	9.41	1.38
	68.69	21.28	65.91	0.00	0.0612	11.13	489.6	413.30	0.0589	484.1	8.714	17.98	9.42	1.38
	69.70	21.28	65.91	0.00	0.0611	11.13	489.6	413.29	0.0589	484.2	8.716	17.98	9.42	1.38
	70.78	21.28	65.91	0.00	0.0611	11.13	489.8	413.44	0.0589	484.7	8.725	18.00	9.43	1.38
	71.70	21.28	65.91	0.00	0.0611	11.13	489.9	413.51	0.0589	484.8	8.727	18.01	9.44	1.38
	72.77	21.28	65.88	0.00	0.0612	11.12	489.5	413.35	0.0591	484.6	8.723	18.00	9.43	1.37
	73.70	21.28	65.91	0.00	0.0611	11.13	489.7	413.33	0.0590	484.5	8.722	18.00	9.43	1.38
	74.77	21.28	65.88	0.00	0.0611	11.14	490.1	413.85	0.0591	485.1	8.731	18.02	9.44	1.37
	75.70	21.28	65.91	0.00	0.0611	11.13	489.9	413.55	0.0590	485.3	8.736	18.03	9.45	1.38
	76.70	21.28	65.91	0.00	0.0612	11.13	489.9	413.53	0.0590	485.3	8.735	18.02	9.45	1.38
	77.70	21.30	65.91	0.00	0.0612	11.13	489.9	413.58	0.0592	486.5	8.757	18.07	9.49	1.37
	78.70	21.28	65.88	0.00	0.0611	11.13	489.6	413.45	0.0592	486.8	8.763	18.09	9.50	1.38
	79.70	21.28	65.91	0.00	0.0611	11.13	489.7	413.35	0.0592	486.8	8.763	18.08	9.50	1.38
	80.70	21.28	65.89	0.00	0.0612	11.13	489.8	413.56	0.0592	487.0	8.766	18.09	9.50	1.38
	81.70	21.26	65.91	0.00	0.0611	11.11	489.0	412.74	0.0594	488.0	8.784	18.12	9.53	1.38
	82.70	21.24	65.88	0.00	0.0612	11.13	489.6	413.35	0.0593	488.5	8.792	18.15	9.55	1.38
	83.70	21.24	65.88	0.00	0.0612	11.13	489.7	413.48	0.0593	488.2	8.788	18.14	9.54	1.38
	84.70	21.28	65.89	0.00	0.0612	11.14	490.1	413.80	0.0593	488.7	8.796	18.16	9.56	1.38
	85.70	21.26	65.91	0.00	0.0613	11.14	490.0	413.60	0.0594	488.6	8.795	18.15	9.55	1.37
	86.70	21.26	65.91	0.00	0.0612	11.12	489.4	413.10	0.0594	488.8	8.798	18.15	9.56	1.38
	87.69	21.28	65.88	0.00	0.0612	11.14	490.0	413.76	0.0594	488.9	8.801	18.17	9.56	1.38
	88.70	21.26	65.90	0.00	0.0612	11.13	489.6	413.27	0.0594	489.9	8.819	18.20	9.59	1.38
	89.70	21.26	65.91	250.00	0.0612	11.13	489.8	413.39	0.0595	490.5	8.828	18.22	9.61	1.38
	90.70	21.26	65.91	0.00	0.0612	11.16	490.9	414.37	0.0597	494.2	8.895	18.35	9.72	1.38
