Mar 13 2018 at 10:42:34
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Extreme cloud cover low light low temps
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.64	21.21	65.90	0.00	0.0612	11.14	490.2	413.68	0.0570	461.6	8.308	17.14	8.70	1.38
	1.64	21.21	65.88	0.00	0.0612	11.12	489.3	413.07	0.0571	463.3	8.340	17.21	8.76	1.38
	2.64	21.21	65.88	0.00	0.0613	11.14	490.4	413.98	0.0570	462.0	8.317	17.16	8.72	1.38
	3.64	21.21	65.88	0.00	0.0612	11.13	489.7	413.40	0.0571	463.2	8.338	17.21	8.76	1.38
	4.62	21.21	65.88	0.00	0.0612	11.14	490.1	413.73	0.0571	463.2	8.337	17.20	8.76	1.38
	5.64	21.23	65.86	0.00	0.0611	11.13	489.8	413.67	0.0572	463.8	8.348	17.23	8.78	1.38
	6.62	21.21	65.86	0.00	0.0611	11.13	489.7	413.53	0.0572	464.3	8.357	17.25	8.79	1.38
	7.64	21.19	65.88	0.00	0.0611	11.13	489.7	413.41	0.0573	464.7	8.364	17.26	8.80	1.38
	8.62	21.16	65.86	0.00	0.0611	11.13	489.8	413.58	0.0573	465.3	8.375	17.29	8.82	1.38
	9.64	21.21	65.91	0.00	0.0611	11.12	489.5	413.09	0.0574	466.9	8.405	17.34	8.88	1.38
	10.62	21.19	65.86	0.00	0.0611	11.13	489.6	413.44	0.0573	466.5	8.397	17.33	8.86	1.38
	11.64	21.16	65.88	0.00	0.0611	11.12	489.4	413.06	0.0575	465.9	8.387	17.30	8.84	1.38
	12.62	21.19	65.88	0.00	0.0611	11.13	489.7	413.43	0.0575	467.3	8.412	17.36	8.89	1.38
	13.64	21.21	65.86	0.00	0.0611	11.13	489.6	413.47	0.0576	467.4	8.412	17.37	8.89	1.38
	14.70	21.21	65.88	0.00	0.0611	11.12	489.1	412.94	0.0575	467.8	8.420	17.38	8.90	1.38
	15.64	21.19	65.88	0.00	0.0611	11.13	489.6	413.29	0.0574	466.9	8.404	17.34	8.87	1.38
	16.64	21.21	65.88	0.00	0.0611	11.13	489.7	413.43	0.0575	467.9	8.422	17.38	8.91	1.38
	17.64	21.21	65.88	0.00	0.0612	11.13	489.7	413.46	0.0576	467.7	8.418	17.37	8.90	1.38
	18.64	21.21	65.88	0.00	0.0612	11.14	490.3	413.92	0.0576	468.7	8.437	17.41	8.93	1.38
	19.64	21.21	65.88	0.00	0.0612	11.16	491.2	414.72	0.0577	470.0	8.461	17.46	8.97	1.38
	20.64	21.19	65.88	0.00	0.0614	11.15	490.4	414.00	0.0578	469.8	8.456	17.45	8.96	1.38
	21.64	21.17	65.88	0.00	0.0613	11.19	492.5	415.72	0.0578	472.8	8.510	17.56	9.06	1.38
	22.64	21.17	65.89	0.00	0.0613	11.17	491.3	414.74	0.0578	470.9	8.476	17.49	9.00	1.38
	23.64	21.19	65.90	0.00	0.0612	11.15	490.8	414.20	0.0578	471.0	8.478	17.49	9.00	1.38
	24.64	21.19	65.88	0.00	0.0612	11.17	491.4	414.82	0.0578	471.7	8.490	17.52	9.02	1.38
	25.62	21.19	65.88	0.00	0.0613	11.16	491.0	414.48	0.0579	471.4	8.484	17.51	9.01	1.38
	26.64	21.19	65.91	0.00	0.0613	11.16	491.1	414.46	0.0579	471.6	8.489	17.51	9.02	1.38
	27.62	21.19	65.88	0.00	0.0614	11.17	491.4	414.82	0.0579	472.6	8.507	17.55	9.05	1.38
	28.64	21.17	65.89	0.00	0.0613	11.18	491.8	415.09	0.0582	473.6	8.525	17.59	9.08	1.38
	29.62	21.16	65.88	0.00	0.0614	11.18	491.7	415.07	0.0580	473.6	8.525	17.59	9.08	1.38
