Mar 13 2018 at 10:49:54
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Extreme cloud cover low light low temps
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.11	21.23	65.86	0.00	0.0597	10.80	475.2	401.33	0.0553	444.0	7.991	16.50	8.13	1.42
	1.11	21.23	65.86	0.00	0.0597	10.79	474.6	400.87	0.0554	443.3	7.979	16.47	8.11	1.42
	2.12	21.21	65.86	0.00	0.0597	10.80	475.0	401.20	0.0551	440.1	7.921	16.35	8.00	1.42
	3.11	21.23	65.83	0.00	0.0595	10.74	472.4	399.16	0.0562	452.4	8.144	16.82	8.41	1.42
	4.19	21.21	65.86	0.00	0.0595	10.74	472.6	399.11	0.0564	453.5	8.163	16.85	8.44	1.42
	5.11	21.24	65.86	0.00	0.0594	10.73	472.3	398.95	0.0564	454.9	8.189	16.91	8.49	1.42
	6.12	21.21	65.86	0.00	0.0596	10.76	473.3	399.71	0.0553	448.1	8.065	16.65	8.27	1.42
	7.11	21.24	65.80	0.00	0.0596	10.77	473.7	400.45	0.0555	446.0	8.028	16.59	8.20	1.42
	8.12	21.23	65.88	0.00	0.0601	11.03	485.5	409.92	0.0552	444.4	8.000	16.51	8.15	1.42
	9.11	21.23	65.86	0.00	0.0598	10.81	475.5	401.65	0.0555	446.8	8.042	16.60	8.22	1.42
	10.12	21.23	65.83	0.00	0.0598	10.76	473.3	399.89	0.0556	445.7	8.023	16.57	8.19	1.42
	11.11	21.23	65.86	0.00	0.0596	10.78	474.2	400.51	0.0556	444.7	8.005	16.53	8.16	1.42
	12.12	21.23	65.83	0.00	0.0595	10.75	473.0	399.63	0.0557	447.2	8.050	16.63	8.24	1.42
	13.11	21.23	65.88	0.00	0.0596	10.74	472.4	398.87	0.0559	452.4	8.144	16.81	8.41	1.42
	14.12	21.23	65.86	0.00	0.0594	10.74	472.6	399.18	0.0558	449.6	8.092	16.71	8.32	1.42
	15.11	21.21	65.86	0.00	0.0595	10.73	472.0	398.60	0.0563	454.3	8.177	16.88	8.47	1.42
	16.12	21.23	65.86	0.00	0.0595	10.74	472.3	398.95	0.0565	452.3	8.141	16.81	8.41	1.42
	17.11	21.23	65.86	0.00	0.0595	10.72	471.9	398.54	0.0563	453.3	8.159	16.84	8.44	1.42
	18.11	21.23	65.86	0.00	0.0597	10.72	471.8	398.52	0.0563	453.9	8.171	16.87	8.46	1.42
	19.19	21.23	65.83	0.00	0.0596	10.86	477.6	403.57	0.0552	442.2	7.959	16.44	8.07	1.42
	20.11	21.23	65.86	0.00	0.0608	10.77	473.9	400.26	0.0553	444.4	8.000	16.52	8.15	1.42
	21.19	21.24	65.83	0.00	0.0596	10.76	473.3	399.88	0.0550	444.1	7.993	16.51	8.14	1.42
	22.11	21.23	65.86	0.00	0.0598	10.79	475.0	401.17	0.0551	438.7	7.897	16.30	7.96	1.42
	23.19	21.23	65.86	0.00	0.0618	10.99	483.4	408.25	0.0552	443.9	7.991	16.50	8.13	1.42
	24.11	21.23	65.86	0.00	0.0597	10.78	474.4	400.69	0.0549	438.1	7.886	16.28	7.94	1.42
	25.12	21.23	65.83	0.00	0.0596	10.79	474.9	401.30	0.0547	436.3	7.854	16.22	7.88	1.42
	26.11	21.21	65.83	0.00	0.0595	10.77	473.7	400.27	0.0551	440.6	7.930	16.38	8.02	1.42
	27.12	21.23	65.83	0.00	0.0599	10.84	477.0	403.04	0.0552	442.0	7.955	16.43	8.07	1.42
	28.11	21.23	65.83	0.00	0.0602	10.91	480.0	405.57	0.0552	442.3	7.961	16.44	8.08	1.42
	29.12	21.23	65.86	0.00	0.0597	10.78	474.2	400.50	0.0554	442.8	7.970	16.45	8.09	1.42
