Mar 14 2018 at 7:14:40
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Low wind, high clouds cold and low light
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.78	11.98	65.93	0.00	0.0617	11.25	494.8	404.31	0.0511	397.6	7.157	14.29	6.06	1.32
	1.78	11.97	65.93	0.00	0.0617	11.25	494.9	404.36	0.0513	398.5	7.172	14.33	6.09	1.32
	2.78	12.00	65.93	0.00	0.0616	11.24	494.6	404.19	0.0514	400.0	7.200	14.38	6.15	1.32
	3.77	12.00	65.93	0.00	0.0616	11.23	494.3	403.91	0.0514	402.7	7.249	14.48	6.24	1.32
	4.78	12.01	65.93	0.00	0.0616	11.23	494.1	403.79	0.0519	404.8	7.287	14.56	6.32	1.32
	5.77	11.98	65.93	0.00	0.0616	11.22	493.8	403.50	0.0520	407.5	7.335	14.65	6.41	1.32
	6.78	12.01	65.93	0.00	0.0616	11.22	493.7	403.43	0.0521	408.7	7.357	14.70	6.46	1.32
	7.77	12.00	65.93	0.00	0.0616	11.22	493.9	403.56	0.0521	408.5	7.353	14.69	6.45	1.32
	8.78	12.01	65.93	0.00	0.0616	11.22	493.9	403.61	0.0523	409.0	7.362	14.71	6.47	1.32
	9.86	12.01	65.96	0.00	0.0615	11.22	493.7	403.28	0.0523	410.3	7.385	14.75	6.51	1.32
	10.78	12.01	65.93	0.00	0.0615	11.23	494.0	403.69	0.0523	408.8	7.359	14.70	6.46	1.32
	11.78	12.01	65.93	0.00	0.0615	11.22	493.6	403.41	0.0524	411.2	7.402	14.79	6.55	1.32
	12.78	12.01	65.93	0.00	0.0615	11.22	493.5	403.28	0.0526	412.0	7.416	14.81	6.58	1.32
	13.78	12.03	65.93	0.00	0.0614	11.22	493.6	403.41	0.0528	413.1	7.436	14.86	6.62	1.32
	14.78	12.03	65.93	0.00	0.0616	11.21	493.4	403.27	0.0526	413.4	7.440	14.86	6.62	1.32
	15.78	12.01	65.93	0.00	0.0615	11.21	493.0	402.92	0.0529	417.0	7.505	14.99	6.75	1.32
	16.78	12.03	65.91	0.00	0.0615	11.20	492.9	402.99	0.0531	418.6	7.535	15.06	6.81	1.32
	17.78	12.03	65.93	0.00	0.0615	11.20	492.9	402.84	0.0530	417.7	7.518	15.02	6.77	1.32
	18.78	12.06	65.93	0.00	0.0615	11.20	492.9	402.90	0.0532	418.1	7.526	15.04	6.79	1.32
	19.78	12.04	65.93	0.00	0.0614	11.20	492.9	402.85	0.0534	419.2	7.545	15.07	6.83	1.32
	20.78	12.04	65.93	0.00	0.0614	11.20	492.6	402.63	0.0533	421.3	7.583	15.15	6.90	1.32
	21.78	12.06	65.93	0.00	0.0614	11.20	492.6	402.65	0.0534	420.6	7.570	15.13	6.88	1.32
	22.78	12.04	65.96	0.00	0.0614	11.19	492.3	402.23	0.0536	423.2	7.618	15.21	6.97	1.32
	23.78	12.02	65.96	0.00	0.0614	11.18	492.0	401.89	0.0535	426.2	7.672	15.32	7.07	1.32
	24.78	12.04	65.93	0.00	0.0614	11.20	492.6	402.64	0.0535	422.2	7.599	15.18	6.93	1.32
	25.78	12.04	65.96	0.00	0.0614	11.18	492.0	402.00	0.0538	425.9	7.667	15.31	7.06	1.32
	26.78	12.06	65.93	0.00	0.0614	11.18	492.1	402.19	0.0537	425.4	7.658	15.30	7.04	1.32
	27.78	12.06	65.93	0.00	0.0613	11.18	492.0	402.13	0.0539	426.9	7.684	15.35	7.09	1.32
	28.78	12.06	65.93	0.00	0.0614	11.16	491.1	401.42	0.0543	431.3	7.763	15.51	7.24	1.32
	29.78	12.06	65.93	0.00	0.0613	11.18	491.8	402.00	0.0539	428.2	7.708	15.40	7.14	1.32
	30.86	12.06	65.93	0.00	0.0614	11.17	491.5	401.72	0.0541	429.4	7.730	15.44	7.18	1.32
	31.78	12.08	65.93	0.00	0.0614	11.18	491.9	402.05	0.0540	428.6	7.714	15.41	7.15	1.32
	32.77	12.09	65.93	0.00	0.0613	11.17	491.3	401.64	0.0542	431.7	7.771	15.53	7.26	1.32
	33.78	12.06	65.96	0.00	0.0613	11.16	490.9	401.05	0.0545	434.1	7.814	15.61	7.34	1.32
	34.86	12.08	65.93	0.00	0.0613	11.16	491.2	401.53	0.0542	431.9	7.774	15.53	7.27	1.32
	35.78	12.09	65.93	0.00	0.0613	11.16	491.2	401.51	0.0545	432.8	7.790	15.57	7.29	1.32
	36.86	12.08	65.93	0.00	0.0613	11.17	491.3	401.57	0.0544	432.3	7.781	15.55	7.28	1.32
	37.78	12.08	65.93	0.00	0.0613	11.16	490.8	401.20	0.0547	435.8	7.844	15.67	7.40	1.32
	38.78	12.08	65.93	0.00	0.0612	11.15	490.8	401.16	0.0547	436.0	7.848	15.68	7.40	1.32
	39.78	12.06	65.93	0.00	0.0612	11.15	490.5	400.93	0.0549	435.6	7.841	15.67	7.39	1.32
	40.78	12.09	65.93	0.00	0.0612	11.15	490.7	401.15	0.0546	435.3	7.835	15.66	7.38	1.32
	41.78	12.09	65.93	0.00	0.0611	11.13	489.8	400.38	0.0549	439.2	7.905	15.80	7.51	1.32
