Mar 14 2018 at 7:12:54
Frequency: 1Hz.
CO2
Zero:  Value:0.914415  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00445  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.772015  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.00616  Date:28 Jun 2004	 at 08:29:05	
Low wind, high clouds cold and low light
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.98	11.74	65.93	0.00	0.0613	11.15	490.6	400.51	0.0502	392.6	7.067	14.10	5.86	1.32
	1.97	11.74	65.93	0.00	0.0615	11.19	492.2	401.84	0.0485	376.9	6.784	13.54	5.27	1.32
	2.98	11.74	65.91	0.00	0.0613	11.15	490.8	400.85	0.0499	387.9	6.983	13.94	5.69	1.32
	3.97	11.74	65.96	0.00	0.0613	11.16	491.2	400.88	0.0505	388.4	6.992	13.95	5.71	1.32
	4.98	11.75	65.93	0.00	0.0613	11.18	492.1	401.78	0.0493	380.0	6.840	13.65	5.39	1.32
	5.97	11.75	65.93	0.00	0.0614	11.38	500.9	408.96	0.0503	383.8	6.909	13.79	5.54	1.32
	6.98	11.75	65.96	0.00	0.0679	11.88	522.6	426.59	0.0506	391.7	7.050	14.07	5.83	1.32
	7.97	11.74	65.93	0.00	0.0653	12.55	552.2	450.87	0.0502	391.0	7.038	14.05	5.80	1.32
	8.98	11.75	65.93	0.00	0.0614	11.38	500.6	408.71	0.0520	398.0	7.165	14.30	6.06	1.32
	10.05	11.77	65.93	0.00	0.0613	11.16	490.9	400.82	0.0522	404.9	7.287	14.55	6.31	1.32
	10.98	11.75	65.93	0.00	0.0611	11.19	492.5	402.09	0.0504	372.8	6.711	13.39	5.12	1.32
	12.05	11.77	65.96	0.00	0.0613	11.14	490.3	400.22	0.0519	396.3	7.134	14.23	6.00	1.32
	12.98	11.75	65.93	0.00	0.0620	11.32	498.1	406.66	0.0507	392.8	7.071	14.11	5.87	1.32
	14.05	11.77	65.93	0.00	0.0615	11.24	494.6	403.83	0.0508	388.6	6.995	13.96	5.72	1.32
	14.98	11.77	65.93	0.00	0.0613	11.14	490.0	400.12	0.0508	400.3	7.206	14.38	6.15	1.32
	15.98	11.76	65.93	0.00	0.0612	11.17	491.4	401.23	0.0499	381.8	6.873	13.72	5.46	1.32
	16.98	11.77	65.93	0.00	0.0611	11.16	491.0	400.89	0.0513	390.5	7.029	14.03	5.79	1.32
	17.98	11.79	65.93	0.00	0.0615	11.16	491.2	401.12	0.0511	391.5	7.046	14.06	5.82	1.32
	18.98	11.79	65.93	0.00	0.0612	11.12	489.5	399.67	0.0515	398.6	7.175	14.32	6.08	1.32
	19.98	11.79	65.93	0.00	0.0612	11.13	489.8	399.92	0.0517	405.6	7.302	14.57	6.34	1.32
	20.97	11.79	65.96	0.00	0.0612	11.25	495.0	404.04	0.0516	400.2	7.203	14.37	6.14	1.32
	21.98	11.79	65.93	0.00	0.0618	11.21	493.1	402.68	0.0507	396.2	7.132	14.24	6.00	1.32
	22.97	11.79	65.93	0.00	0.0615	11.26	495.5	404.63	0.0507	394.4	7.099	14.17	5.93	1.32
	23.98	11.79	65.91	0.00	0.0611	11.15	490.6	400.76	0.0509	399.1	7.183	14.34	6.10	1.32
	24.97	11.79	65.93	0.00	0.0613	11.34	498.8	407.32	0.0516	400.8	7.214	14.40	6.16	1.32
	25.98	11.79	65.93	0.00	0.0613	11.15	490.5	400.54	0.0499	390.5	7.030	14.03	5.79	1.32
	26.97	11.80	65.93	0.00	0.0614	11.20	492.7	402.36	0.0513	400.6	7.210	14.39	6.16	1.32
	27.98	11.79	65.93	0.00	0.0612	11.15	490.5	400.52	0.0503	392.8	7.070	14.11	5.87	1.32
	28.97	11.80	65.91	0.00	0.0612	11.49	505.5	412.91	0.0511	386.0	6.948	13.87	5.62	1.32
	29.98	11.82	65.93	0.00	0.0630	11.38	500.9	409.03	0.0503	391.1	7.041	14.06	5.81	1.32
	31.06	11.80	65.91	0.00	0.0615	11.30	497.2	406.14	0.0501	384.6	6.923	13.82	5.57	1.32
	31.98	11.80	65.91	0.00	0.0615	11.22	493.6	403.21	0.0476	358.7	6.456	12.89	4.57	1.32
	33.05	11.82	65.96	0.00	0.0623	11.51	506.6	413.61	0.0493	377.7	6.799	13.57	5.31	1.32
	33.98	11.82	65.94	0.00	0.0615	11.19	492.4	402.14	0.0499	378.9	6.820	13.61	5.35	1.32
	34.97	11.80	65.96	0.00	0.0616	11.29	496.6	405.35	0.0500	381.0	6.858	13.68	5.43	1.32
