Mar 14 2018 at 11:58:22
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Very cloudy and cold, periodic droplets, fog
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.31	14.82	66.04	0.00	0.0601	10.90	479.5	395.05	0.0493	381.4	6.865	13.83	5.60	1.36
	1.31	14.82	66.01	0.00	0.0599	10.83	476.7	392.92	0.0496	381.1	6.860	13.82	5.59	1.36
	2.31	14.80	66.06	0.00	0.0594	10.77	473.7	390.18	0.0494	378.7	6.816	13.72	5.50	1.36
	3.31	14.82	66.04	0.00	0.0592	10.68	470.0	387.29	0.0492	381.0	6.858	13.81	5.58	1.36
	4.33	14.79	66.04	0.00	0.0587	10.59	466.1	384.00	0.0491	376.0	6.768	13.63	5.39	1.36
	5.31	14.80	66.04	0.00	0.0583	10.49	461.5	380.26	0.0490	373.5	6.723	13.54	5.30	1.36
	6.33	14.80	66.04	0.00	0.0578	10.38	456.7	376.30	0.0485	371.3	6.684	13.46	5.21	1.36
	7.31	14.82	66.02	0.00	0.0572	10.24	450.7	371.50	0.0491	378.3	6.809	13.72	5.48	1.36
	8.33	14.82	66.04	0.00	0.0567	10.11	444.8	366.46	0.0486	372.0	6.697	13.49	5.24	1.36
	9.31	14.80	66.04	0.00	0.0560	9.98	439.0	361.72	0.0480	368.9	6.640	13.37	5.12	1.36
	10.39	14.82	66.04	0.00	0.0552	9.81	431.7	355.67	0.0481	367.3	6.612	13.32	5.06	1.36
	11.31	14.84	66.02	0.00	0.0547	9.66	425.1	350.44	0.0476	362.7	6.529	13.16	4.88	1.36
	15.53	14.84	66.04	0.00	0.0539	9.51	418.3	344.71	0.0472	358.0	6.444	12.98	4.69	1.36
	15.53	14.84	66.04	0.00	0.0532	9.35	411.2	338.84	0.0469	356.9	6.424	12.94	4.65	1.36
	15.53	14.84	66.06	0.00	0.0525	9.21	405.1	333.67	0.0469	353.6	6.364	12.81	4.51	1.36
	15.53	14.84	66.06	0.00	0.0516	9.02	397.0	327.01	0.0468	352.4	6.343	12.77	4.47	1.36
	16.33	14.84	66.04	0.00	0.0508	8.85	389.5	320.94	0.0463	347.3	6.252	12.59	4.26	1.36
	17.31	14.84	66.04	0.00	0.0499	8.67	381.6	314.43	0.0458	344.8	6.206	12.50	4.15	1.36
