Mar 14 2018 at 10:37:07
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Very cloudy and cold, periodic droplets, fog
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.75	18.22	66.12	0.00	0.0613	11.12	489.2	407.39	0.0539	426.5	7.676	15.63	7.39	1.34
	1.77	18.22	66.12	0.00	0.0615	11.14	490.1	408.13	0.0539	426.5	7.676	15.63	7.39	1.34
	2.75	18.22	66.17	0.00	0.0613	11.15	490.5	408.08	0.0541	431.5	7.767	15.80	7.56	1.34
	3.77	18.22	66.12	0.00	0.0614	11.15	490.8	408.68	0.0549	434.6	7.823	15.92	7.67	1.34
	4.75	18.22	66.12	0.00	0.0613	11.15	490.4	408.38	0.0544	433.0	7.795	15.87	7.61	1.34
	5.77	18.22	66.17	0.00	0.0612	11.12	489.1	406.95	0.0542	429.7	7.735	15.73	7.50	1.34
	6.75	18.20	66.12	0.00	0.0613	11.14	490.1	408.07	0.0538	426.9	7.685	15.64	7.41	1.34
	7.77	18.23	66.14	0.00	0.0611	11.15	490.6	408.42	0.0537	423.8	7.629	15.52	7.30	1.34
	8.75	18.20	66.12	0.00	0.0614	11.12	489.4	407.44	0.0545	429.0	7.722	15.72	7.48	1.34
	9.75	18.20	66.09	0.00	0.0612	11.14	490.2	408.29	0.0542	432.7	7.789	15.86	7.60	1.34
	10.83	18.22	66.07	0.00	0.0612	11.12	489.4	407.79	0.0543	429.1	7.725	15.73	7.48	1.34
	11.75	18.22	66.14	0.00	0.0611	11.14	490.0	407.89	0.0538	426.4	7.675	15.62	7.39	1.34
	12.83	18.22	66.14	0.00	0.0611	11.12	489.5	407.44	0.0534	424.1	7.633	15.53	7.31	1.34
	13.75	18.22	66.14	0.00	0.0613	11.11	488.9	406.97	0.0536	425.4	7.657	15.58	7.36	1.34
	14.77	18.23	66.12	0.00	0.0613	11.16	490.9	408.82	0.0539	424.7	7.645	15.56	7.33	1.34
	15.75	18.22	66.12	0.00	0.0615	11.14	490.2	408.16	0.0536	425.2	7.653	15.58	7.35	1.34
	16.77	18.22	66.12	0.00	0.0614	11.19	492.2	409.86	0.0540	428.0	7.705	15.68	7.44	1.34
	17.75	18.23	66.14	0.00	0.0616	11.20	492.6	410.04	0.0538	423.6	7.624	15.51	7.29	1.34
	18.77	18.23	66.14	0.00	0.0615	11.16	491.0	408.71	0.0542	429.6	7.733	15.74	7.50	1.34
	19.75	18.23	66.12	0.00	0.0616	11.15	490.4	408.38	0.0542	430.7	7.752	15.78	7.54	1.34
	20.77	18.22	66.14	0.00	0.0634	12.07	530.9	441.88	0.0544	429.3	7.727	15.72	7.49	1.34
	21.75	18.23	66.14	0.00	0.0632	11.67	513.4	427.37	0.0543	432.1	7.777	15.82	7.58	1.34
	22.77	18.25	66.14	0.00	0.0615	11.39	501.2	417.20	0.0545	432.9	7.793	15.86	7.61	1.34
	23.75	18.20	66.12	0.00	0.0614	11.14	490.3	408.21	0.0543	433.5	7.803	15.88	7.63	1.34
	24.77	18.22	66.14	0.00	0.0613	11.13	489.8	407.72	0.0539	429.2	7.725	15.72	7.48	1.34
	25.75	18.22	66.14	0.00	0.0616	11.19	492.5	409.94	0.0543	432.6	7.787	15.84	7.60	1.34
	26.75	18.22	66.14	0.00	0.0614	11.17	491.3	408.97	0.0545	432.9	7.793	15.86	7.61	1.34
	27.77	18.20	66.09	0.00	0.0613	11.17	491.4	409.30	0.0543	431.5	7.767	15.81	7.56	1.34
	28.75	18.18	66.12	0.00	0.0615	11.16	491.0	408.83	0.0539	432.1	7.777	15.83	7.58	1.34
	29.77	18.22	66.12	0.00	0.0618	11.28	496.4	413.35	0.0549	433.6	7.804	15.89	7.63	1.34
