Mar 14 2018 at 10:38:32
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Very cloudy and cold, periodic droplets, fog
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.06	18.20	66.12	0.00	0.0623	11.39	501.1	417.25	0.0567	458.0	8.245	16.78	8.44	1.34
	1.05	18.22	66.12	0.00	0.0623	11.40	501.4	417.54	0.0566	457.9	8.243	16.78	8.44	1.34
	2.06	18.20	66.14	0.00	0.0623	11.39	501.2	417.16	0.0567	459.4	8.268	16.82	8.48	1.33
	3.05	18.22	66.12	0.00	0.0623	11.41	501.8	417.86	0.0568	458.9	8.261	16.81	8.47	1.34
	4.06	18.22	66.12	0.00	0.0623	11.41	502.0	417.98	0.0567	458.6	8.254	16.80	8.46	1.33
	5.05	18.22	66.14	0.00	0.0623	11.38	500.9	416.90	0.0568	458.6	8.255	16.80	8.46	1.34
	6.06	18.20	66.12	0.00	0.0624	11.40	501.5	417.54	0.0568	460.2	8.283	16.86	8.51	1.34
	7.12	18.20	66.12	0.00	0.0623	11.40	501.7	417.73	0.0568	459.2	8.265	16.82	8.48	1.34
	8.06	18.22	66.12	0.00	0.0624	11.40	501.8	417.84	0.0570	460.1	8.281	16.86	8.51	1.33
	9.06	18.23	66.12	0.00	0.0624	11.41	501.9	417.93	0.0569	459.8	8.277	16.85	8.50	1.34
	10.05	18.23	66.12	0.00	0.0624	11.41	502.1	418.13	0.0568	459.4	8.269	16.83	8.48	1.33
	11.06	18.23	66.12	0.00	0.0624	11.41	502.0	418.01	0.0569	459.3	8.267	16.83	8.48	1.34
	12.05	18.22	66.12	0.00	0.0624	11.40	501.7	417.80	0.0569	459.9	8.278	16.85	8.50	1.34
	13.06	18.22	66.09	0.00	0.0624	11.40	501.8	418.01	0.0568	459.9	8.279	16.86	8.50	1.34
	14.05	18.23	66.12	0.00	0.0623	11.40	501.7	417.79	0.0569	461.0	8.299	16.89	8.54	1.33
	15.06	18.22	66.14	0.00	0.0623	11.40	501.6	417.51	0.0568	460.8	8.295	16.88	8.53	1.33
	16.05	18.20	66.12	0.00	0.0623	11.42	502.3	418.21	0.0568	460.2	8.284	16.86	8.51	1.33
	17.06	18.18	66.14	0.00	0.0624	11.42	502.5	418.18	0.0569	460.3	8.285	16.86	8.51	1.34
	18.12	18.20	66.14	0.00	0.0624	11.42	502.5	418.27	0.0568	460.1	8.283	16.85	8.51	1.34
	19.06	18.20	66.09	0.00	0.0624	11.42	502.7	418.74	0.0569	460.5	8.289	16.88	8.52	1.33
	20.12	18.20	66.14	0.00	0.0623	11.42	502.3	418.10	0.0570	460.9	8.297	16.88	8.53	1.33
	21.06	18.20	66.14	0.00	0.0624	11.43	502.8	418.51	0.0570	461.2	8.301	16.89	8.54	1.34
	22.12	18.18	66.12	0.00	0.0623	11.42	502.3	418.25	0.0571	461.7	8.311	16.91	8.56	1.34
	23.06	18.20	66.12	0.00	0.0624	11.42	502.5	418.38	0.0569	460.2	8.283	16.86	8.51	1.34
	24.06	18.20	66.12	0.00	0.0624	11.43	503.0	418.84	0.0569	461.7	8.311	16.92	8.56	1.34
	25.05	18.22	66.12	0.00	0.0626	11.43	502.8	418.69	0.0571	461.8	8.312	16.92	8.56	1.34
	26.06	18.22	66.12	0.00	0.0626	11.43	503.0	418.85	0.0571	461.8	8.312	16.92	8.56	1.33
	27.05	18.23	66.14	0.00	0.0625	11.43	503.1	418.83	0.0571	461.3	8.304	16.90	8.55	1.34
	28.06	18.23	66.14	250.00	0.0625	11.43	503.1	418.81	0.0570	461.5	8.307	16.90	8.55	1.34
	29.05	18.22	66.14	0.00	0.0625	11.43	503.1	418.74	0.0571	461.9	8.314	16.92	8.56	1.34
	30.06	18.22	66.14	0.00	0.0624	11.43	503.0	418.68	0.0571	461.6	8.310	16.91	8.56	1.34
	31.05	18.20	66.14	0.00	0.0625	11.44	503.4	419.03	0.0571	462.3	8.321	16.93	8.58	1.34
	32.06	18.20	66.12	0.00	0.0625	11.44	503.2	419.03	0.0571	462.4	8.324	16.94	8.58	1.33
	33.05	18.22	66.14	0.00	0.0625	11.44	503.4	419.02	0.0571	463.2	8.338	16.96	8.61	1.34
	34.06	18.23	66.12	0.00	0.0625	11.45	503.6	419.38	0.0571	462.4	8.324	16.94	8.58	1.34
	35.06	18.18	66.12	0.00	0.0625	11.45	503.8	419.43	0.0570	461.5	8.308	16.91	8.55	1.34
