Mar 14 2018 at 10:01:54
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Very cloudy and cold, periodic droplets
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.70	20.06	66.11	0.00	0.0621	11.34	499.0	418.19	0.0548	436.5	7.857	16.09	7.82	1.36
	1.70	20.06	66.12	0.00	0.0621	11.34	498.8	417.97	0.0549	437.4	7.874	16.13	7.86	1.36
	2.70	20.08	66.12	250.00	0.0620	11.33	498.6	417.85	0.0548	436.5	7.857	16.10	7.83	1.36
	3.70	20.06	66.07	0.00	0.0621	11.31	497.8	417.44	0.0549	438.0	7.885	16.16	7.88	1.36
	4.70	20.06	66.12	0.00	0.0619	11.31	497.6	416.96	0.0552	438.6	7.895	16.17	7.90	1.36
	5.70	20.06	66.06	0.00	0.0620	11.30	497.4	417.15	0.0551	439.3	7.908	16.21	7.92	1.36
	6.70	20.04	66.09	0.00	0.0620	11.30	497.0	416.63	0.0553	442.4	7.963	16.32	8.02	1.36
	7.70	20.08	66.12	0.00	0.0620	11.30	497.1	416.60	0.0553	442.2	7.959	16.30	8.01	1.36
	8.70	20.06	66.12	0.00	0.0619	11.29	496.7	416.19	0.0556	445.2	8.013	16.41	8.11	1.36
	9.70	20.04	66.07	0.00	0.0619	11.29	496.6	416.41	0.0556	444.8	8.007	16.41	8.10	1.36
	10.70	20.06	66.09	0.00	0.0619	11.28	496.5	416.20	0.0558	448.0	8.064	16.53	8.21	1.36
