Mar 14 2018 at 9:55:58
Frequency: 1Hz.
CO2
Zero:  Value:0.914415  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00445  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.772015  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.00616  Date:28 Jun 2004	 at 08:29:05	
Very cloudy and cold, periodic droplets
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.33	19.76	66.12	0.00	0.0613	11.17	491.7	411.58	0.0551	440.5	7.930	16.23	7.94	1.36
	1.33	19.73	66.12	0.00	0.0629	11.47	504.5	422.29	0.0553	441.9	7.954	16.27	7.99	1.36
	2.33	19.74	66.09	0.00	0.0621	11.39	501.0	419.54	0.0549	437.8	7.880	16.13	7.85	1.36
	3.33	19.74	66.12	0.00	0.0634	11.72	515.9	431.81	0.0556	443.6	7.985	16.34	8.05	1.36
	4.33	19.74	66.12	0.00	0.0622	11.47	504.8	422.56	0.0547	442.8	7.970	16.31	8.02	1.36
	5.33	19.74	66.12	0.00	0.0624	11.42	502.7	420.76	0.0552	440.8	7.934	16.24	7.95	1.36
	6.33	19.74	66.12	0.00	0.0644	11.73	516.1	432.02	0.0551	439.3	7.907	16.18	7.90	1.36
	7.33	19.74	66.12	0.00	0.0628	11.52	506.9	424.30	0.0553	443.2	7.978	16.33	8.03	1.36
	8.33	19.73	66.12	0.00	0.0618	11.25	494.8	414.18	0.0554	442.7	7.968	16.30	8.01	1.36
	9.33	19.74	66.09	0.00	0.0615	11.20	492.8	412.61	0.0543	432.9	7.792	15.95	7.69	1.36
	10.33	19.74	66.12	0.00	0.0616	11.15	490.4	410.48	0.0556	451.9	8.134	16.64	8.32	1.36
	11.41	19.74	66.12	0.00	0.0648	11.91	524.1	438.72	0.0562	449.9	8.098	16.57	8.25	1.36
	12.33	19.74	66.09	0.00	0.0719	12.03	529.4	443.33	0.0563	449.6	8.092	16.56	8.24	1.36
	13.31	19.74	66.14	0.00	0.0615	11.29	496.7	415.62	0.0548	438.0	7.884	16.13	7.86	1.36
	14.33	19.74	66.12	0.00	0.0616	11.25	495.1	414.47	0.0549	438.4	7.891	16.15	7.87	1.36
	15.41	19.76	66.09	0.00	0.0613	11.18	491.8	411.83	0.0552	439.1	7.903	16.18	7.90	1.36
	16.33	19.73	66.09	0.00	0.0619	11.18	491.7	411.73	0.0552	441.1	7.940	16.25	7.96	1.36
	17.41	19.73	66.09	0.00	0.0621	11.32	497.9	416.91	0.0555	442.2	7.959	16.29	8.00	1.36
	18.33	19.74	66.12	0.00	0.0628	11.38	500.6	419.03	0.0537	422.0	7.595	15.54	7.31	1.36
	19.33	19.76	66.12	0.00	0.0615	11.20	492.7	412.42	0.0542	428.5	7.712	15.78	7.54	1.36
	20.33	19.74	66.12	0.00	0.0613	11.19	492.6	412.32	0.0538	425.6	7.660	15.67	7.44	1.36
	21.33	19.74	66.12	0.00	0.0615	11.22	493.6	413.21	0.0541	429.2	7.725	15.81	7.56	1.36
	22.33	19.74	66.12	0.00	0.0614	11.16	491.0	410.97	0.0552	440.4	7.927	16.22	7.94	1.36
	23.33	19.74	66.12	0.00	0.0614	11.18	492.1	411.94	0.0546	431.2	7.761	15.88	7.63	1.36
	24.33	19.74	66.12	0.00	0.0613	11.17	491.6	411.47	0.0554	445.1	8.012	16.39	8.10	1.36
	25.33	19.76	66.06	0.00	0.0613	11.18	492.0	412.15	0.0543	430.8	7.754	15.88	7.62	1.36
	26.33	19.78	66.12	0.00	0.0614	11.20	493.0	412.73	0.0538	422.8	7.610	15.57	7.34	1.36
	27.33	19.76	66.09	0.00	0.0615	11.19	492.5	412.40	0.0539	426.6	7.679	15.72	7.47	1.36
	28.33	19.76	66.09	0.00	0.0615	11.19	492.2	412.16	0.0539	426.3	7.673	15.71	7.46	1.36
	29.33	19.76	66.09	0.00	0.0614	11.19	492.3	412.28	0.0539	427.0	7.687	15.74	7.49	1.36
	30.33	19.78	66.12	0.00	0.0614	11.18	492.1	411.96	0.0537	425.3	7.656	15.67	7.43	1.36
	31.33	19.76	66.12	0.00	0.0614	11.19	492.3	412.14	0.0537	424.9	7.648	15.65	7.42	1.36
	32.33	19.76	66.12	0.00	0.0614	11.17	491.4	411.35	0.0539	428.2	7.707	15.77	7.53	1.36
	33.33	19.76	66.09	0.00	0.0614	11.18	491.8	411.89	0.0538	426.3	7.673	15.71	7.46	1.36
	34.33	19.74	66.09	0.00	0.0614	11.19	492.2	412.16	0.0538	426.5	7.678	15.72	7.47	1.36
	35.33	19.74	66.09	0.00	0.0612	11.17	491.5	411.55	0.0538	427.7	7.698	15.76	7.51	1.36
	36.33	19.76	66.12	0.00	0.0614	11.18	491.8	411.71	0.0540	428.2	7.708	15.77	7.53	1.36
	37.33	19.76	66.09	0.00	0.0614	11.18	492.1	412.08	0.0541	429.2	7.726	15.81	7.56	1.36
	38.33	19.76	66.09	0.00	0.0615	11.19	492.2	412.19	0.0542	429.1	7.724	15.81	7.56	1.36
	39.33	19.76	66.11	0.00	0.0614	11.17	491.6	411.51	0.0543	431.8	7.772	15.90	7.65	1.36
	40.34	19.79	66.12	0.00	0.0613	11.17	491.7	411.62	0.0543	432.0	7.776	15.91	7.66	1.36
	41.33	19.78	66.12	0.00	0.0612	11.14	490.3	410.48	0.0544	432.2	7.780	15.92	7.67	1.36
	42.41	19.78	66.11	0.00	0.0614	11.16	490.9	410.97	0.0544	434.3	7.817	16.00	7.74	1.36
	43.33	19.78	66.09	0.00	0.0613	11.15	490.6	410.82	0.0545	435.9	7.846	16.06	7.79	1.36
	44.33	19.79	66.12	0.00	0.0614	11.18	491.7	411.67	0.0540	428.0	7.704	15.77	7.52	1.36
	45.33	19.78	66.09	0.00	0.0614	11.18	492.1	412.10	0.0542	430.6	7.750	15.87	7.61	1.36
	46.33	19.78	66.12	0.00	0.0614	11.18	492.0	411.88	0.0542	430.0	7.740	15.84	7.59	1.36
	47.33	19.78	66.12	0.00	0.0614	11.18	491.9	411.78	0.0544	432.4	7.782	15.93	7.67	1.36
	48.33	19.78	66.12	0.00	0.0617	11.27	495.8	415.09	0.0544	432.4	7.783	15.93	7.67	1.36
