Mar 14 2018 at 9:58:26
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Very cloudy and cold, periodic droplets
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.23	19.88	66.09	0.00	0.0611	11.11	489.0	409.67	0.0555	446.3	8.033	16.45	8.14	1.36
	1.22	19.90	66.12	0.00	0.0611	11.12	489.2	409.70	0.0557	447.8	8.061	16.50	8.19	1.35
	2.23	19.90	66.09	0.00	0.0612	11.13	489.9	410.45	0.0559	448.6	8.074	16.54	8.22	1.36
	3.22	19.90	66.12	0.00	0.0612	11.12	489.4	409.85	0.0558	448.5	8.072	16.53	8.21	1.35
	4.23	19.88	66.12	0.00	0.0612	11.12	489.1	409.63	0.0559	447.8	8.060	16.50	8.19	1.35
	5.22	19.90	66.12	0.00	0.0614	11.17	491.7	411.76	0.0559	449.9	8.098	16.58	8.26	1.36
	6.22	19.88	66.12	0.00	0.0612	11.14	490.0	410.36	0.0558	449.8	8.097	16.58	8.26	1.36
	7.22	19.90	66.09	0.00	0.0613	11.14	490.1	410.62	0.0560	450.3	8.105	16.60	8.27	1.36
	8.22	19.90	66.09	0.00	0.0612	11.14	490.1	410.60	0.0560	450.3	8.105	16.60	8.27	1.35
	9.22	19.88	66.12	0.00	0.0612	11.15	490.7	410.92	0.0560	450.8	8.115	16.61	8.29	1.36
	10.22	19.88	66.12	0.00	0.0614	11.18	492.0	412.02	0.0561	452.0	8.135	16.65	8.33	1.36
	11.22	19.90	66.12	0.00	0.0613	11.16	490.9	411.08	0.0560	451.2	8.122	16.63	8.30	1.36
	12.22	19.90	66.12	0.00	0.0613	11.16	490.8	411.07	0.0561	451.7	8.130	16.64	8.32	1.36
	13.30	19.90	66.09	0.00	0.0614	11.18	492.1	412.26	0.0564	454.0	8.172	16.74	8.39	1.35
	14.22	19.90	66.12	0.00	0.0615	11.17	491.5	411.60	0.0564	453.5	8.164	16.71	8.38	1.36
	15.30	19.88	66.09	0.00	0.0615	11.18	491.9	412.07	0.0564	454.2	8.176	16.74	8.40	1.36
	16.22	19.91	66.09	0.00	0.0615	11.18	492.1	412.33	0.0564	454.3	8.177	16.75	8.40	1.36
	17.23	19.91	66.09	0.00	0.0614	11.20	492.8	412.89	0.0563	455.1	8.193	16.78	8.43	1.36
	18.22	19.88	66.09	0.00	0.0613	11.17	491.7	411.92	0.0563	454.3	8.177	16.75	8.40	1.36
	19.23	19.88	66.12	0.00	0.0614	11.18	491.8	411.87	0.0564	455.0	8.190	16.76	8.43	1.35
	20.22	19.91	66.09	0.00	0.0614	11.19	492.4	412.57	0.0565	456.1	8.209	16.81	8.46	1.35
	21.23	19.91	66.09	0.00	0.0615	11.20	492.9	413.00	0.0566	457.3	8.231	16.86	8.50	1.35
	22.22	19.90	66.12	0.00	0.0615	11.21	493.3	413.12	0.0566	457.6	8.238	16.86	8.51	1.36
	23.23	19.91	66.09	0.00	0.0614	11.21	493.1	413.19	0.0566	457.9	8.242	16.88	8.52	1.36
	24.22	19.91	66.12	0.00	0.0615	11.20	492.7	412.64	0.0566	456.8	8.223	16.84	8.49	1.36
	25.23	19.91	66.12	0.00	0.0614	11.20	492.9	412.80	0.0566	458.0	8.243	16.88	8.52	1.35
	26.22	19.90	66.09	0.00	0.0615	11.21	493.3	413.27	0.0569	459.7	8.275	16.95	8.58	1.35
