Mar 14 2018 at 9:17:41
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Strong cloud cover low light
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.53	20.85	66.09	0.00	0.0615	11.20	492.8	414.27	0.0553	442.1	7.958	16.35	8.05	1.36
	1.52	20.84	66.09	0.00	0.0614	11.20	492.6	414.06	0.0555	444.2	7.995	16.43	8.12	1.36
	2.53	20.82	66.07	0.00	0.0614	11.18	491.9	413.53	0.0555	443.8	7.988	16.42	8.11	1.36
	3.52	20.85	66.07	0.00	0.0614	11.19	492.3	413.98	0.0555	445.1	8.011	16.47	8.15	1.36
	4.53	20.85	66.09	0.00	0.0614	11.18	492.1	413.64	0.0556	446.0	8.028	16.49	8.18	1.36
	5.52	20.87	66.14	0.00	0.0615	11.18	492.0	413.26	0.0556	447.1	8.047	16.52	8.22	1.36
	6.53	20.89	66.07	0.00	0.0613	11.18	491.8	413.58	0.0559	448.6	8.075	16.60	8.27	1.36
	7.52	20.89	66.09	0.00	0.0614	11.18	491.7	413.37	0.0559	448.8	8.079	16.60	8.28	1.36
	8.53	20.89	66.09	0.00	0.0613	11.17	491.5	413.15	0.0559	449.8	8.096	16.64	8.31	1.36
	9.52	20.89	66.12	0.00	0.0613	11.17	491.4	412.97	0.0560	451.4	8.126	16.69	8.36	1.36
	10.53	20.87	66.09	0.00	0.0613	11.16	490.9	412.67	0.0560	451.7	8.130	16.71	8.37	1.36
	11.52	20.91	66.09	0.00	0.0614	11.17	491.4	413.10	0.0561	450.9	8.116	16.68	8.34	1.36
	12.52	20.87	66.09	0.00	0.0613	11.16	491.0	412.75	0.0562	452.8	8.150	16.75	8.40	1.36
