Mar 14 2018 at 9:15:06
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Strong cloud cover low light
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.95	20.99	66.09	250.00	0.0611	11.10	488.4	410.76	0.0560	450.8	8.115	16.68	8.35	1.36
	1.95	20.99	66.06	0.00	0.0609	11.09	487.8	410.39	0.0561	449.9	8.098	16.65	8.32	1.36
	2.94	20.99	66.09	0.00	0.0608	11.07	486.9	409.48	0.0560	451.3	8.124	16.70	8.36	1.36
	3.95	21.01	66.07	0.00	0.0608	11.05	486.2	409.00	0.0561	452.1	8.138	16.74	8.39	1.36
	4.94	20.99	66.04	0.00	0.0610	11.11	489.1	411.57	0.0553	436.4	7.855	16.16	7.87	1.36
	5.95	20.99	66.09	0.00	0.0611	11.12	489.1	411.33	0.0549	435.5	7.839	16.11	7.84	1.36
	6.94	21.01	66.09	0.00	0.0616	11.19	492.4	414.11	0.0547	436.5	7.856	16.15	7.87	1.36
	7.95	21.01	66.06	0.00	0.0612	11.16	491.0	413.08	0.0547	434.5	7.821	16.09	7.81	1.36
	8.94	21.02	66.09	0.00	0.0639	12.05	530.0	445.75	0.0554	442.2	7.960	16.36	8.06	1.36
	9.95	21.02	66.09	0.00	0.0617	11.41	501.9	422.13	0.0540	434.4	7.819	16.07	7.80	1.36
	10.94	21.01	66.09	0.00	0.0613	11.15	490.7	412.69	0.0548	436.4	7.855	16.15	7.87	1.36
	11.95	21.01	66.09	0.00	0.0676	11.61	510.8	429.57	0.0557	442.3	7.961	16.37	8.07	1.36
	12.94	20.99	66.09	0.00	0.0652	11.88	522.9	439.76	0.0558	447.8	8.061	16.57	8.25	1.36
	13.95	21.01	66.12	0.00	0.0640	12.48	549.2	461.66	0.0558	448.0	8.063	16.57	8.25	1.36
	14.94	21.01	66.12	0.00	0.0630	11.20	492.7	414.17	0.0563	450.5	8.109	16.66	8.34	1.36
	15.94	21.01	66.12	0.00	0.0609	11.06	486.6	409.09	0.0554	451.6	8.128	16.70	8.37	1.36
	16.94	21.01	66.09	0.00	0.0608	11.04	485.9	408.67	0.0561	449.0	8.083	16.62	8.29	1.36
	17.94	21.01	66.09	0.00	0.0608	11.05	486.1	408.77	0.0562	452.4	8.143	16.74	8.40	1.36
	18.94	21.01	66.12	0.00	0.0608	11.02	485.0	407.72	0.0567	458.2	8.247	16.95	8.59	1.36
	19.94	21.01	66.09	0.00	0.0612	11.11	489.0	411.25	0.0550	441.6	7.948	16.34	8.04	1.36
	20.94	21.01	66.09	0.00	0.0612	11.17	491.6	413.43	0.0545	436.7	7.860	16.16	7.88	1.36
	21.94	21.02	66.07	0.00	0.0609	11.06	486.5	409.30	0.0558	448.7	8.077	16.61	8.28	1.36
	23.02	21.02	66.09	0.00	0.0608	11.05	486.2	408.93	0.0565	451.5	8.127	16.71	8.37	1.36
	23.94	20.99	66.09	0.00	0.0611	11.10	488.3	410.66	0.0552	443.1	7.975	16.39	8.09	1.36
	24.95	20.99	66.09	0.00	0.0607	11.05	486.1	408.75	0.0561	450.6	8.111	16.67	8.34	1.36
	25.94	20.99	66.09	0.00	0.0618	11.21	493.4	414.93	0.0556	444.0	7.992	16.43	8.12	1.36
	26.95	20.99	66.09	0.00	0.0616	11.25	495.0	416.28	0.0559	447.3	8.051	16.55	8.23	1.36
	27.94	21.01	66.09	0.00	0.0613	11.19	492.3	414.06	0.0556	445.0	8.010	16.47	8.16	1.36
	28.95	20.97	66.09	0.00	0.0613	11.14	490.4	412.34	0.0558	446.0	8.028	16.50	8.19	1.36
	29.94	20.97	66.09	0.00	0.0611	11.11	489.0	411.22	0.0561	450.2	8.103	16.66	8.32	1.36
	30.95	20.99	66.09	0.00	0.0610	11.10	488.5	410.83	0.0565	450.9	8.116	16.68	8.35	1.36
	31.94	20.97	66.06	0.00	0.0612	11.08	487.5	410.14	0.0564	458.3	8.249	16.96	8.59	1.36
	32.95	20.99	66.07	0.00	0.0610	11.08	487.4	409.99	0.0566	458.7	8.257	16.98	8.60	1.36
	33.94	20.97	66.07	0.00	0.0610	11.11	488.9	411.25	0.0556	445.4	8.018	16.49	8.17	1.36
	34.95	20.99	66.12	0.00	0.0610	11.10	488.3	410.50	0.0559	447.0	8.046	16.53	8.22	1.36
	35.94	20.97	66.09	0.00	0.0611	11.09	488.0	410.40	0.0559	449.8	8.097	16.64	8.31	1.36
	36.95	20.99	66.11	0.00	0.0611	11.08	487.4	409.78	0.0559	451.4	8.126	16.70	8.37	1.36
	37.94	20.99	66.09	0.00	0.0611	11.12	489.1	411.34	0.0558	448.1	8.066	16.58	8.26	1.36
	38.95	20.96	66.09	0.00	0.0612	11.11	488.7	410.89	0.0561	453.7	8.166	16.78	8.44	1.36
	39.94	20.96	66.09	0.00	0.0611	11.10	488.4	410.66	0.0564	454.9	8.189	16.83	8.48	1.36
	40.95	20.96	66.09	0.00	0.0610	11.09	488.1	410.43	0.0566	459.4	8.270	17.00	8.62	1.36
	42.02	20.96	66.09	0.00	0.0611	11.12	489.4	411.50	0.0562	451.7	8.131	16.71	8.37	1.36
	42.94	20.94	66.12	0.00	0.0609	11.09	487.8	410.02	0.0572	460.1	8.282	17.01	8.64	1.36
