Mar 14 2018 at 9:21:52
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Strong cloud cover low light
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.33	20.75	66.09	0.00	0.0615	11.21	493.3	414.48	0.0575	467.4	8.413	17.28	8.87	1.37
	1.27	20.74	66.09	0.00	0.0615	11.21	493.4	414.54	0.0576	468.3	8.430	17.31	8.90	1.37
	2.25	20.75	66.06	0.00	0.0616	11.22	493.5	414.86	0.0577	469.1	8.444	17.35	8.92	1.37
	3.27	20.75	66.09	0.00	0.0616	11.22	493.6	414.79	0.0578	470.2	8.463	17.38	8.96	1.37
	4.33	20.74	66.09	0.00	0.0615	11.21	493.4	414.59	0.0578	469.9	8.457	17.37	8.94	1.37
	5.27	20.74	66.09	0.00	0.0614	11.22	493.5	414.69	0.0577	470.5	8.468	17.39	8.96	1.37
	6.33	20.74	66.09	0.00	0.0616	11.22	493.6	414.74	0.0579	471.4	8.486	17.43	8.99	1.37
	7.27	20.70	66.09	0.00	0.0616	11.22	493.6	414.65	0.0580	472.5	8.504	17.46	9.02	1.36
	8.27	20.72	66.12	250.00	0.0615	11.22	493.7	414.63	0.0580	472.7	8.508	17.47	9.03	1.37
	9.27	20.74	66.09	0.00	0.0617	11.22	493.7	414.85	0.0582	473.1	8.515	17.49	9.05	1.37
	10.27	20.72	66.09	0.00	0.0615	11.22	493.9	414.94	0.0581	474.1	8.533	17.53	9.08	1.37
	11.27	20.72	66.09	0.00	0.0615	11.22	493.8	414.86	0.0581	473.9	8.530	17.52	9.07	1.37
	12.27	20.70	66.09	0.00	0.0616	11.22	493.7	414.81	0.0582	474.8	8.546	17.55	9.10	1.37
	13.27	20.74	66.07	0.00	0.0615	11.22	493.9	415.10	0.0581	475.3	8.555	17.58	9.11	1.37
	14.27	20.75	66.09	0.00	0.0616	11.22	493.6	414.76	0.0582	474.8	8.547	17.56	9.10	1.37
	15.27	20.74	66.09	0.00	0.0616	11.23	494.0	415.11	0.0584	476.2	8.572	17.61	9.14	1.37
	16.27	20.75	66.09	0.00	0.0616	11.23	494.2	415.26	0.0583	476.7	8.581	17.62	9.16	1.37
	17.25	20.72	66.12	0.00	0.0617	11.23	494.0	414.92	0.0585	477.2	8.589	17.63	9.17	1.37
	18.27	20.70	66.09	0.00	0.0616	11.23	494.2	415.22	0.0585	477.8	8.601	17.66	9.19	1.37
	19.25	20.72	66.09	0.00	0.0617	11.24	494.4	415.38	0.0586	478.6	8.615	17.69	9.22	1.37
	20.27	20.70	66.09	0.00	0.0617	11.24	494.4	415.34	0.0586	478.9	8.620	17.70	9.22	1.37
	21.25	20.70	66.09	0.00	0.0616	11.24	494.5	415.48	0.0585	479.2	8.626	17.71	9.23	1.37
	22.27	20.72	66.09	0.00	0.0616	11.24	494.4	415.37	0.0586	479.2	8.625	17.71	9.24	1.37
	23.25	20.70	66.07	0.00	0.0616	11.24	494.5	415.56	0.0587	480.8	8.654	17.78	9.28	1.37
	24.27	20.72	66.09	0.00	0.0617	11.24	494.5	415.51	0.0587	480.6	8.651	17.77	9.28	1.37
	25.25	20.70	66.11	0.00	0.0616	11.24	494.5	415.31	0.0587	480.5	8.649	17.76	9.28	1.37
	26.27	20.70	66.09	0.00	0.0616	11.24	494.6	415.54	0.0587	481.0	8.657	17.78	9.29	1.37
	27.25	20.70	66.09	0.00	0.0616	11.25	494.9	415.78	0.0588	481.9	8.673	17.81	9.32	1.37
	28.27	20.72	66.11	0.00	0.0616	11.25	494.9	415.67	0.0588	482.3	8.681	17.82	9.33	1.37
	29.27	20.70	66.09	0.00	0.0617	11.25	495.1	415.94	0.0589	483.5	8.703	17.87	9.37	1.37
	30.27	20.72	66.09	0.00	0.0617	11.25	495.1	415.95	0.0589	483.4	8.701	17.87	9.36	1.37
	31.27	20.75	66.09	0.00	0.0617	11.24	494.7	415.71	0.0589	482.3	8.681	17.83	9.33	1.37
	32.27	20.74	66.09	0.00	0.0616	11.25	495.2	416.06	0.0589	483.8	8.708	17.89	9.38	1.37
	33.27	20.72	66.07	0.00	0.0617	11.26	495.2	416.24	0.0589	484.1	8.715	17.90	9.39	1.37
	34.27	20.72	66.09	0.00	0.0618	11.25	495.1	415.96	0.0591	484.2	8.715	17.90	9.39	1.37
	35.27	20.72	66.09	0.00	0.0617	11.25	495.2	416.05	0.0590	485.1	8.731	17.93	9.42	1.37
	36.27	20.72	66.12	0.00	0.0617	11.25	495.2	415.89	0.0591	485.1	8.733	17.93	9.42	1.37
	37.27	20.72	66.11	0.00	0.0618	11.26	495.4	416.06	0.0592	485.4	8.736	17.94	9.43	1.37
	38.27	20.70	66.09	0.00	0.0618	11.26	495.4	416.16	0.0591	485.7	8.742	17.95	9.43	1.37
	39.27	20.72	66.09	0.00	0.0617	11.26	495.5	416.30	0.0591	485.9	8.746	17.96	9.44	1.37
	40.27	20.70	66.07	0.00	0.0618	11.26	495.5	416.40	0.0592	486.5	8.756	17.99	9.46	1.37
	41.27	20.74	66.09	0.00	0.0617	11.27	495.7	416.51	0.0592	487.2	8.769	18.01	9.48	1.37
	42.25	20.74	66.09	0.00	0.0617	11.26	495.6	416.43	0.0592	487.3	8.771	18.02	9.49	1.37
	43.27	20.75	66.12	0.00	0.0617	11.26	495.6	416.27	0.0593	487.1	8.769	18.00	9.48	1.37
	44.25	20.72	66.09	0.00	0.0617	11.27	495.9	416.61	0.0593	487.4	8.774	18.02	9.49	1.37
	45.27	20.72	66.09	0.00	0.0617	11.27	495.9	416.67	0.0592	488.2	8.788	18.05	9.51	1.37
	46.25	20.74	66.09	0.00	0.0617	11.27	496.0	416.72	0.0593	488.0	8.784	18.04	9.51	1.37
	47.27	20.72	66.09	0.00	0.0617	11.27	495.9	416.62	0.0594	488.5	8.793	18.06	9.52	1.37
	48.25	20.70	66.12	0.00	0.0619	11.27	495.8	416.34	0.0595	488.4	8.791	18.05	9.52	1.37
	49.27	20.72	66.06	0.00	0.0618	11.27	496.1	416.94	0.0594	488.5	8.793	18.07	9.52	1.37
	50.25	20.72	66.09	0.00	0.0618	11.27	496.0	416.74	0.0595	488.5	8.793	18.06	9.52	1.37
	51.27	20.72	66.09	0.00	0.0619	11.28	496.2	416.93	0.0594	489.6	8.813	18.10	9.55	1.37
	52.33	20.72	66.12	0.00	0.0618	11.28	496.2	416.77	0.0595	489.5	8.812	18.09	9.55	1.37
	53.27	20.72	66.09	0.00	0.0618	11.28	496.5	417.11	0.0595	490.4	8.827	18.13	9.58	1.37
	54.33	20.72	66.12	0.00	0.0618	11.28	496.2	416.77	0.0595	490.0	8.820	18.11	9.57	1.37
	55.27	20.72	66.09	0.00	0.0619	11.28	496.4	417.03	0.0596	490.3	8.826	18.13	9.58	1.37
	56.33	20.70	66.07	0.00	0.0618	11.28	496.5	417.24	0.0595	490.7	8.832	18.14	9.59	1.37
	57.27	20.68	66.09	0.00	0.0619	11.29	496.5	417.12	0.0596	491.1	8.840	18.15	9.60	1.37
	58.27	20.69	66.09	0.00	0.0618	11.28	496.5	417.07	0.0596	491.2	8.842	18.16	9.60	1.37
	59.27	20.70	66.09	0.00	0.0618	11.29	496.5	417.16	0.0596	491.5	8.847	18.17	9.61	1.37
	60.27	20.70	66.09	0.00	0.0618	11.28	496.5	417.12	0.0596	491.5	8.847	18.17	9.61	1.37
	61.27	20.70	66.09	0.00	0.0618	11.29	496.7	417.33	0.0597	492.1	8.858	18.19	9.63	1.37
	62.27	20.68	66.09	0.00	0.0618	11.29	496.7	417.30	0.0597	491.8	8.852	18.18	9.62	1.37
	63.27	20.67	66.14	0.00	0.0618	11.29	496.7	416.93	0.0597	492.1	8.857	18.17	9.63	1.37
	64.27	20.72	66.11	0.00	0.0618	11.29	496.6	417.12	0.0596	492.2	8.859	18.19	9.63	1.37
	65.27	20.75	66.09	0.00	0.0619	11.29	496.8	417.42	0.0597	492.8	8.870	18.22	9.65	1.37
	66.27	20.72	66.11	0.00	0.0618	11.29	497.0	417.41	0.0598	492.9	8.872	18.22	9.65	1.37
	67.25	20.70	66.09	0.00	0.0619	11.29	496.9	417.45	0.0598	492.9	8.873	18.22	9.65	1.37
	68.27	20.70	66.09	0.00	0.0619	11.30	497.0	417.53	0.0598	493.0	8.874	18.22	9.66	1.37
	69.25	20.70	66.12	0.00	0.0619	11.29	497.0	417.36	0.0598	493.2	8.877	18.22	9.66	1.37
	70.27	20.70	66.12	0.00	0.0619	11.30	497.1	417.47	0.0599	493.6	8.885	18.24	9.67	1.37
	71.25	20.69	66.09	0.00	0.0619	11.30	497.2	417.71	0.0598	494.2	8.896	18.27	9.69	1.37
	72.27	20.69	66.12	0.00	0.0619	11.29	496.8	417.23	0.0598	492.4	8.862	18.19	9.64	1.37
	73.25	20.70	66.09	0.00	0.0619	11.30	497.0	417.56	0.0598	493.3	8.880	18.23	9.67	1.37
	74.27	20.70	66.06	0.00	0.0619	11.30	497.0	417.70	0.0598	493.7	8.886	18.26	9.68	1.37
	75.33	20.69	66.09	0.00	0.0619	11.30	497.2	417.73	0.0597	494.2	8.895	18.27	9.69	1.37
	76.27	20.67	66.09	0.00	0.0619	11.30	497.2	417.69	0.0598	493.5	8.883	18.24	9.67	1.37
	77.33	20.68	66.09	0.00	0.0619	11.30	497.1	417.61	0.0598	493.0	8.873	18.22	9.65	1.37
	78.27	20.72	66.11	0.00	0.0619	11.30	497.4	417.76	0.0599	494.6	8.902	18.28	9.71	1.37
	79.33	20.70	66.09	0.00	0.0620	11.31	497.6	418.06	0.0600	495.1	8.912	18.30	9.72	1.37
	80.27	20.69	66.09	0.00	0.0619	11.31	497.5	417.95	0.0599	495.0	8.911	18.30	9.72	1.37
	81.27	20.69	66.12	0.00	0.0620	11.31	497.6	417.82	0.0599	495.3	8.915	18.30	9.72	1.37
	82.27	20.69	66.07	0.00	0.0619	11.31	497.5	418.08	0.0599	494.7	8.905	18.29	9.71	1.37
	83.27	20.67	66.12	0.00	0.0620	11.31	497.6	417.79	0.0600	495.3	8.916	18.30	9.72	1.37
	84.27	20.67	66.12	0.00	0.0620	11.31	497.6	417.87	0.0600	495.5	8.918	18.31	9.73	1.37
	85.27	20.69	66.09	0.00	0.0620	11.31	497.5	417.97	0.0599	495.2	8.913	18.30	9.72	1.37
	86.27	20.70	66.09	0.00	0.0619	11.31	497.7	418.17	0.0599	495.1	8.911	18.30	9.72	1.37
