Mar 14 2018 at 8:59:43
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Redoing  plots from rainy day
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.02	22.44	66.01	0.00	0.0612	11.12	489.2	413.87	0.0553	441.6	7.949	16.44	8.11	1.40
	1.03	22.44	66.01	0.00	0.0610	11.12	489.5	414.16	0.0552	442.1	7.958	16.46	8.13	1.40
	2.09	22.44	66.01	0.00	0.0612	11.13	489.6	414.23	0.0553	441.9	7.954	16.45	8.12	1.40
	3.02	22.42	66.01	0.00	0.0611	11.12	489.4	414.09	0.0552	443.3	7.980	16.50	8.17	1.40
	4.09	22.44	66.01	0.00	0.0611	11.12	489.1	413.83	0.0552	441.5	7.946	16.44	8.11	1.40
	5.02	22.44	66.01	0.00	0.0610	11.13	489.5	414.19	0.0556	446.9	8.044	16.64	8.29	1.40
	6.03	22.42	66.03	0.00	0.0611	11.13	489.6	414.07	0.0556	446.5	8.036	16.61	8.27	1.40
	7.02	22.42	66.01	0.00	0.0612	11.13	489.6	414.24	0.0556	446.5	8.037	16.62	8.28	1.40
	8.03	22.42	66.01	0.00	0.0611	11.12	489.5	414.13	0.0556	446.4	8.035	16.62	8.27	1.40
	9.02	22.40	66.01	0.00	0.0612	11.13	489.8	414.34	0.0557	446.3	8.034	16.61	8.27	1.40
	10.03	22.40	66.04	0.00	0.0611	11.12	489.4	413.90	0.0557	446.4	8.036	16.61	8.27	1.40
	11.02	22.42	66.01	0.00	0.0612	11.12	489.2	413.93	0.0558	446.3	8.033	16.61	8.27	1.40
	12.03	22.42	66.01	0.00	0.0611	11.13	489.6	414.25	0.0558	447.2	8.050	16.65	8.30	1.40
	13.02	22.44	65.99	0.00	0.0613	11.13	489.6	414.42	0.0559	447.6	8.056	16.67	8.31	1.40
	14.03	22.41	66.01	0.00	0.0612	11.13	489.8	414.36	0.0559	449.5	8.091	16.73	8.37	1.40
	15.02	22.40	65.99	0.00	0.0611	11.13	489.8	414.51	0.0560	450.4	8.108	16.77	8.40	1.40
	16.03	22.40	66.01	0.00	0.0613	11.13	489.6	414.24	0.0562	449.9	8.098	16.75	8.39	1.40
	17.02	22.42	65.99	0.00	0.0612	11.13	489.5	414.34	0.0561	450.4	8.107	16.77	8.40	1.40
	18.03	22.42	66.01	0.00	0.0612	11.13	489.7	414.34	0.0562	451.6	8.129	16.81	8.44	1.40
	19.02	22.42	66.01	0.00	0.0613	11.13	489.6	414.26	0.0563	452.4	8.144	16.84	8.47	1.40
	20.03	22.42	66.01	0.00	0.0611	11.13	489.8	414.36	0.0561	452.9	8.151	16.86	8.48	1.40
	21.02	22.42	66.04	0.00	0.0612	11.13	489.5	414.00	0.0564	453.3	8.159	16.87	8.50	1.40
	22.03	22.42	66.01	0.00	0.0611	11.14	490.0	414.57	0.0563	454.7	8.184	16.93	8.54	1.40
