Mar 14 2018 at 8:42:48
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Redoing  plots from rainy day
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.39	22.03	65.99	0.00	0.0594	10.70	471.0	398.08	0.0602	498.9	8.981	18.56	9.90	1.42
	1.38	22.03	65.99	0.00	0.0594	10.71	471.3	398.38	0.0601	497.9	8.961	18.52	9.87	1.43
	2.39	22.03	65.96	0.00	0.0595	10.74	472.6	399.64	0.0589	482.7	8.688	17.96	9.41	1.42
	3.38	22.05	65.99	0.00	0.0594	10.70	471.0	398.13	0.0603	499.1	8.984	18.56	9.91	1.42
	4.39	22.03	65.96	0.00	0.0593	10.70	470.6	397.93	0.0604	501.8	9.033	18.67	9.99	1.42
	5.38	22.05	65.99	0.00	0.0593	10.69	470.5	397.69	0.0605	500.5	9.009	18.61	9.95	1.43
	6.39	22.03	65.99	0.00	0.0593	10.69	470.5	397.69	0.0605	498.1	8.965	18.52	9.88	1.43
	7.38	22.05	65.99	0.00	0.0592	10.67	469.7	397.00	0.0609	503.8	9.069	18.74	10.05	1.43
	8.39	22.05	65.99	0.00	0.0591	10.65	468.5	396.01	0.0618	522.7	9.409	19.44	10.60	1.42
	9.38	22.05	65.99	0.00	0.0592	10.67	469.5	396.89	0.0612	505.3	9.096	18.80	10.09	1.42
	10.38	22.03	65.96	0.00	0.0591	10.66	469.2	396.71	0.0618	510.9	9.197	19.01	10.26	1.42
	11.38	22.05	65.99	0.00	0.0589	10.61	466.7	394.51	0.0638	541.8	9.752	20.15	11.14	1.43
	12.38	22.03	65.96	0.00	0.0589	10.63	467.7	395.46	0.0628	531.9	9.574	19.79	10.86	1.43
	13.38	22.03	65.99	0.00	0.0589	10.61	467.0	394.74	0.0637	535.6	9.642	19.92	10.97	1.43
	14.38	22.06	65.96	0.00	0.0590	10.61	467.0	394.97	0.0635	536.0	9.648	19.95	10.98	1.42
	15.45	22.08	66.01	0.00	0.0590	10.60	466.3	394.10	0.0633	549.3	9.887	20.43	11.35	1.43
	16.38	22.04	65.96	0.00	0.0588	10.60	466.4	394.39	0.0643	544.0	9.792	20.24	11.20	1.43
	17.39	22.06	65.99	0.00	0.0589	10.59	465.9	393.82	0.0641	544.8	9.807	20.27	11.22	1.43
	18.38	22.05	65.99	0.00	0.0588	10.60	466.4	394.23	0.0646	538.6	9.695	20.03	11.05	1.43
	19.39	22.08	65.99	0.00	0.0589	10.58	465.4	393.48	0.0649	553.3	9.960	20.58	11.46	1.43
	20.38	22.08	65.99	0.00	0.0587	10.57	465.0	393.12	0.0655	560.4	10.088	20.85	11.65	1.43
	21.39	22.08	66.01	0.00	0.0586	10.55	464.1	392.25	0.0664	565.4	10.176	21.02	11.78	1.43
	22.38	22.06	65.99	0.00	0.0587	10.55	464.2	392.44	0.0662	558.9	10.061	20.79	11.61	1.43
	23.39	22.08	66.01	0.00	0.0585	10.49	461.7	390.14	0.0684	598.2	10.767	22.24	12.64	1.43
	24.38	22.08	65.94	0.00	0.0587	10.57	464.9	393.28	0.0653	558.5	10.053	20.79	11.60	1.43
	25.39	22.08	65.99	0.00	0.0587	10.53	463.5	391.82	0.0666	574.7	10.345	21.38	12.03	1.43
	26.38	22.08	65.96	0.00	0.0586	10.52	462.9	391.51	0.0667	577.6	10.397	21.49	12.11	1.43
	27.39	22.04	65.94	0.00	0.0586	10.54	463.6	392.16	0.0661	574.5	10.340	21.38	12.02	1.43
	28.38	22.08	65.99	0.00	0.0586	10.52	462.9	391.34	0.0673	583.2	10.497	21.69	12.26	1.43
	29.38	22.10	65.99	0.00	0.0585	10.51	462.4	390.95	0.0677	588.5	10.594	21.89	12.40	1.43
	30.38	22.10	65.96	0.00	0.0585	10.51	462.6	391.24	0.0676	585.8	10.545	21.80	12.33	1.43
	31.38	22.10	65.96	0.00	0.0585	10.50	461.8	390.58	0.0683	595.1	10.711	22.14	12.56	1.43
	32.45	22.08	65.99	0.00	0.0584	10.49	461.6	390.25	0.0685	595.8	10.724	22.16	12.58	1.43
