Mar 14 2018 at 8:45:20
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Redoing  plots from rainy day
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.73	22.41	65.99	0.00	0.0603	11.00	484.0	409.65	0.0574	451.6	8.128	16.82	8.44	1.45
	1.75	22.41	65.99	0.00	0.0603	11.10	488.3	413.30	0.0573	442.7	7.968	16.48	8.15	1.45
	2.73	22.41	65.99	0.00	0.0610	11.08	487.3	412.44	0.0543	436.3	7.853	16.25	7.93	1.45
	3.75	22.40	65.96	0.00	0.0602	10.88	478.7	405.29	0.0571	475.6	8.560	17.72	9.21	1.45
	4.73	22.42	65.96	0.00	0.0609	10.89	479.2	405.76	0.0542	475.9	8.567	17.73	9.22	1.45
	5.75	22.42	65.96	0.00	0.0602	10.93	480.7	407.03	0.0574	462.9	8.333	17.25	8.81	1.45
	6.81	22.42	65.96	0.00	0.0604	10.88	478.5	405.19	0.0571	480.7	8.653	17.91	9.37	1.45
	7.73	22.42	65.96	0.00	0.0623	11.42	502.5	425.48	0.0557	446.4	8.036	16.63	8.27	1.45
	8.73	22.44	65.99	0.00	0.0605	10.99	483.4	409.13	0.0557	443.9	7.990	16.53	8.19	1.45
	9.73	22.46	65.99	0.00	0.0602	10.91	479.9	406.23	0.0580	467.2	8.410	17.40	8.95	1.45
	10.81	22.44	65.96	0.00	0.0598	10.93	480.9	407.19	0.0593	464.5	8.361	17.31	8.86	1.45
	11.73	22.44	65.99	0.00	0.0610	10.94	481.6	407.62	0.0534	456.6	8.219	17.01	8.61	1.45
	12.75	22.44	65.99	0.00	0.0609	11.04	485.8	411.18	0.0530	427.0	7.686	15.90	7.62	1.45
	13.73	22.44	66.01	0.00	0.0607	11.08	487.5	412.46	0.0537	408.7	7.357	15.22	6.98	1.45
	14.75	22.46	65.99	0.00	0.0610	11.09	487.8	412.94	0.0523	410.0	7.381	15.27	7.03	1.45
	15.73	22.44	65.99	0.00	0.0605	11.02	484.7	410.26	0.0551	434.2	7.816	16.17	7.87	1.45
	16.75	22.44	65.99	0.00	0.0608	11.00	484.1	409.75	0.0534	433.5	7.803	16.15	7.84	1.45
	17.73	22.48	65.99	0.00	0.0603	10.95	481.6	407.70	0.0556	442.2	7.960	16.47	8.14	1.45
	18.75	22.46	65.96	0.00	0.0606	10.97	482.5	408.59	0.0552	448.0	8.065	16.69	8.33	1.45
	19.73	22.50	65.98	0.00	0.0605	11.01	484.3	410.04	0.0553	429.9	7.739	16.02	7.72	1.45
	20.75	22.48	65.96	0.00	0.0604	11.00	484.0	409.85	0.0563	440.9	7.935	16.43	8.09	1.45
	21.73	22.46	65.94	0.00	0.0600	10.84	477.0	404.03	0.0589	488.6	8.795	18.21	9.61	1.45
	22.75	22.49	65.99	0.00	0.0600	10.94	481.2	407.38	0.0584	456.7	8.220	17.01	8.61	1.45
	23.73	22.48	65.99	0.00	0.0601	11.00	484.1	409.77	0.0584	442.9	7.973	16.50	8.16	1.45
	24.75	22.46	65.99	0.00	0.0602	10.93	481.1	407.25	0.0589	459.2	8.266	17.10	8.69	1.45
	25.73	22.48	65.99	0.00	0.0603	10.89	479.3	405.74	0.0571	472.7	8.509	17.61	9.12	1.45
	26.75	22.48	65.96	0.00	0.0602	10.95	481.9	408.05	0.0579	462.1	8.317	17.22	8.78	1.45
	27.73	22.49	65.99	0.00	0.0605	10.95	482.0	408.04	0.0561	451.7	8.131	16.83	8.45	1.45
	28.73	22.49	65.99	0.00	0.0607	11.06	486.7	412.05	0.0555	443.7	7.987	16.53	8.19	1.45
	29.81	22.49	65.96	0.00	0.0603	10.88	478.8	405.45	0.0571	480.7	8.653	17.91	9.37	1.45
	30.73	22.49	65.96	0.00	0.0603	10.94	481.2	407.50	0.0570	461.3	8.304	17.19	8.76	1.45
	31.75	22.49	65.96	0.00	0.0604	10.98	483.3	409.31	0.0564	456.0	8.208	16.99	8.59	1.45
	32.73	22.51	65.99	0.00	0.0604	10.91	480.0	406.37	0.0568	473.5	8.522	17.64	9.15	1.45
