Mar 14 2018 at 7:44:45
Frequency: 1Hz.
CO2
Zero:  Value:0.914415  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00445  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.772015  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.00616  Date:28 Jun 2004	 at 08:29:05	
Second attempt for troubleshooting respiration
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.33	15.37	65.94	0.00	0.0607	11.02	484.8	400.79	0.0560	447.3	8.051	16.27	7.95	1.34
	1.34	15.39	65.93	0.00	0.0608	11.06	486.6	402.37	0.0548	436.5	7.856	15.88	7.59	1.35
	2.33	15.39	65.96	0.00	0.0629	11.45	503.9	416.52	0.0553	445.8	8.025	16.21	7.90	1.35
	3.33	15.39	65.94	0.00	0.0616	11.24	494.5	408.90	0.0552	447.6	8.057	16.28	7.96	1.35
	4.33	15.39	65.96	0.00	0.0609	11.07	486.9	402.47	0.0551	441.7	7.950	16.06	7.76	1.35
	5.33	15.39	65.93	0.00	0.0610	11.09	487.8	403.37	0.0548	440.6	7.930	16.03	7.72	1.35
	6.41	15.39	65.94	0.00	0.0610	11.06	486.7	402.45	0.0559	449.5	8.091	16.35	8.02	1.35
	7.33	15.39	65.96	0.00	0.0611	11.10	488.5	403.78	0.0555	444.6	8.003	16.17	7.86	1.35
	8.34	15.39	65.93	0.00	0.0610	11.09	488.0	403.52	0.0554	444.6	8.004	16.18	7.86	1.35
	9.33	15.39	65.96	0.00	0.0609	11.05	486.4	402.03	0.0556	447.2	8.050	16.27	7.95	1.35
	10.34	15.40	65.96	0.00	0.0607	11.05	486.2	401.92	0.0566	450.9	8.117	16.40	8.07	1.35
	11.33	15.40	65.96	0.00	0.0609	11.08	487.7	403.10	0.0561	448.7	8.077	16.32	8.00	1.35
	12.34	15.40	65.96	0.00	0.0609	11.07	487.3	402.80	0.0561	449.0	8.082	16.33	8.00	1.35
	13.33	15.40	65.96	0.00	0.0608	11.05	486.3	402.02	0.0561	452.9	8.153	16.47	8.13	1.35
