Mar 14 2018 at 8:22:28
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Second attempt for troubleshooting cloud cover
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.78	19.04	65.96	0.00	0.0607	11.03	485.3	406.23	0.0540	428.5	7.713	15.78	7.50	1.39
	1.80	19.03	65.99	0.00	0.0606	11.02	484.9	405.69	0.0545	430.5	7.749	15.85	7.57	1.39
	2.78	19.04	65.96	0.00	0.0606	11.00	484.0	405.14	0.0543	434.4	7.819	16.00	7.70	1.39
	3.80	19.03	65.93	0.00	0.0605	10.99	483.5	404.82	0.0547	435.5	7.838	16.04	7.74	1.39
	4.78	19.04	65.96	0.00	0.0604	10.96	482.2	403.64	0.0555	443.4	7.982	16.33	8.00	1.39
	5.80	19.04	65.96	0.00	0.0603	10.92	480.5	402.18	0.0559	452.1	8.137	16.65	8.29	1.39
	6.78	19.06	65.96	0.00	0.0603	10.92	480.6	402.32	0.0551	447.2	8.050	16.47	8.13	1.39
	7.80	19.04	65.96	0.00	0.0603	10.94	481.2	402.77	0.0557	441.9	7.955	16.28	7.95	1.39
	8.86	19.06	65.96	0.00	0.0602	10.90	479.7	401.55	0.0559	450.1	8.102	16.58	8.23	1.39
	9.78	19.06	65.96	0.00	0.0602	10.91	480.1	401.85	0.0562	452.0	8.136	16.65	8.29	1.39
	10.80	19.08	65.96	0.00	0.0602	10.90	479.5	401.39	0.0568	456.1	8.209	16.80	8.42	1.39
	11.78	19.08	65.96	0.00	0.0601	10.89	479.1	401.06	0.0564	456.0	8.209	16.80	8.42	1.39
	12.80	19.06	65.96	0.00	0.0601	10.87	478.4	400.46	0.0572	461.7	8.311	17.01	8.60	1.39
	13.78	19.04	65.98	0.00	0.0600	10.86	478.0	400.00	0.0575	464.6	8.363	17.11	8.69	1.39
	14.80	19.06	65.96	0.00	0.0601	10.86	477.8	399.97	0.0570	468.2	8.428	17.24	8.81	1.39
	15.78	19.04	65.96	0.00	0.0600	10.85	477.5	399.68	0.0575	468.8	8.439	17.27	8.83	1.39
	16.80	19.06	65.96	0.00	0.0599	10.85	477.3	399.55	0.0583	473.0	8.514	17.42	8.96	1.39
	17.78	19.08	65.96	0.00	0.0599	10.83	476.6	399.01	0.0585	483.4	8.701	17.81	9.28	1.39
	18.80	19.06	65.96	0.00	0.0599	10.84	476.9	399.22	0.0585	483.8	8.708	17.82	9.29	1.39
	19.78	19.08	65.96	0.00	0.0598	10.83	476.4	398.82	0.0590	482.0	8.675	17.75	9.24	1.39
	20.78	19.06	65.96	0.00	0.0599	10.83	476.4	398.75	0.0590	485.5	8.739	17.88	9.34	1.39
	21.80	19.09	65.96	0.00	0.0599	10.83	476.6	399.02	0.0584	480.3	8.645	17.69	9.19	1.39
