Mar 14 2018 at 8:29:12
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Third attempt at anomalous CO2 drawdown, partly cloud and bright
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.67	20.26	65.96	0.00	0.0600	10.86	477.7	401.56	0.0569	462.0	8.316	17.09	8.67	1.41
	1.75	20.26	65.96	0.00	0.0600	10.86	477.8	401.63	0.0569	461.4	8.306	17.07	8.65	1.41
	2.67	20.25	65.96	0.00	0.0599	10.83	476.5	400.45	0.0574	466.7	8.400	17.26	8.82	1.41
	3.69	20.25	65.96	0.00	0.0599	10.84	477.0	400.88	0.0570	463.0	8.334	17.12	8.70	1.41
	4.67	20.26	65.96	0.00	0.0599	10.84	476.8	400.74	0.0574	463.8	8.349	17.15	8.73	1.41
	5.69	20.25	65.94	0.00	0.0598	10.82	476.0	400.24	0.0575	468.4	8.430	17.33	8.87	1.41
	6.67	20.26	65.96	0.00	0.0598	10.82	475.9	400.03	0.0577	469.0	8.441	17.34	8.89	1.41
	7.69	20.30	65.93	0.00	0.0598	10.81	475.7	400.01	0.0576	469.6	8.453	17.38	8.92	1.41
	8.67	20.26	65.96	0.00	0.0597	10.80	475.1	399.37	0.0579	471.5	8.486	17.44	8.97	1.41
	9.69	20.28	65.96	0.00	0.0596	10.78	474.5	398.89	0.0590	479.1	8.624	17.72	9.21	1.41
	10.75	20.28	65.93	0.00	0.0597	10.78	474.5	399.02	0.0584	479.9	8.638	17.76	9.23	1.41
	11.67	20.30	65.96	0.00	0.0596	10.78	474.4	398.79	0.0587	480.5	8.650	17.77	9.26	1.41
	12.75	20.30	65.98	0.00	0.0597	10.78	474.5	398.70	0.0586	481.5	8.667	17.80	9.29	1.41
	13.67	20.30	65.93	0.00	0.0596	10.76	473.5	398.18	0.0595	487.2	8.769	18.03	9.46	1.41
	14.69	20.32	65.96	0.00	0.0595	10.74	472.8	397.45	0.0597	495.0	8.910	18.31	9.70	1.41
	15.67	20.28	65.96	0.00	0.0595	10.74	472.6	397.29	0.0602	504.1	9.074	18.65	9.97	1.41
	16.69	20.31	65.96	0.00	0.0595	10.75	472.9	397.59	0.0595	492.1	8.859	18.20	9.61	1.41
	17.67	20.28	65.94	0.00	0.0594	10.74	472.7	397.49	0.0598	495.3	8.915	18.33	9.70	1.41
	18.69	20.31	65.96	0.00	0.0595	10.73	472.3	397.02	0.0600	497.2	8.950	18.39	9.76	1.41
	19.67	20.31	65.96	0.00	0.0594	10.72	471.7	396.57	0.0602	496.9	8.943	18.38	9.75	1.41
	20.69	20.30	65.96	0.00	0.0594	10.72	471.6	396.44	0.0613	512.3	9.221	18.95	10.21	1.41
	21.67	20.31	65.96	0.00	0.0594	10.71	471.3	396.24	0.0610	505.8	9.104	18.71	10.02	1.41
	22.67	20.33	65.96	0.00	0.0593	10.71	471.4	396.32	0.0609	506.7	9.121	18.74	10.05	1.41
	23.67	20.33	65.96	0.00	0.0594	10.71	471.2	396.17	0.0605	506.9	9.125	18.75	10.05	1.41
	24.67	20.31	65.96	0.00	0.0593	10.72	471.7	396.51	0.0609	502.3	9.041	18.58	9.91	1.41
	25.75	20.35	65.93	0.00	0.0593	10.69	470.5	395.72	0.0612	513.6	9.244	19.01	10.25	1.41
	26.67	20.35	65.93	0.00	0.0593	10.69	470.5	395.76	0.0616	514.3	9.257	19.03	10.27	1.41
	27.69	20.35	65.96	0.00	0.0593	10.69	470.4	395.50	0.0616	515.2	9.273	19.06	10.30	1.41
	28.67	20.35	65.96	0.00	0.0592	10.69	470.3	395.42	0.0615	515.1	9.272	19.06	10.29	1.41
	29.69	20.37	65.96	0.00	0.0592	10.67	469.3	394.63	0.0622	521.6	9.389	19.30	10.48	1.41
	30.67	20.35	65.96	0.00	0.0592	10.68	469.8	395.00	0.0619	519.3	9.348	19.21	10.42	1.41
	31.69	20.37	65.93	0.00	0.0592	10.67	469.5	394.95	0.0622	521.5	9.387	19.30	10.48	1.41
	32.67	20.35	65.96	0.00	0.0592	10.67	469.4	394.70	0.0623	522.4	9.404	19.33	10.51	1.41
	33.69	20.35	65.94	0.00	0.0592	10.67	469.5	394.86	0.0622	522.4	9.403	19.33	10.50	1.41
	34.75	20.37	65.96	0.00	0.0591	10.65	468.5	393.93	0.0627	529.4	9.529	19.58	10.70	1.41
	35.69	20.37	65.93	0.00	0.0591	10.66	468.9	394.42	0.0631	528.2	9.507	19.55	10.67	1.41
	36.75	20.38	65.93	0.00	0.0590	10.58	465.4	391.47	0.0639	560.4	10.087	20.74	11.56	1.41
	37.67	20.40	65.93	0.00	0.0590	10.64	468.1	393.80	0.0631	533.7	9.606	19.75	10.83	1.41
	38.69	20.40	65.93	0.00	0.0590	10.64	468.0	393.71	0.0633	532.9	9.592	19.73	10.81	1.41
	39.69	20.40	65.96	0.00	0.0590	10.62	467.4	393.02	0.0636	539.2	9.706	19.95	10.98	1.41
	40.69	20.40	65.93	0.00	0.0589	10.60	466.5	392.47	0.0640	542.8	9.770	20.09	11.08	1.41
	41.67	20.40	65.94	0.00	0.0589	10.61	466.9	392.75	0.0638	541.2	9.742	20.03	11.04	1.41
	42.69	20.40	65.94	0.00	0.0589	10.62	467.1	392.94	0.0639	541.1	9.740	20.03	11.04	1.41
	43.67	20.40	65.96	0.00	0.0589	10.60	466.4	392.23	0.0642	545.0	9.811	20.17	11.14	1.41
	44.69	20.40	65.93	0.00	0.0589	10.60	466.6	392.49	0.0640	544.1	9.793	20.14	11.12	1.41
	45.67	20.42	65.96	0.00	0.0589	10.59	466.1	391.96	0.0644	546.9	9.844	20.24	11.20	1.41
	46.69	20.42	65.93	0.00	0.0588	10.59	465.8	391.88	0.0646	550.8	9.914	20.39	11.30	1.41
	47.67	20.40	65.92	0.00	0.0587	10.56	464.7	391.01	0.0652	556.2	10.011	20.59	11.45	1.41
	48.69	20.40	65.93	0.00	0.0588	10.57	465.3	391.43	0.0649	553.9	9.971	20.50	11.39	1.41
	49.75	20.40	65.96	0.00	0.0587	10.56	464.7	390.78	0.0651	557.5	10.036	20.63	11.49	1.41
	50.67	20.41	65.93	0.00	0.0588	10.56	464.6	390.84	0.0651	557.3	10.031	20.63	11.48	1.41
	51.69	20.43	65.96	0.00	0.0587	10.57	465.1	391.16	0.0653	556.1	10.010	20.58	11.45	1.41
	52.67	20.43	65.93	0.00	0.0585	10.55	464.1	390.49	0.0659	561.5	10.107	20.79	11.60	1.41
	53.69	20.43	65.96	0.00	0.0586	10.55	464.1	390.34	0.0657	563.9	10.151	20.87	11.66	1.41
	54.67	20.43	65.96	0.00	0.0588	10.55	464.3	390.52	0.0657	565.6	10.181	20.93	11.71	1.41
	55.69	20.43	65.96	0.00	0.0586	10.54	463.8	390.09	0.0657	563.5	10.144	20.85	11.65	1.41
	56.67	20.45	65.96	0.00	0.0587	10.55	464.2	390.41	0.0660	567.0	10.206	20.98	11.74	1.41
	57.69	20.45	65.96	0.00	0.0586	10.53	463.4	389.74	0.0661	568.2	10.228	21.03	11.78	1.41
	58.67	20.47	65.93	0.00	0.0586	10.53	463.3	389.84	0.0661	569.8	10.257	21.10	11.82	1.41
	59.69	20.45	65.96	0.00	0.0586	10.52	462.9	389.36	0.0664	572.6	10.306	21.19	11.89	1.41
	60.67	20.43	65.94	0.00	0.0585	10.52	463.1	389.57	0.0665	573.1	10.316	21.21	11.91	1.41
	61.69	20.47	65.96	0.00	0.0585	10.50	462.2	388.72	0.0669	577.5	10.394	21.37	12.02	1.41
	62.75	20.45	65.96	0.00	0.0585	10.51	462.4	388.93	0.0667	578.6	10.414	21.41	12.05	1.41
	63.67	20.47	65.96	0.00	0.0585	10.50	462.0	388.59	0.0669	579.6	10.433	21.45	12.08	1.41
