Mar 14 2018 at 8:27:14
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Second attempt for troubleshooting cloud cover
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.08	19.78	65.96	0.00	0.0603	10.92	480.4	403.16	0.0564	451.9	8.133	16.68	8.32	1.41
	1.00	19.78	65.94	0.00	0.0600	10.84	477.1	400.50	0.0583	476.1	8.569	17.58	9.09	1.41
	2.00	19.78	65.96	0.00	0.0600	10.89	479.3	402.22	0.0581	462.1	8.318	17.06	8.65	1.41
	3.00	19.78	65.96	0.00	0.0601	11.02	485.0	406.98	0.0573	426.9	7.683	15.76	7.48	1.41
	4.00	19.76	65.94	0.00	0.0596	10.80	475.1	398.77	0.0599	490.8	8.834	18.13	9.54	1.41
	5.00	19.78	65.96	0.00	0.0597	10.79	474.7	398.36	0.0603	495.2	8.914	18.29	9.68	1.41
	6.00	19.79	65.96	0.00	0.0604	10.87	478.2	401.32	0.0558	471.1	8.480	17.40	8.94	1.41
	7.01	19.78	65.93	249.90	0.0606	11.00	484.0	406.30	0.0542	430.5	7.749	15.90	7.61	1.41
	8.00	19.79	65.94	0.00	0.0611	10.99	483.4	405.84	0.0505	434.2	7.815	16.04	7.73	1.41
	9.00	19.81	65.96	0.00	0.0603	10.99	483.6	405.91	0.0554	427.7	7.699	15.80	7.51	1.41
	10.00	19.81	65.93	0.00	0.0603	10.97	482.6	405.18	0.0563	443.3	7.979	16.38	8.04	1.41
	11.02	19.81	65.96	249.90	0.0604	11.01	484.5	406.61	0.0558	431.9	7.774	15.95	7.66	1.41
	12.00	19.83	65.93	0.00	0.0607	11.06	486.5	408.47	0.0530	409.1	7.364	15.11	6.87	1.41
	13.02	19.83	65.93	0.00	0.0604	10.93	480.9	403.73	0.0551	444.6	8.003	16.43	8.08	1.41
	14.00	19.81	65.96	0.00	0.0604	10.97	482.6	405.02	0.0549	437.5	7.875	16.16	7.85	1.41
	15.00	19.83	65.96	0.00	0.0604	10.99	483.6	405.90	0.0549	429.8	7.736	15.87	7.59	1.41
	16.02	19.83	65.96	250.00	0.0603	10.92	480.7	403.44	0.0558	453.2	8.157	16.73	8.36	1.41
	17.00	19.85	65.99	0.00	0.0605	10.89	479.2	402.08	0.0549	460.2	8.284	16.99	8.59	1.41
	18.00	19.83	65.96	0.00	0.0604	10.95	481.7	404.25	0.0555	445.2	8.014	16.44	8.10	1.41
	19.00	19.86	65.96	0.00	0.0607	11.04	485.6	407.60	0.0535	424.0	7.632	15.66	7.39	1.41
	20.00	19.85	65.96	0.00	0.0603	10.99	483.7	405.95	0.0561	431.4	7.765	15.93	7.64	1.41
	21.00	19.85	65.96	0.00	0.0609	11.06	486.5	408.37	0.0521	410.5	7.389	15.16	6.92	1.41
	22.00	19.86	65.96	0.00	0.0607	11.01	484.6	406.77	0.0534	424.0	7.632	15.66	7.39	1.41
	23.00	19.86	65.93	0.00	0.0604	10.91	479.9	402.95	0.0555	455.7	8.203	16.84	8.45	1.41
	24.08	19.88	65.96	0.00	0.0603	10.94	481.4	404.11	0.0563	446.9	8.044	16.51	8.16	1.41
	25.00	19.88	65.96	0.00	0.0602	10.91	479.9	402.87	0.0568	463.3	8.339	17.11	8.69	1.41
	26.02	19.88	65.93	0.00	0.0602	10.91	480.0	403.10	0.0570	462.6	8.327	17.09	8.67	1.41
	27.00	19.88	65.93	0.00	0.0600	10.87	478.2	401.53	0.0582	481.7	8.670	17.80	9.27	1.41
	28.00	19.90	65.94	0.00	0.0600	10.89	479.0	402.27	0.0583	472.3	8.502	17.45	8.98	1.41
	29.00	19.90	65.96	0.00	0.0599	10.85	477.4	400.74	0.0588	481.0	8.657	17.77	9.25	1.41
	30.00	19.90	65.96	0.00	0.0603	10.95	481.8	404.43	0.0559	445.7	8.022	16.46	8.12	1.41
	31.00	19.90	65.96	0.00	0.0602	10.94	481.3	404.04	0.0568	450.2	8.104	16.63	8.27	1.41
	32.00	19.88	65.94	0.00	0.0599	10.87	478.3	401.62	0.0596	478.6	8.616	17.68	9.18	1.41
	33.00	19.90	65.96	0.00	0.0600	10.84	476.9	400.31	0.0584	479.6	8.632	17.71	9.21	1.41
	34.00	19.91	65.93	0.00	0.0599	10.83	476.4	400.14	0.0590	488.9	8.801	18.07	9.49	1.41
