Mar 14 2018 at 7:18:59
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Low wind, high clouds cold and low light
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.86	12.64	65.93	0.00	0.0609	11.07	487.1	398.94	0.0555	444.2	7.996	16.01	7.71	1.33
	1.86	12.66	65.93	0.00	0.0609	11.07	487.0	398.88	0.0555	445.4	8.017	16.05	7.75	1.33
	2.86	12.63	65.93	0.00	0.0609	11.06	486.9	398.72	0.0555	444.6	8.002	16.02	7.72	1.33
	3.86	12.63	65.91	0.00	0.0609	11.07	487.2	399.15	0.0554	444.1	7.993	16.01	7.70	1.33
	4.86	12.66	65.91	0.00	0.0609	11.07	486.9	398.94	0.0555	445.3	8.015	16.05	7.74	1.33
	5.86	12.67	65.93	0.00	0.0608	11.07	486.9	398.80	0.0555	445.3	8.015	16.05	7.74	1.33
	6.86	12.66	65.93	0.00	0.0609	11.06	486.8	398.71	0.0557	446.2	8.032	16.08	7.77	1.33
	7.86	12.66	65.93	0.00	0.0609	11.07	486.9	398.78	0.0557	447.4	8.053	16.12	7.81	1.33
	8.88	12.66	65.93	0.00	0.0609	11.06	486.9	398.76	0.0557	447.0	8.046	16.11	7.80	1.33
	9.86	12.66	65.91	0.00	0.0608	11.07	486.9	398.92	0.0557	447.0	8.046	16.11	7.80	1.33
	10.94	12.67	65.93	0.00	0.0609	11.07	487.0	398.87	0.0557	447.5	8.056	16.13	7.82	1.33
	11.86	12.67	65.91	0.00	0.0609	11.07	486.9	398.94	0.0558	447.9	8.062	16.15	7.83	1.33
	12.88	12.67	65.96	0.00	0.0609	11.07	486.9	398.70	0.0557	447.0	8.046	16.10	7.80	1.33
	13.86	12.67	65.93	0.00	0.0608	11.06	486.9	398.79	0.0557	448.1	8.066	16.15	7.83	1.33
	14.88	12.66	65.93	0.00	0.0609	11.07	487.1	398.96	0.0559	449.1	8.083	16.18	7.87	1.33
	15.86	12.67	65.96	0.00	0.0609	11.07	487.0	398.73	0.0559	449.4	8.089	16.19	7.88	1.33
	16.88	12.67	65.93	0.00	0.0609	11.07	487.0	398.93	0.0559	450.1	8.102	16.22	7.90	1.33
	17.86	12.67	65.96	0.00	0.0609	11.07	486.9	398.70	0.0559	449.8	8.096	16.20	7.89	1.33
	18.88	12.67	65.96	0.00	0.0609	11.06	486.8	398.59	0.0559	448.9	8.080	16.17	7.86	1.33
	19.86	12.69	65.91	0.00	0.0608	11.07	487.0	399.09	0.0558	449.6	8.093	16.21	7.89	1.33
	20.88	12.70	65.96	0.00	0.0609	11.07	487.3	399.02	0.0560	450.4	8.107	16.23	7.91	1.33
	21.86	12.70	65.93	0.00	0.0609	11.09	487.8	399.58	0.0560	452.0	8.135	16.29	7.96	1.33
