Mar 14 2018 at 8:33:34
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Third attempt at anomalous CO2 drawdown, partly cloud and bright
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.36	21.14	65.93	0.00	0.0599	10.84	476.8	402.09	0.0581	473.9	8.530	17.59	9.09	1.42
	1.38	21.14	65.93	0.00	0.0599	10.83	476.5	401.87	0.0587	479.6	8.632	17.80	9.27	1.42
	2.36	21.14	65.96	0.00	0.0599	10.83	476.5	401.69	0.0591	484.2	8.716	17.96	9.41	1.42
	3.36	21.14	65.96	0.00	0.0599	10.83	476.6	401.81	0.0588	483.7	8.706	17.94	9.40	1.43
	4.38	21.16	65.96	0.00	0.0598	10.83	476.5	401.77	0.0589	482.4	8.683	17.90	9.36	1.42
	5.36	21.18	65.96	0.00	0.0598	10.83	476.5	401.77	0.0593	484.4	8.720	17.97	9.42	1.42
	6.38	21.16	65.96	0.00	0.0599	10.83	476.6	401.80	0.0594	489.7	8.815	18.17	9.58	1.42
	7.36	21.16	65.93	0.00	0.0599	10.83	476.4	401.80	0.0591	485.8	8.744	18.03	9.46	1.42
	8.38	21.16	65.96	0.00	0.0599	10.83	476.5	401.71	0.0595	489.2	8.805	18.15	9.56	1.42
	9.36	21.16	65.96	0.00	0.0599	10.85	477.2	402.34	0.0600	492.4	8.863	18.27	9.66	1.43
	10.38	21.18	65.93	0.00	0.0600	10.87	478.1	403.25	0.0598	497.0	8.947	18.45	9.80	1.43
	11.36	21.18	65.96	0.00	0.0600	10.86	477.8	402.89	0.0601	497.6	8.958	18.46	9.82	1.42
	12.38	21.18	65.96	0.00	0.0599	10.84	476.8	402.01	0.0601	497.5	8.956	18.46	9.82	1.42
	13.36	21.16	65.93	0.00	0.0599	10.84	476.9	402.21	0.0603	497.4	8.953	18.46	9.81	1.42
	14.38	21.18	65.94	0.00	0.0599	10.85	477.4	402.65	0.0605	500.7	9.013	18.58	9.91	1.42
	15.44	21.18	65.94	0.00	0.0600	10.85	477.3	402.53	0.0606	500.7	9.012	18.58	9.91	1.43
	16.38	21.19	65.93	0.00	0.0600	10.85	477.2	402.55	0.0604	500.0	9.001	18.56	9.89	1.43
	17.38	21.19	65.93	0.00	0.0599	10.84	476.9	402.31	0.0604	502.7	9.049	18.66	9.97	1.42
	18.36	21.19	65.96	0.00	0.0599	10.85	477.2	402.41	0.0606	504.8	9.086	18.73	10.03	1.42
	19.38	21.21	65.93	0.00	0.0600	10.85	477.2	402.57	0.0611	506.0	9.107	18.78	10.07	1.42
	20.36	21.19	65.94	0.00	0.0599	10.84	476.9	402.25	0.0608	503.5	9.063	18.69	10.00	1.42
	21.38	21.19	65.96	0.00	0.0599	10.84	477.1	402.30	0.0608	504.1	9.074	18.70	10.01	1.42
	22.36	21.19	65.96	0.00	0.0600	10.87	478.4	403.38	0.0613	512.7	9.229	19.02	10.27	1.43
	23.38	21.21	65.96	0.00	0.0599	10.86	477.9	402.96	0.0609	509.7	9.175	18.91	10.18	1.42
	24.36	21.21	65.96	0.00	0.0600	10.87	478.2	403.24	0.0613	512.1	9.218	19.00	10.25	1.42
	25.38	21.21	65.96	0.00	0.0600	10.87	478.5	403.47	0.0617	516.2	9.291	19.15	10.37	1.42
	26.36	21.19	65.94	0.00	0.0601	10.87	478.2	403.32	0.0617	515.8	9.284	19.14	10.36	1.42
